// key	CHARACTER_DESCRIPTION_
10100037	"ตั้งเป้าหมายไปสู่อันดับหนึ่งในชาร์ตไอดอล! บทเรียนไม่มีที่สิ้นสุดสำหรับผู้มีแรงบันดาลใจและทำให้ฝันกลายเป็นจริง"
10100039	ข้าอยากจะลุกไหม้ให้โชติช่วง\ประหนึ่งเปลวเพลิงที่ร้อนแรงจนใครก็ไม่อาจดับลงได้
10100040	เด็กสาวผู้มองโลกในแง่ร้ายสุดขีดจนเกินจะควบคุม
10100041	ผู้ใฝ่ศาสนาผู้เคราะห์ร้าย ร่อนเร่พเนจรตามหาพระผู้เป็นเจ้า
10100043	เฟรย์ หัวกะทิแห่งโลกปีศาจมาจุติแล้ว!\บัลลังก์ราชาปีศาจต้องเป็นของข้า!
10100044	นักบุญไร้แก่นสารผู้เอาแต่ผลาญเวลาไปกับ\การสนทนาไม่เป็นสาระแทนที่จะทำงาน
10100045	ข้าอ่านใจเจ้าออกนะ\เจ้าไม่อาจเก็บซ่อนสิ่งใดจากข้าได้หรอก
10100046	ตำนานรัตติกาล เงาที่คอยอารักขานายท่านของเธอ\ชื่อในพิธีศีลจุ่มแห่งความมืดของเธอคือนินจา แต่ว่านั่นเป็นความลับนะ
10100048	สูญสิ้นไปซะ เจ้าปีศาจชั้นต่ำ!\ข้าจะกำราบศัตรูแห่งพระเจ้าให้เป็นผุยผง!
10100049	มาสเตอร์หญิงแห่งโลกรัตติกาล สตรีลึกลับผู้หลอมรวมกับความมืดมิด
10100050	เลือดและการล่าล้างคือสิ่งที่เจ้าปรารถนา\เจ้ากระหายการทำลายล้างอันยิ่งใหญ่
10100052	พวกผู้ชายก็มักจะฝักใฝ่แต่เรื่องชั่วร้าย\เจ้าคิดหรือว่าเจ้าแตกต่างจากคนอื่น อยากจะลองทดสอบดูไหมล่ะ
10100053	ข้าแต่งเพลงขึ้นมาใหม่ล่ะ! ฟังดูสิ!\วันหนึ่งท่ามกลางมหาสมุทร ข้าได้พบกับไซเรน♪
10100054	ดอกไม้โดดเดี่ยวแห่งความปรารถนาเบ่งบานอยู่ในโลกปีศาจ...
10100055	"หากจดหมายนี้...ส่งถึงมือเจ้า...ล่ะก็..."
10100056	จำชื่อข้าไว้นะ…\นี่คือชื่อของผู้ที่จะมาปกครองเจ้า
10100057	เจ้าชอบกลิ่นกุหลาบสุดวิไลของข้าไหม?\แหม ดูเหมือนว่าเจ้าตกหลุมรักข้าเสียแล้วสินะ
10100058	ที่พำนักแสนสงบแห่งสุดท้ายของข้าคือที่ใด?\มีใครอยากมาร่วมกับข้าในโลกหน้าบ้างไหม?
10100059	นี่ อยากลองชิมอาหารฝีมือของข้าดูไหม?\ข้าใส่น้ำตาลลงไปแทนเกลือ อร่อยมากเลยนะ
10100060	"น็อต สลัก กับกุญแจเลื่อน! นี่ล่ะ ของจำเป็นเหนือสิ่งอื่นใดในโลกนี้!"
10100063	นักรบปากหนักผู้นี้จะไม่มีวันหยุดปกป้องเจ้า
10100064	ข้าไม่มีอะไรเลย...\นาวิ ไชลด์ผู้ว่างเปล่าและสูญเสียแรงใจที่จะมีชีวิตอยู่
10100065	"สู้เข้าไป! ข้าจะส่งแรงใจให้เสมอ!"
10100069	"สังหรณ์อยู่แล้วเชียวว่าเราจะได้พบกันแบบนี้ แต่ก็แน่ล่ะ ข้าอาจจะฟุ้งซ่านมากไปก็ได้"
10100070	ไชลด์ผู้เป็นอันธพาลวัยเยาว์\ที่ปรากฏตัวพร้อมกับที่ยิงจรวดดัดแปลงในมือ
10100072	เด็กสาวที่ไร้เดียงสาและร่าเริงผู้นี้จะทำอาหารและกินทุกอย่าง แต่เธอมีต่อมรับรสชาติที่แย่เหลือเกิน
10100075	ทหารผู้ภักดี\สิ่งใดที่มาสเตอร์ต้องการจะกลายเป็นความปรารถนาของนาง
10100079	"ข้าจะมุ่งไปตามหนทาง ข้าจะเผาทำลายความหวั่นเกรงและทุกสิ่งทุกอย่างที่เข้ามาขวาง!"
10100080	ไชลด์ผู้นี้มากับกีตาร์ไฟฟ้าพร้อมมือ "ร็อคแอนด์โรล เบบี้!"
10100081	เอาล่ะ มองหน้าข้าแล้วยิ้มอย่างอ่อนโยนสิ\ข้าจะอยู่เคียงข้างท่านตลอดไป
10100082	ตุ๊กตานี่เป็นอะไรที่น่ารักเหลือเกินนะ ว่าไหม?\เจ้าเองก็มาเป็นตุ๊กตาของข้าด้วยไหมล่ะ?
10100083	ในภาษาดอกไม้ ทานตะวันหมายความว่า "การเทิดทูนบูชา"
10100084	นักเล่นแร่แปรธาตุผู้พเนจรโดยลำพัง ตามหาความจริงอย่างไม่หยุดหย่อน
10100086	นักเล่นเชลโลผู้โดดเดี่ยว\เธอมักเล่นเพลงส่งวิญญาณในเมือง
10100088	ผู้เลื่อมใสในศาสตร์มืดที่สร้างปาฏิหาริย์ด้วยพลังปีศาจ
10100089	"ดอกไม้ทำให้ผู้คนมีความสุข ถ้าโลกนี้เต็มไปด้วยมวลหมู่ดอกไม้ การทะเลาะวิวาทก็คงจะหมดสิ้นไป"
10100090	มิวส์ นักดนตรีโดดเดี่ยวผู้ทะลวงความมืดมิดของราตรีกาล\เพื่อขับขานเกี่ยวกับชีวิตของมนุษย์
10100091	ข้าขอแนะนำให้เลิกไล่ตามสมบัติของข้า\ถ้าเจ้าไม่แน่ใจว่าจะสู้ราคามันไหวหรือไม่
10100092	ทำอะไรสักอย่างที่น่ารักแต่ก็น่ากลัว มืดมนแต่ก็เจิดจ้าให้ข้าทีสิ!\เรื่องการออกแบบเหรอ มันหน้าที่เจ้าไง!
10100093	เธอจะไม่มีวันหยุด ไม่มีวันถอยกลับอีกต่อไป\เพราะอีฟหลงทางอยู่บนโลกชั่วนิรันดร์
10100094	นางเอกผู้น่ารักตลอดกาลที่เฝ้าฝันถึงเจ้าชายทรงเสน่ห์ของเธอ
10100095	เทพีแห่งแมวผู้พกพากริชอำพราง และแฝงเร้นอยู่ในเงาของศัตรูเสมอ
10100096	นักประพันธ์เพลงเจ้าอารมณ์แต่เปี่ยมพรสวรรค์ผู้นี้\ไม่เคยเบื่อการเขียนเพลงใหม่ๆ
10100098	ไชลด์ที่ถือกำเนิดจากความดื้อรั้นของเด็กสาว\"เจ้าต้องมีจุดหมาย ไม่ใช่แค่มีพละกำลัง เพื่อที่จะปกป้องสิ่งสำคัญ"
10100100	"ข้าจะไม่มีวันเปลี่ยนไป และข้าก็อยากให้เจ้าเป็นอย่างที่เป็นอยู่ในตอนนี้"
10100101	นักยิงธนูผู้นี้ยังคงปล่อยลูกศร เพื่อประโยชน์สุขของคนเดียวดายทุกหนทุกแห่ง
10100102	เจ้าหญิงราตรีที่กำลังฝันผู้นี้ ถูกกักกุมอยู่ในโลกแห่งมายา
10100104	ไชลด์ผู้ร้องเพลงจากก้นบึ้งของหัวใจ\ถึงความรักที่เธอเก็บงำเอาไว้
10100105	นักผจญภัยผู้ตั้งเป้าเป็นการค้นหาโลกซึ่งไม่เป็นที่รู้จัก\จิตวิญญาณแห่งการบุกเบิกของเธอนำทางไปจนถึงโลกปีศาจ
10100106	ไม่ว่าเจ้าจะพูดอะไรก็ไม่อาจลบความผิดบาปได้\การแก้ตัวใดๆ นั้นไร้ค่าโดยสิ้นเชิง
10100107	นักร้องผู้ฝันอยากเป็นดาราโด่งดัง\นางคุมเวทีได้อยู่หมัดด้วยน้ำเสียงอันทรงพลัง
10100108	สุภาพสตรีผู้นี้มีชีวิตอยู่มาตั้งแต่เมื่อไหร่ก็ไม่รู้\ดูเหมือนเธอกำลังเก็บงำความลับที่ไม่มีใครล่วงรู้อยู่ด้วย...
10100109	เจ้าชายสุดหล่อ สาวสวยในชุดว่ายน้ำอยู่ทางนี้นะ\มาว่ายน้ำด้วยกันเถอะ!
10100110	เป็นราชาปีศาจเหรอ? เป็นเป้าหมายที่ไร้ความหมายจริงๆ!\ทุกสิ่งทุกอย่างจะเป็นไปตามที่ท่านผู้นั้นต้องการ
10100114	ไชลด์คนนี้สวมเสื้อพันธนาการด้วยความเต็มใจ\บางทีตัวตนที่แท้จริงของเธอคงจะเผยออกมาสักวันหนึ่ง
10100116	ฤดูใบไม้ผลิของเหล่ามนุษย์จบสิ้นไปนานแล้ว\บัดนี้เป็นฤดูใบไม้ผลิของเหล่าปีศาจ
10100119	ข้าเป็นไชลด์ที่นุ่มนิ่มน่ารัก ♪\มาเล่นกันเถอะ!"
10100120	อรุณสวัสดิ์! นี่คือ A.I สหายยามเที่ยงคืนของเจ้า\วันนี้ก็ถ่ายทอดการต่อสู้ทางแชนแนลอีวิลเหมือนเคยล่ะ!
10100121	ไชลด์ผู้เที่ยงธรรมที่หันมาจับอาวุธด้วยจิตวิญญาณแห่งผู้กล้า\เพื่อปกป้องคนอ่อนแอ
10100122	"ทีนี้ก็วางเดิมพันเลย! เกมที่ไม่มีวันสิ้นสุดกำลังจะเริ่มต้นแล้ว ใครยอมแพ้ก่อนก็พ่ายแพ้ไป!"
10100123	ไชลด์ผู้เกิดมาเพื่อเป็นที่สักการะบูชา\กษัตริย์จองหองที่ถือกำเนิดจากความละโมบของผู้ทำพันธสัญญา
10100125	ไชลด์ที่กลายเป็นเทพธิดาเพื่อซึมซาบในความรุ่งโรจน์
10100126	ผู้นำทางที่เตร็ดเตร่เรื่อยไปโดยไร้จุดหมาย\กำลังค้นหาสรวงสวรรค์ส่วนตัวที่ไม่มีผู้ใดล่วงรู้
10100127	เจ้าทำผิดกฎเข้าแล้วสินะ!?\ข้ามีของขวัญสำหรับเด็กดื้ออย่างเจ้า กุญแจมือไงล่ะ♪
10100128	"ไม่ต้องพูดมาก! คุยกันด้วยกำปั้นดีกว่า!"
10100130	เมื่อแสงแห่งปัญญาของนักบุญสาดส่องไปยังผู้เพิกเฉย\ดาบล้ำค่าจะเปล่งประกายในยุคเสื่อมโทรมของพุทธศาสนา
10100131	ผู้มีดวงใจที่สุกสว่างดังแสงยามเช้า\และคอยปกป้องคนที่เธอรักอยู่เสมอ
10100132	มาพนันกันหน่อยมั้ยล่ะ เราจะต่อต้านโชคชะตา!\ถ้าไม่ลองดูก็ไม่รู้น่ะสิ ใช่มั้ย?
10100134	"การเปิดตัวสุดเลอเลิศเป็นครั้งแรก เรือนร่างของข้า! ดูกล้ามเนื้อที่ยืดหยุ่นและหัวใจที่ร้อนแรงของข้าสิ!"
10100135	ฟีนิกซ์จอมพิโรธที่ถือกำเนิดจากเถ้าถ่าน "ข้าคือหนึ่งเดียวที่จะรอดชีวิต!"
10100136	คนรักของเจ้าที่ช่างฝันและก็เอาแต่ใจอยู่บ้าง
10100137	มงกุฎมีอยู่เพียงหนึ่งเดียว\มาลองดูกันว่าระหว่างข้ากับเจ้า ใครกันที่คู่ควร?
10100138	เด็กสาวแสนสดใสจากต่างแดนผู้นี้จะเริงร่าเป็นที่สุด เมื่อได้มุ่งหน้าวิ่งตรงออกไป
10100139	ข้ารู้ว่าข้าจะไปถึงที่นั่นหากร่อนเร่ต่อไปดั่งแม่น้ำที่ไหลเชี่ยว\"ที่นั่น" คือที่ไหน ข้าก็ไม่แน่ใจเท่าไหร่หรอก...
10100141	ผิวร้อนผ่าว
10100142	ผิวเย็นเฉียบ
10100143	สัตว์ประหลาดกิ้งก่ายักษ์ที่ร่างลุกโชติช่วงด้วยเปลวเพลิงสีแดง ปรากฏตัว!
10100144	สัตว์ประหลาดกิ้งก่ายักษ์ที่ร่างลุกโชติช่วงด้วยเปลวเพลิงสีน้ำเงิน ปรากฏตัว!
10100145	ลูกอมที่เจ้าตามหาปะปนอยู่ภายในนี้!
10100146	"ข้าใช้หูใหญ่เพื่อจะได้ฟังเจ้าชัดๆ!"
10100147	เทดดี้จะทำให้ฝันร้ายสุดพระกาฬของเจ้ากลายเป็นจริง
10100148	มองเห็นแกนกลางสีแดงได้ภายใต้ผิวหนังโปร่งแสงของมัน
10100149	มองเห็นแกนกลางสีน้ำเงินได้ภายใต้ผิวหนังโปร่งแสงของมัน
10100150	"โฮ่ง โฮ่ง! ชู่วว... ข้ากำลังแกล้งทำเป็นหมาอยู่"
10100151	"โฮ่ง โฮ่ง! ชู่วว... ข้ากำลังแกล้งทำเป็นหมาอยู่"
10100152	หญ้าเวทมนตร์ได้รับสารอาหารจากสิ่งมีชีวิตอื่นๆ
10100153	กาลครั้งหนึ่ง มีตุ๊กตาตัวหนึ่งอยากจะเป็นปีศาจ
10100155	ถ้ามาสเตอร์จะมาถึงตอนเที่ยง ข้าจะเริ่มลับคมเล็บรอตั้งแต่ 10 โมง
10100156	"เจ้าตรงนั้นน่ะ! เมื่อกี้เราสบตากันใช่ไหม"
10100157	ไม่มีการสนองตอบสัมผัสหรือคำถามของเจ้า
10100158	ข้าไม่ใช่ลาทั่วไปนะ ข้าคือล่อต่างหากล่ะ
10100159	สายพันธุ์สุนัขที่จงรักภักดี เป็นศัตรูกับปีศาจแมวอย่างเปิดเผย
10100160	แทบไม่มีการสนองตอบสัมผัสของเจ้าเลย มันจะดุร้ายก็ต่อเมื่ออยู่ในการต่อสู้เท่านั้น
10100161	ผลไม้ปีศาจที่มีทักษะในการเลียนแบบสตรอว์เบอร์รี รวมถึงรสชาติด้วย
10100162	เมื่อพวกมันรู้สึกว่าถูกคุกคาม พวกมันมักจะตอบโต้เป็นฝูง
10100163	หลังจากถูกปนเปื้อนด้วยไอพิษของปีศาจ\มันก็ไม่สามารถกลายเป็นแมนเดรกได้
10100164	กระรอกที่งับหางไว้ในปากเป็นสัญลักษณ์แทนการกำเนิดทั้งปวง
10100165	เสียงกีบเท้าที่ดังฟังชัดนั้นไม่ค่อยเข้ากันกับร่างเล็กจ้อยของมัน
10100166	"ข้าขอมอบชีวิตนี้แด่ท่าน มาสเตอร์"
10100167	สายพันธุ์ผ่าเหล่าที่แรกเริ่มอาศัยอยู่ในโลกปีศาจ\และตอนนี้แพร่ไปถึงโลกมนุษย์แล้ว
10100168	"ตั้งใจฟังให้ดี ข้าจะพูดแค่หนเดียว แล้วอย่าร้องไห้ขี้มูกโป่งมาหาเพราะเจ้าพลาดฟังท่อนไหนไปเสียล่ะ"
10100169	"เฮ้ เจ้าน่ะ! เออ เจ้าคนร้าย! ระวังตัวด้วยเวลาเดินไปไหนมาไหนตอนกลางคืน!"
10100170	ความปรารถนาคือความรู้สึกอันบริสุทธิ์\ไชลด์ที่กำเนิดจากขุมนรกทมิฬแห่งจิตใจมนุษย์
10100171	"โฮกกก! ข้าจะเคี้ยวร่างของเจ้า และถ้าเจ้าไม่ชอบ ข้าก็จะกัดเจ้าให้ตาย!"
10100172	"วาระสุดท้ายคือการตายที่ไร้ความหมายรอเจ้าอยู่ เพราะฉะนั้นก็จงตายเสียที่นี่ หรือจะอยู่ต่อไป ก็จงเลือกซะ!"
10100173	"ไม่ว่าจะถูกรักหรือถูกทอดทิ้ง ข้าก็แค่อยากจะมีความสุข"
10100174	"กระเทาะเปลือกไข่ที่ไม่ยอมตั้งงั้นเหรอ การผจญภัยของเจ้าช่างเหมือนๆ กันไปหมด ใช่ไหมล่ะ"
10100175	มันโต้ตอบเฉพาะกับคาถาเวทมนตร์ "แครอท"
10100176	ไชลด์ที่มีเพียงหนึ่งความทรงจำ ตามหาตัวเองด้วยความดื้อรั้นอย่างรุนแรง
10100177	"เจ้าตามหาความตายที่งดงามงั้นเหรอ ถ้าอย่างนั้นก็ให้ข้าเด็ดหัวนั้นออกจากบ่าของเจ้าเสียเถอะ"
10100178	จงแผดเผา! จงแผดเผา!\เปลวเพลิงแห่งนรกกลืนกินทุกสิ่งทุกอย่าง!
10100179	มันอาจจะดูเชื่อง แต่มันมีพิษร้ายถึงตาย
10100180	ข้าจะ...ปกป้องผู้อ่อนแอ...\ข้าจะ...บดขยี้ผู้ที่ขวางทาง...
10100181	ร่างนี้เต็มไปด้วยความเจ็บปวดและความอัปยศ
10100183	ถ้าไม่กินก็ถูกกิน จงเลือกเอา!\แน่นอนว่าข้าจะต้องเป็นฝ่ายกินอยู่แล้ว
10100184	เงาแปลกประหลาดทอดตัวบนผืนหิมะ มีตำนานเล่าลือถึงมังกรโดดเดี่ยวเร้นกายอยู่เบื้องหลัง
10100185	"รับทราบ ล็อคเป้าหมายแล้ว\ข้าจับเหยื่อใส่กระสอบเสมอ"
10100186	"ยินดีต้อนรับ ท่านลูกค้าผู้ทรงเกียรติ!\วันนี้ท่านก็ดูสีหน้าไม่ค่อยดีอีกแล้วนะ..."
10100187	"สวัสดี มาสเตอร์ โมอา ไชลด์ผู้จงรักภักดีเสมอของท่านมาแล้ว ขอเวลาสักครู่ ยังมีโมอาอื่นๆ อยู่อีก"
10100188	นั่นคือแชมเปี้ยนโฮ่งโฮ่ง ไชลด์พละกำลังแกร่งกล้าผู้สวมถุงมือแห่งสันติสุข
10100189	หญิงผู้พันธนาการร่างกายเพื่อปกป้องตนจากความบ้าคลั่งของตัวเธอเอง
10100190	"ท่านสุภาพสตรีและสุภาพบุรุษ…\ท่านผู้ใดเรียกหาเบลบอย ผู้ส่งสารยามเที่ยงคืนหรือไม่?
10100191	ไชลด์ขี้ขลาดที่ปลอมตนเป็นสัตว์ร้ายน่าสะพรึงกลัว\"อย่าเข้ามาใกล้กว่านั้นนะ!"
10100192	รำคาญใจกับเสียงดังในละแวกที่อยู่อาศัยเหรอ\อยากจะแก้แค้นพวกมันด้วยเสียงมรณะของข้าไหมล่ะ
10100193	เตรียมตัวพบกับท่วงทำนองเพลงที่น่าชิงชังมากที่สุดในโลกนี้!\เดธเมทัล เสียงกรีดร้องของปีศาจ!
10100194	ฝันร้ายเล็กๆ ในความทรงจำที่ถูกฉีกออกเป็นชิ้นเล็กชิ้นน้อย
10200001	ยืนหยัดเพื่อความยุติธรรมอย่างไม่หวาดหวั่น\ลุกขึ้นมาสู้กับข้าสิ!
10200004	จูดาส จักรพรรดิแห่งนครทมิฬ\ไม่มีสิ่งใดที่ทรงพลังเกินกว่าความปรารถนาที่บริสุทธิ์ไร้สิ่งเจือปน
10200005	"เจ้าจะโกหกตัวเองไปอีกนานแค่ไหน ปลดปล่อยความโกรธของเจ้าออกมา!"
10200007	อาเทนผู้มีเล่ห์เหลี่ยมและทำอะไรตามอำเภอใจ\ดวงอาทิตย์สีดำที่ปรากฏท่ามกลางป่าคอนกรีต
10200010	คุณชายจอมอวดดีที่ใฝ่ฝันจะครอบครองโลก
10200014	ข้าเป็นเพียงคนเดียวที่ปกป้องซิว่าได้!
10200015	ด้วยดาบนี้ข้าขอสาบาน\ความรักนิรันดร์ที่มีต่อรูซัลกา!
10200019	"จงซื่อสัตย์และซื่อตรงงั้นเหรอ? ไม่ล่ะ การเสพสุขอยู่กับปัจจุบันต่างหากที่สำคัญยิ่งกว่าสิ่งใด"
10200020	ข้าอยากเป็นแฟรี่ผู้ส่องประกายให้ทุกคนได้เห็น\ข้าอยากภาพของข้าติดตรึงใจเจ้า
10200023	"ความยุติธรรม ความใฝ่ฝัน ความกล้าหาญงั้นเหรอ\ข้าเกลียดชังทุกอย่างที่ว่ามานั้น! ฮ่า ฮ่า ฮ่า!"
10200024	"การเป็นไชลด์ที่ว่านอนสอนง่ายน่ะน่าเบื่อจะตายไป ข้าจะกลายเป็นยอดแห่งมารร้ายที่ทั้งโลกต้องรู้จัก!"
10200029	"ข้าสูญเสียความทรงจำ แต่หัวใจยังคงอยู่ อยากลองชิมช็อกโกแลตของข้าสักหน่อยไหม"
10200031	ข้าจะเป็นแสงสว่างดวงเล็กๆ ของเจ้า
10200033	ไชลด์ลึกลับที่ปรากฏตัวอย่างอ่อนโยน แล้วหายจากไปราวกับภาพลวงตา
10200036	หากต้องการให้ใครสักคนเป็นของเจ้า\วิธีที่ดีที่สุดคือการทำให้พวกเขาศิโรราบ
10200037	เทพธิดาแห่งความทุกข์โศก ผู้สถิตอยู่ ณ ห้วงทะเลแห่งความเศร้า...
10200038	สาวไร้หัวใจผู้มีพละกำลังแกร่งกล้า\"ข้าจะแก้ไขสถานการณ์นี้ด้วยค้อนยักษ์ของข้า!"
10200039	เด็กสาวที่มีโฉมหน้านับพัน "ข้าจะสวมบทบาทใดก็ได้ตามที่เจ้าต้องการ"
10200040	ไชลด์ประสงค์ร้ายมีจิตใจดำมืดซ่อนไว้ภายใต้อาภรณ์สีขาวบริสุทธิ์
10200041	"จงมาหาข้าเมื่อเจ้าได้รับการปลดปล่อยจากพันธนาการ สรวงสวรรค์ชั่วนิรันดร์คอยเจ้าอยู่"
10200042	"คิดเหรอว่าเจ้าจะเอาชนะข้าได้ในการประกวดความงาม"
10200044	อีกด้านหนึ่งของคมมีดวาววับนั้น\ปรากฏเงาของไชลด์ที่เย้ยหยันด้วยความริษยา...
10200045	"ความจริงเป็นเหมือนกับภาพปริศนาที่ไม่ครบถ้วน ทีนี้ มาต่อชิ้นส่วนเข้าด้วยกันเถอะ"
10200046	ข้าจะไม่ยอมให้ใครมารังแกผู้อ่อนแอ\แม้ว่าเหยื่อจะเป็นปีศาจก็ตาม
10200048	จอมเวทย์เมอร์ลินตัวน้อยปรากฏตัวในโลกแห่งความจริง\หลังจากถูกปีศาจที่เบื่อหน่ายอัญเชิญออกมา!
10200050	ลอร์ดผู้หลับใหลอยู่ในขุมนรกหวนกลับมาแล้ว!
10200055	ในค่ำคืนเดือนหงาย หมาป่าที่ชอบเล่นพิเรนทร์ได้ตื่นขึ้น
10200057	เราทุกคนจะต้องมีความสุข\อย่ายอมแพ้สิ!
10200058	ไชลด์แสนสุขุมผู้ไม่ปรารถนาสิ่งใด
10200059	นั่นคืออโทรพอส นักแบดมินตันผู้เลือดร้อน\"วิ่งออกไปโดยไม่ต้องเหลียวหลัง!"
10200060	"ชื่อของข้าคือจานา ข้าคือผีเสื้อทมิฬผู้สังหารเทพแห่งโรคระบาด"
10200061	ถ้าเจ้าต้องการ ข้าจะแบ่งสมบัติกับเจ้าก็ได้\ถึงเจ้าจะเหมาะจะเป็นยาจกมากกว่าก็เถอะ
10200062	"เจ้าช่างโลภมากเหลือเกินนะ ข้าไม่มีของขวัญจะให้เจ้าหรอก"
10200064	"กระสุนที่ยิงออกไปแล้วย่อมไม่หวนกลับ จงบุกบั่นเดินหน้าไปตามหนทางที่เจ้าเชื่อมั่น!"
10200067	โกรว์แคทนอนฝันถึงปลากระป๋องอยู่รึเปล่านะ?
10200068	ความอ่อนแอของเจ้า...อยู่ตรงนี้แล้ว! จงหลั่งเลือดให้ไหลนอง!
10200069	"บันนี่อีสเตอร์หน้าตาเป็นแบบนี้ อย่าได้หลงลืมเสียล่ะ"
10200070	ไฟท์เตอร์แห่งท้องถนนยามราตรีผู้ปรากฏตัวเวลา 2:00น. ราวกับภาพลวงตา
10200071	ทุกคนต่างมีความชั่วร้ายยกเว้นข้า\การพิพากษาเท่านั้นที่รอคอยความชั่วร้ายอยู่
10200072	มาดื่มชาท่ามกลางแสงแดดกันสักหน่อยมั้ยล่ะ?\ข้าจะไม่ลืมคำพูดของเจ้าเลย
