// key	CHAT_SPA_
sc001_spa_1	呼…沒什麼比寵愛自己一下更好的了♥
sc017_spa_max	我玩得很盡興，所以現在完全精疲力盡了。但是我感覺好多了！謝謝你帶我來到這個溫泉。你今天想玩些什麼呢，主人？
sc018_spa_1	哇。你什麼都沒看到，對吧？
sc018_spa_2	你是來見我的？騙人。你是來找其他Child的，對吧？惡魔都是不可信任的。
sc018_spa_3	嗯，你今天會再唱一首歌給暗隆聽，對吧？咦？你臉都紅了耶。你感冒了嗎？
sc018_spa_4	嘻嘻…我今天又被稱讚了！我心情正好，所以我會繼續幫助你的！
sc018_spa_max	我是可以更努力戰鬥，但是我不想要受傷，我討厭疼痛。但我的確想要幫助你。
sc019_spa_1	你經常入浴嗎？
sc019_spa_2	誰說你可以跟我講話的？在我泡完溫泉前，你都安靜地等著。
sc019_spa_3	咦？你只是因為人到這裡了，所以過來打個招呼？哪有惡魔會做這種事的啦？好吧。反正跟你打個招呼，我也不會少一塊肉。
sc019_spa_max	你該不會以為帶我來泡溫泉，你的任務就完成了吧？如果你想要我認你為主人，那你可要好好討好我。這樣我才會接受你。
sc020_spa_1	嗯，你好啊，小不點。你比我預期的還要成熟呢。
sc020_spa_2	如果你以為把我帶到這種地方就算做得很好，那你也太容易自滿了吧？其他惡魔可是知道比這裡更好的地方喔。
sc020_spa_3	我都不知道惡魔也喜歡溫泉。　看來我們兩個之間，比我想得還要有共同點。我們是不是命中注定要相遇的呢？
sc020_spa_4	我就知道我的骰子沒有錯！骰子預言了我最近會有好運發生，但我沒想到是這麼棒的事。
sc020_spa_max	好好休息才會有好運氣！準備見識我的厲害吧，小不點，因為我會全力戰鬥的。
sc022_spa_1	噢天吶，我真愛AR的東西！溫泉活動正在熱烈進行中！
sc022_spa_2	我們已經要回去了？你真小氣。如果你不想玩，就別來煩我。「接招！我的究極奧義！」喔，拜託，配合我一下會怎樣嘛？
sc022_spa_3	幹嘛臉這麼臭？呵呵…你又被你的助手罵了嗎？別抱怨了，來玩個遊戲吧！…然後在溫泉裡好好放鬆吧。
sc022_spa_4	你又跑來找我？你還真是可悲呢。別擔心。我不會告訴你助手的！你欠我一次人情喔，知道了嗎？
sc022_spa_max	你可別因為帶我來到溫泉，就以為自己成功了喔。真是可悲。雖然我有點感謝你就是了。謝啦…
sc026_spa_1	這裡，惡魔大人！我會讓你變得白帥帥的。哈哈哈！
sc026_spa_2	你說過不會熱的！你騙人！你真是糟透了！我真不敢相信！嗯…但這真的感覺滿舒服的…但是，你還是很過分！你這個大笨蛋！
sc026_spa_3	你喜歡別人搔你癢嗎，惡魔先生？我喜歡別人搔我癢喔。嘻嘻…來嘛，惡魔先生！惡魔先生…
sc026_spa_4	唉…我好溫暖喔。感覺身體好沉重。好想睡…惡魔先生，你要在我醒來以前照顧好我喔。
sc026_spa_max	你不泡溫泉嗎，惡魔先生？感覺好舒服好溫暖啊~可別顧忌我啊—快進來吧！如果你不進來的話，我就要搔你癢囉！
sc027_spa_1	溫泉大突進！
sc027_spa_2	你迷路了嗎？這是我們第一次見面，但我很高興認識你。
sc027_spa_3	為了你而戰鬥還滿值得的嘛。我還真沒想到你會帶我到這麼棒的地方。但你可別誤會了。我努力戰鬥可不是為了要得到獎賞喔。不管你什麼時候呼喚我，我都會來幫助你的。
sc027_spa_max	傳說中的英雄辛西亞是絕對不會為了惡魔而戰的！但是！她會願意為了朋友而身歷險境！
sc028_spa_1	啊，感覺真是太舒服了♥等、等一下！你在看什麼啊？！只有王子才有資格盯著我看！
sc028_spa_2	喂，你在這裡幹嘛啊？如果你有時間的話，過來給我來個馬殺雞，或者買點清涼的飲料給我喝。
sc028_spa_3	來人啊！誰都可以！沒有人在嗎？你竟敢利用我勒達公主，真是太過分了！你以為帶我來到溫泉，就可以免去你的處罰嗎？嗯…我這麼仁慈，我想我這次是可以原諒你的無禮。
sc028_spa_4	嗯。聽說你處處跟人炫耀我喔。請你低調一點吧！我討厭愚蠢的僕人！
sc028_spa_max	我一定要說我很喜歡嗎？好吧…如果你想知道我的答案，我就告訴你吧：水的溫度、濕度、水質和服務品質都讓我滿意。嘻嘻！
sc029_spa_1	哎呀，我可以在水面看見月亮的倒影呢。真美…
sc029_spa_2	你說因為你帶我到這個溫泉，所以就希望我別在外面遊蕩了？反正，你也會帶其他Child來這裡吧？你還真是任性。
sc029_spa_3	泡溫泉會讓忘記注意時間。所以，請繼續和我聊天吧。
sc029_spa_4	這裡真迷人。正是你推薦的地方該有的樣子，主人。下一次我們出去的時候，就該來這裡。噓—我已經決定了，所以我不許你回嘴。
sc029_spa_max	你今天看起來精神很差。向我展示你內心殘留的黑暗，我會為你轉為光明的。你問我是怎麼做到的嗎？嘻嘻…那是秘密。
sc030_spa_1	哼。這是一件難辦的案件呢。我可能沒辦法解決了。
sc030_spa_2	等一下。我需要專注。社會問題可是很難解決的。至於為什麼…因為你需要預測文化的變遷。
sc030_spa_3	助手。你為什麼從剛剛開始，就一直默默在旁邊偷聽？偵探的心可是只有有趣的案件才能夠打動的！
sc030_spa_4	助手。我們已經認識彼此多久了？我覺得我們一起行動的時機到了！
sc030_spa_max	很久很久以前，有一位失去雙親的偵探。這位偵探不斷尋找殺害雙親的兇手。最後，她得出了犯人是個惡魔的結論。在這之後，為了實行報復，她將自己轉變成了惡魔。…如何？這故事滿有趣的，對吧？
sc031_spa_1	我雖然是隻貓…\但我也很喜歡熱水喵…
sc031_spa_2	當主人喵難過的時候，尾巴就會垂下來。就跟我一樣喵。所以我了解主人喵的感受！
sc031_spa_3	我喜歡溫泉，但是…大部分的貓咪並不喜歡。所以如果一隻貓咪跟著你泡溫泉，主人喵，那表示牠一定很喜歡主人喵。
sc031_spa_max	喵娜教了我許多東西。我…我是個Child，所以我必須幫助我的主人喵！
sc032_spa_1	我用溫泉水煮了這個溏心蛋給你，主人。
sc032_spa_2	你又來了？嗯？你說我看起來有點煩惱？並沒有。唯一讓我不開心的，就是休息的時候還要被打擾。
sc032_spa_3	你只要覺得累了，隨時都可以跟我說。我會一直伴隨在左右來幫助你的。
sc032_spa_max	最好的女僕是不應該出現在主人視線範圍之內的！我不在乎人們能不能理解。只要你能夠理解，我就覺得足夠了。
sc033_spa_1	我感到我的身心受到了洗滌。
sc033_spa_2	你今天怎麼會來這裡呢？你不會是來這裡盯著我的吧？你真的不用擔心。我只是來享受溫泉的。
sc033_spa_3	我一直十分期待你的到來，主人。至於為什麼…很簡單，因為我喜歡像這樣跟你共度美好時光。
sc033_spa_max	這裡的Child都深受你的喜愛…當然也包括我在內。
sc034_spa_1	哼…你果然是個惡魔呢，竟然如此無恥地在此處晃蕩。
sc034_spa_2	怎麼了？你看起來很累。每個人都需要做適當的休息的。
sc034_spa_3	我已經很久沒有休息這麼久了。我想有時候像這樣享受，也沒什麼壞處。你應該同意吧？
sc034_spa_max	你會照顧我—這我了解。所以你才帶我來這裡，對吧？真是謝謝你了。
sc035_spa_1	我想…和這個溫泉的所有者談判…
sc035_spa_2	這麼美的地方，竟然只有特定的Child可以進來。真是不公平。也許這世界上的幸福就是有限的…
sc035_spa_3	你每次對我好，主人，我都忍不住猜想你是不是想掩蓋自己什麽大錯。還是你真的是在表達你對我的疼愛呢？
sc035_spa_4	如果每個人都能像我一樣看待你就好了。你真的是個好人，為什麼大家還要一直找你麻煩呢？
sc035_spa_max	你等著。我會把史上最棒的魔界送給主人當禮物的。
sc036_spa_1	他是個填充動物玩偶又如何？熊熊還是很愛洗澡。對吧，熊熊？
sc036_spa_2	我真不敢相信你竟然私藏這種寶地。你真的以為我不會發現嗎？你還真是邪惡的惡魔。
sc036_spa_3	你覺得這裡值多少錢？這是Child專用的溫泉，對吧？這應該很稀有吧！我真想把它買下來！
sc036_spa_4	你房間有許多東西還滿吸引我的。你覺得把一些東西賣給我怎麼樣？我會以市場價收購！不，高於市價好了！
sc036_spa_5	我最想要的，就是取得一件獨一無二的物品。你問我想得手哪一件物品嗎？嗯…這我還在思考當中。
sc036_spa_max	嗯，聽好了。我很不想說這種事，但是…我覺得你可能太大了，沒辦法裝進熊熊裡。你有想過要減肥嗎？
sc037_spa_1	來吧，小子。這種程度還不足以讓我熱血沸騰呢。
sc037_spa_2	我才不在乎你是不是要參加魔王爭奪戰。我只想把所有惹毛我的人給解決掉。
sc037_spa_3	你夠了吧，小子。別再一臉悶悶不樂又想猜測我心情怎樣了。如果你保證成為我的僕人，我就會特別照顧你的。
sc037_spa_max	當時機來臨，我們就會知道誰最有資格成為魔王。到目前為止，我都還不覺得任何人會有機會。看來只好靜觀其變，看看是你還是我會勝出了。
sc038_spa_1	呃，哈囉？你是從什麼時候開始在那盯著我看的呢？
sc038_spa_2	真是的，這個地方是怎麼回事啊？每個人都四處誇耀自己的主人…我並不是無法理解，畢竟我的主人也是很棒的。
sc038_spa_3	主人~再靠過來一點嘛！和主人在一起的溫泉約會可是最棒的呢！
sc038_spa_4	嘿、嘿！你看！♥泡了溫泉之後，我的皮膚變得超好的！♥你要有心理準備，我可是會比以前更可愛的唷！♥
sc038_spa_5	在溫泉約會是很好，但是…我也想嘗試一下其他地方~我知道了！作為帶我來溫泉的回禮，下一次就讓我帶你去我喜歡的約會地點吧！♥
sc038_spa_max	主人！♥你知道今天是什麽日子嗎？是我們第一次見面的紀念日喔！♥既然是我們倆的特殊節日，你不整天都待在我身邊可不行喔~
sc039_spa_1	你再一直盯著我看，我－我就要揍人囉…
sc039_spa_2	你以為你能夠從我口中聽到什麼好話嗎？少用你那些冷笑話來煩我了！快在你汙染我周圍的空氣之前，滾出我的視線！
sc039_spa_3	沒有經過我的許可，我可是不會讓任何人看見我的素顏的！別再站在那邊了，你就…走遠一點，在別的地方等啦！別再盯著我了！
sc039_spa_4	你大概是誤會了。我看起來總是那麼煩躁不是因為我討厭你，或任何類似的原因。我只是害羞而已！
sc039_spa_max	怎麼又來了…不管我把你吼你多少次，你都從不放棄。無論天晴或下雨，你總是過來關心我的狀況。真是個怪人！哼。我到底是做了什麼才落得這種下場啊？別在這邊鬼鬼祟祟的了，快滾開。
sc040_spa_1	偷看我洗澡？你果然是惡魔呢。
sc040_spa_2	我想要什麼？沒什麽想要的。如果我一定要許願的話，我會希望你可以更像個真正的主人。但是不值得把願望用在這種地方，對吧？
sc040_spa_3	因為你的Child不會總是聽你的話，所以你很擔心，對吧？你可以放心啦。你還是有像我這麼忠心的Child的。
sc040_spa_max	你為什麼這麼擔心我的表情？我的確沒什麽多采多姿的表情…但那並不表示我漠不關心。放輕鬆點吧。
sc041_spa_1	嗯－啾。
sc041_spa_2	會叫的狗不咬人。真正的猛獸總是安靜地坐著，等待著適當的時機來對獵物展開攻擊。
sc041_spa_3	你肯定是幸運無比，才能夠得到像我這麼棒的Child。你可能是把今生的好運全都用完了，才遇見我的喔，小不點。
sc041_spa_max	我聽說你最近對上了可怕的對手。但是你為什麼沒有帶我一起去呢？如果你有帶我去的話，就能讓我大展身手了…
sc043_spa_1	我的天吶！這真是太舒服了！
sc043_spa_2	也許我錯怪你了。我不知道你會招待我來這麼好的地方。嘿，夠了！別在那邊高興的蠢笑了！
sc043_spa_3	我見過許多Child，而我絕對是裡面最可愛的！至於你——你能夠得到我，真是三生有幸！♪
sc043_spa_4	哈哈…我以為我長大了之後就會堅強起來，但從我現在還是這麼弱看起來，也許我還沒有長大。
sc043_spa_5	我們今天的戰鬥還真是激烈啊。該在溫泉裡釋放所有累積的壓力了。辛苦了！
sc043_spa_max	什麼？你想知道我喜不喜歡這裡？我當然喜歡！我一年四季一天到晚都在這裡也沒關係！你可要再帶我一起來喔！所以今後也多多指教了喔，惡魔小朋友★★
sc044_spa_1	好－好燙…我覺得我的血壓升高了…
sc044_spa_2	哎呀呀。能夠在這裡遇見彼此，也是某種緣分吧。坦白講，我還以為這場緣分永遠不會來呢。哈哈，我開玩笑的。
sc044_spa_3	我是信任你的喔。這個，雖然我的確只有你可以信任沒錯，但是…
sc044_spa_4	泡進充滿蒸氣的溫泉後，即使是像我這樣的人也可以恢復精力。嗯，還真不錯呢。
sc044_spa_5	我怎麼感覺，這裡的大家都在進行某種競賽啊？是在進行忍耐大會嗎？明明一切都照著計劃進行的，我忍不住開始猜想這是怎麼回事。嗯？你問我這是什麼意思？誰知道呢…？
sc044_spa_max	那些魅魔又對你訓話了一頓吧？你看起來有點失落，但你其實不用這樣。其實你這候補生比我所以為的還要更加厲害。對自己有點信心吧。
sc045_spa_1	這真令人元氣滿滿呢。
sc045_spa_2	哎噁…這個地方滿滿都是我的對手嘛。像是那邊那個女的。還有那邊那個也是…我可必須保持在最佳狀態！
sc045_spa_3	主人！泡溫泉應該要安靜！我知道你是我的超級粉絲，但你這種態度，真的很遜耶。
sc045_spa_4	聽好了喔！我剛剛遇到我的粉絲耶。我過去幫他們簽名，然後—嗯！？主人，你不相信我對吧？我、我…嗚嗚…明明總是這麼努力的…
sc045_spa_5	泡溫泉也是成為最棒偶像所必要的經歷，對吧？這些都是學習體驗的一部分！至少，本來應該是這樣的。但大部分的時間，我都在享受這種幸福的感覺。
sc045_spa_max	主人，你總有一天會和我一起上台的，對吧？登上由歡笑、歡呼所包圍，充滿感動和興奮的舞台…
sc047_spa_1	我討厭水。我每次都會把水直接蒸發掉…
sc047_spa_2	等一下！我聽到有專門給Child的溫泉還很開心，但這水根本連溫熱都稱不上啊！
sc047_spa_3	你一路追著我到這裡嗎？你真是最差勁了…
sc047_spa_4	呼…我已經好久沒有感覺這麼自在了！完全沒人打擾我—喔，你也在啊。我會假裝沒看到你的。快走吧。乖乖的回去。
sc047_spa_5	你臉上的傻笑是怎麼回事？嗯…你知道嗎？你其實笑起來很好看。我會…收回剛剛說的話。
sc047_spa_max	要一直回來這裡聽你發牢騷和抱怨，還真是麻煩。但…我是你的Child，而你是我的主人，所以我也只好忍受一下了。
sc048_spa_1	你覺得這會讓我開心？哈…
sc048_spa_2	嗯？你這表情是什麼意思？我覺得你好像有點誤會。我只是試著在享受這個地方，你可以不要打擾我嗎？或者完全消失更好？
sc048_spa_3	你今天有什麼事嗎？因為我不是魅魔，所以我是不會加班的。這樣你懂了嗎？很好。現在你可以離開了。走吧。
sc048_spa_4	我想也許是我錯看…溫泉了。我覺得我可能不太喜歡溫泉。哼…這麼麻煩的活動，就讓我們快點搞定吧。
sc048_spa_max	我今天心情沒有很好。昨天也不是很好。甚至前天也是如此。坦白講，我從來沒有心情好的時候。我想，我會一直都是如此吧。雖然我也不是自己希望有這種心情的…
sc049_spa_1	啊…這也真是能幫助我獲得平靜啊…
sc049_spa_2	這硫磺的味道…我們一定是在地獄深處吧。就算是如此，這也不重要。我的信念是不會因此而改變的。
sc049_spa_3	我的主曾經說過「朝著海洋舉起你的手臂。」「海水就會分離，而你就可以走在乾燥的道路上。」…不、不是這樣，我沒有用這來當作玩水的藉口！
sc049_spa_4	我絕對不會臣服於惡魔的誘惑之下。但如果你偶而展現的好意，真的是來自於善心…那麼對我來說就沒有問題了。
sc049_spa_5	你居然要把我留在這裡…你沒想過我逃跑了該怎麼辦嗎？你真是粗心的惡魔呢。但是，也因為如此…我們之間的距離也被一點一點的拉近了。
sc049_spa_max	你所展現的善意，源自於你的正直。所以請別再否定你的善良了。神會赦免一切，甚至是惡魔。現在合起雙手，一起來禱告吧。為了你的救贖…
sc051_spa_1	…是不是有點冷掉了？
sc051_spa_2	既然我們都到這裡了，何不享受一下呢！我想你根本沒有休息一下的餘裕對吧？哇哈哈！
sc051_spa_3	我一直在想喔，你看起來好像沒有什麼成長誒。喔，怎麼？你生氣了嗎？你生氣了對吧？
sc051_spa_4	我的天，你真的很讓人頭痛誒，你知道嗎？如果你有空在這邊搏交情，那你何不去找找更多契約者？還是說，你一點主意也沒有，所以只能在這邊閒晃耗時間而已？
sc051_spa_5	成為好惡魔的條件？我為什麼要回答你？你忘記我們是敵人了嗎？不對，不是敵人，是死敵！沒錯，我們是死敵！
sc051_spa_max	你看起來挺閒的。方便說一下話嗎？很好，那聽好，我要跟你說些事。是關於我未來計畫的事！首先！我要成為魔王！接著！我要發起一場革命！至於革命的原因呢，這我還沒決定，但這不重要…聽起來很不錯對吧？
sc052_spa_1	我知道我很有魅力啦，但你可以不要一直盯著看嗎？
sc052_spa_2	哎呀…看看這些單純無辜的羔羊。如果一切順利，也許比利特教會多幾個信徒也說不定。
sc052_spa_3	我真是無法理解。我的話術應該對任何人都有效的，但這些Child只是一直說我很「可愛」。這是怎麼回事呢？
sc052_spa_max	嗯？主人，你去哪了？敢讓我比利特大人等待，膽子還真大啊。要是再犯的話，我可是會詛咒你的。……不過我也不覺得主人會犯下同樣的錯就是了。主人可沒這麼大的膽子。
sc053_spa_1	你在想些色色的事情，對吧？
sc053_spa_2	噓。住口。你的想法讓我很不愉快。
sc053_spa_3	你擔心太多沒意義的東西了。你愈是被它們困擾，你的心靈就愈被它們消耗。這很累人。所以拜託了，你能去冥想一下之類的，讓你的腦袋安靜下來嗎？
sc053_spa_4	你要我猜猜你現在在想什麼？不了，謝謝。我不想讀你的心，我想聽你自己說。
sc053_spa_5	這個溫泉嗎？我很喜歡。不過你應該只是把我說的當作是社交辭令，對吧？對我說的話有點信心吧。我絕不說謊。
sc053_spa_max	這裡比其他地方安靜。我不會介意再回來這裡。
sc054_spa_1	沒有什麼比你放下防備更危險的了。保持冷靜，隨機應變。
sc054_spa_2	嗯…？我感覺到有好幾個Child躲在水裡！這就是溫泉一直滿出來的原因。我會安靜地把他們處理掉的。
sc054_spa_3	鼓起勇氣吧。你命中註定會成為魔王的。我很確定這點。
sc054_spa_max	沒有什麼比在戰場上誕生的羈絆還強的關係了。我們就有這樣的羈絆。我甚至知道如何將這樣的關係昇華到更高的境界……
sc056_spa_1	我能感受到體內充滿了力量！\下次見面，我絕對會了結他！
sc056_spa_2	我的主人只有一個：那就是全知全能的主。惡魔只是我討伐的目標。
sc056_spa_3	你不會覺得自己太擔心我了嗎？如果這讓你不小心被淨化了，可別怪我啊！…我開玩笑的。
sc056_spa_max	惡魔啊，捨棄你們世俗的慾望，清醒吧，接受聖潔的召喚。如此，連你們這樣的惡魔都能獲得祂的赦免。
sc057_spa_1	有時候這種餘興節目也不錯…
sc057_spa_2	你好啊，我的貴客。你特別安排了時間來找我嗎？太貼心了。你今天有哪些故事能跟我說呢？
sc057_spa_3	哎呀哎呀。看看是誰來了。正好就是我想看到的人。我剛好想到你而已呢。至於為什麼…呼呼呼~
sc057_spa_4	我挺喜歡偶爾坐在這裡無所事事一下。你覺得我會想什麼呢？好吧……我是惡魔信徒啊。所以當然是惡魔啊！
sc057_spa_5	今天過得很不順嗎？不要裝了啦，都寫在你的臉上了。你就像一本翻開的書一樣好讀懂。你真的是很獨特的惡魔，而且是唯一一個這麼單純、青澀的小惡魔。
sc057_spa_max	哈囉，我可愛的顧客。你能偷跑出來看看我真是太棒了。我怎麼會知道的？嘿嘿。全都寫在你臉上了。
sc058_spa_1	一旦輕忽，總是會有報應的…
sc058_spa_2	我原本好像有什麼事要做。好像跟我的名字、使命和命運有關？你知道是什麼嗎？
sc058_spa_3	若是經典所在之處，則為有佛，若尊重弟子。「凡是該經所在之處，就是佛所在之處。若能解說此經典，則弟子亦可為師。」
sc058_spa_4	你問我是不是討厭你？誰知道呢。對你有所不滿就代表我需有情，若我有情，則與眾生相同皆為有情物。嗯。也許我真與眾生無異。
sc058_spa_5	我突然想到一件事。然而，我無法用言語表達，但所考慮的話語卻自行通過我的嘴而出。你不覺得這很奇怪嗎？
sc058_spa_max	如果我將你引入涅槃，而你身為我的同伴，我們會化為一體，這就代表我不會成佛，這一切都只是幻象罷了。
sc060_spa_1	要一起來嗎，寶貝？
sc060_spa_2	寶貝，你這麼相信我，讓我很難辦啊。至於為什麼…因為我不相信你啊。一點也不。
sc060_spa_3	你看起來就像一腳踏進棺材了一樣。你的助手讓你不好過？嘿嘿。可憐的小寶貝。
sc060_spa_4	哇，寶貝，你真厲害！你說你今天很努力了？你偶而還是能讓我看見好的一面呢。
sc060_spa_max	我不覺得寶貝你會一直都這麼倒楣。寶貝就一直努力就好。終有一天會有回報的。
sc061_spa_1	這應該能讓我想出一些不錯的曲子♪
sc061_spa_2	認識他人後，會感到一種「啟發」的感覺。舉例來說，惡魔大人，我就學到了你是個很孤獨的人，這在惡魔間很少見的！
sc061_spa_3	耶！♪ 今天來搖滾一下吧？來啦，惡魔大人一定行的！就連惡魔都學得會。只要盯著眼前的路就沒事了。
sc061_spa_4	雖然我們是在利用這空檔來聊聊，但沒什麼好說的。畢竟，我總是對惡魔大人坦白啊！但是惡魔大人卻好像總是藏有自己的秘密。
sc061_spa_5	你今天好積極啊！你是有什麼心境上的變化嗎？哈哈，鬧你的啦！你不會要要開始避開我吧？開點小玩笑沒關係吧？要是其他人的話，會覺得你很無聊喔。
sc061_spa_max	謝謝你總是照顧我！你其實真的很關心我，對嗎？嘿嘿。我也很在乎惡魔大人喔。從我們第一次見面開始，直到現在也一樣。
sc062_spa_1	哈哈，你是來偷窺我的嗎？我想我也不能責怪你，畢竟我是如此美麗♥
sc062_spa_2	啊！你不能就這樣闖進來！我知道你想見我，但還是要保持禮貌。懂了嗎？
sc062_spa_3	惡魔啊，還記得我們剛認識的時候嗎？那天啊…等一下。我看你的眼睛就懂了。你根本不記得對吧？！
sc062_spa_4	惡魔啊，你真是太不懂女人了。但是…沒關係的。我是你唯一需要懂的女人。
sc062_spa_max	啊，這真是太舒服了。我能在這個溫泉裡泡一整天。……啊，你說我都沒理你嗎？哎呀，惡魔，你真可愛♥
sc063_spa_1	喔…喔，嗨，惡魔先生。\如果我有帶上日記就好了…
sc063_spa_2	你這樣突然出現，嚇到我了。
