// key	CHAT_
c001_17_boss_long	锵～锵！你好，可爱的主人♥
c003_16_ctskill	见识一下魔王妲比的力量吧！
c003_16_death_1	啧，真是嚣张……
c003_16_death_2	唉...
c003_16_drive	现在，跪下吧！
c003_16_hit_1	唔啊！
c003_16_hit_2	咿！
c003_16_hit_3	喝！
c003_16_prskill	你能承受我的力量吗？
c003_16_skill	啊哈哈哈哈！
c003_16_spa	如果每天都能像今天一样就好了～
c003_16_startbt	交给我吧！
c003_16_story1	新魔王，妲比大人登场！\所以，之后请多指教啦。
c003_16_story2	你也许可以愚弄神，但你可愚弄不了妲比魔王！
c003_16_story3	你是说，我妲比魔王，不过是个受过良好教育的跟踪狂？
c003_16_true1	莫娜姐~♥，妲比魔王将来要和莫娜姐结婚哦！
c003_16_true2	呜呜，什么时候才能回魔界啊……\这都是你的错！
c003_16_true3	魔王妲比的计划失败了都是你的错！
c003_16_victory	哈哈哈！\这不算什么！
c003_17_boss_long	去死吧，愚蠢的恶魔！
c003_17_boss_short	妲比登场！
c003_17_ctskill	称颂魔王妲比！
c003_17_death_1	让大家知道……我死了……
c003_17_death_2	啊，我被打败了！
c003_17_drive	自己犯下的罪，自己知道！
c003_17_hit_1	哇哦！
c003_17_hit_2	住手！
c003_17_hit_3	我不会放过你的！
c003_17_prskill	轮到我了！
c003_17_skill	会有点疼的！
c003_17_spa	妲比登场！
c003_17_startbt	妲比登场！
c003_17_story1	妲比登场！
c003_17_story2	妲比登场！
c003_17_story3	妲比登场！
c003_17_true1	自己犯下的罪，自己知道！
c003_17_true2	自己犯下的罪，自己知道！
c003_17_true3	自己犯下的罪，自己知道！
c003_17_victory	去死吧，愚蠢的恶魔！
c003_18_boss_long	你知道妲比是最棒的！
c003_18_boss_short	Ready OK？
c003_18_ctskill	跟妲比来！
c003_18_death_1	妲比……输了……呜呜。
c003_18_death_2	不能放弃……
c003_18_drive	永～不～放～弃！
c003_18_hit_1	呜哇～！
c003_18_hit_2	呜哇～！
c003_18_hit_3	咕呜！
c003_18_prskill	加油加油加油！
c003_18_skill	上吧！战吧！获胜吧！
c003_18_spa	妲比能在这里待一辈子。\嘻嘻……
c003_18_startbt	妲比会为你加油！
c003_18_story1	大家的啦啦队长登场！\妲比来替你加油了，所以尽全力吧！
c003_18_story2	不要以为你可以把妲比蒙在鼓里！
c003_18_story3	喂！妲比可是真正的啦啦队长啊！
c003_18_true1	真的不懂耶。\你真的觉得像你这样的恶魔能活到现在吗？\那是因为有妲比帮你啊。不然你早就死了！
c003_18_true2	主人，你真的不想成为魔王吗？\就没有当上魔王后想做的事？\真是无聊。\你这个样子，妲比不想为你加油！
c003_18_true3	既然你没朋友，那妲比就帮你加油吧！\所以你最好别输喔。\不然妲比会超生气的！
c003_18_victory	多亏了妲比喔！
c003_89_boss_long	让我踩踩你如何？
c003_89_boss_short	噢呵呵呵呵！妲比魔王大人，登场！
c003_89_ctskill	见识一下魔王妲比的力量吧！
c003_89_death_1	啧，真是嚣张……
c003_89_death_2	唉……
c003_89_drive	现在，跪下吧！
c003_89_hit_1	唔啊！
c003_89_hit_2	咿！
c003_89_hit_3	哈！
c003_89_prskill	你能承受我的力量吗？
c003_89_skill	啊哈哈哈哈！
c003_89_spa	如果每天都能像今天一样就好了～
c003_boss_long	噢呵呵呵！你们能走到这一步已经不错了，可悲的恶魔们！
c003_boss_short	我要使尽全身的力量对付你！
c003_ctskill	你准备好见识妲比的力量了吗？！
c003_death_1	好痛啊……
c003_death_2	咕啊！
c003_drive	我要毁了一切！
c003_hit_1	呜哇～！
c003_hit_2	咿！
c003_hit_3	咕呜！
c003_prskill	就交给妲比吧！
c003_skill	嘿！
c003_spa	不行！这边禁止恶魔进入！
c003_startbt	那就没办法了！交给妲比吧！
c003_story1	感谢你的契约，主人！我是你的新魅魔，妲比！
c003_story2	不要以为你可以把妲比蒙在鼓里！
c003_story3	哼哼！妲比是很厉害的跟踪狂！
c003_true1	只要妲比一息尚存，就永远爱着莫娜姐♥
c003_true2	呜呜……什么时候才能回魔界啊……\这都是你的错！
c003_true3	你毁了妲比的计划！如果魔王争夺战不快点结束，\莫娜和妲比就不会……\哼！既然如此，那妲比也来帮你好了！
c003_victory	太棒了！多亏有妲比！
c004_02_boss_long	要赌谁会赢吗？
c004_02_boss_short	一、二！一、二！
c004_02_ctskill	出～发！
c004_02_death_1	还以为能成为朋友的……
c004_02_death_2	唔啊！
c004_02_drive	再快一点！！
c004_02_hit_1	咿！
c004_02_hit_2	唔啊！
c004_02_hit_3	咿！
c004_02_prskill	快跑啊！！
c004_02_skill	嘿！
c004_02_spa	你明天想玩些什么？
c004_02_startbt	想跟我一起玩吗？
c004_02_story1	来啊！我们来玩嘛！
c004_02_story2	一起玩吧！\我们一起玩吧！
c004_02_story3	我要学习！我要好好了解！\我要知道怎样交朋友！\我会拼命学习的！
c004_02_true1	来嘛，队长，我们来玩！我保证你一定会玩得很开心！\可以吗？你觉得如何？
c004_02_true2	队长……我们是朋友，对吧？\我很喜欢你，队长……\你也喜欢我吗？
c004_02_true3	我保证会为你竭尽全力，队长！\你总是在我身边，所以我也会一直在你身边！
c004_02_victory	第一名是我的了！
c004_boss_long	要赌谁会赢吗？
c004_boss_short	一、二！一、二！
c004_ctskill	出～发！
c004_death_1	还以为能成为朋友的……
c004_death_2	唔啊！
c004_drive	再快一点！！
c004_hit_1	咿！
c004_hit_2	唔啊！
c004_hit_3	咿！
c004_prskill	快跑啊！！
c004_skill	嘿！
c004_spa	你明天想玩些什么？
c004_startbt	想跟我一起玩吗？
c004_story1	来啊！我们来玩嘛！
c004_story2	一起玩吧！\我们一起玩吧！
c004_story3	我要学习！我要好好了解！\我要知道怎样交朋友！\我会拼命学习的！
c004_true1	来嘛，队长，我们来玩！我保证你一定会玩得很开心！\可以吗？你觉得如何？
c004_true2	队长……我们是朋友，对吧？\我很喜欢你，队长……\你也喜欢我吗？
c004_true3	我保证会为你竭尽全力，队长！\你总是在我身边，所以我也会一直在你身边！
c004_victory	第一名是我的了！
c005_boss_long	要笑就趁现在吧！
c005_boss_short	怎么回事啊，这小子？
c005_ctskill	给我老实点！
c005_death_1	气死我了！你会为此付出代价的！
c005_death_2	呜啊!
c005_drive	大家让开！
c005_hit_1	这家伙……！
c005_hit_2	唔啊！
c005_hit_3	呃啊…！
c005_prskill	你看起来很热呢。让我帮你在身上开些通风孔如何？
c005_skill	干嘛啊？
c005_spa	不要打扰我啦。
c005_startbt	如果不想挨打，最好给我认真点。
c005_story1	要问我对你有意见没？当然有！\你要是想跟我谈谈，就给我一步一步来！
c005_story2	我一定要报仇，哪怕耗尽我的一生。
c005_story3	你不过是候补生里最弱的那个。
c005_true1	实力不够强大，就会输。但是……弱小真的是件坏事吗？
c005_true2	我会为你复仇。我绝对不会放过任何坏人！
c005_true3	你……你不讨厌我吧，对吗？
c005_victory	太棒了！
c007_boss_long	没有人可以击败我！
c007_boss_short	燃烧殆尽吧，你的灵魂！
c007_ctskill	让你尝些火热的东西吧！
c007_death_1	可恶！我还有一口气呢……！
c007_death_2	呜啊……
c007_drive	燃烧吧，我的灵魂！
c007_hit_1	啊！
c007_hit_2	咕哇！
c007_hit_3	呃……
c007_prskill	放马过来吧！
c007_skill	呵啊！
c007_spa	其……其实吧……我今天肩膀有点僵硬……
c007_startbt	我会将你的灵魂化为灰烬！
c007_story1	放马过来吧，派罗！我会把你踩在脚下！\宰了你，再取代你成为派罗！
c007_story2	你说过你会让我变得更强大，但是你和我订契约只是为了保护派罗。
c007_story3	「丢人现眼……？」凭你是永远不可能打败我的！\燃烧你的灵魂战斗吧！我终生的宿敌，派罗！
c007_true1	你就是派罗的主人吗？\这样的话，你也算是我的生父吧。
c007_true2	像你这样的人宁愿选择派罗，对吧？\比起我这种垃圾……
c007_true3	我到底该怎么做啊？\该怎么做才会让你认可我的存在？！
c007_victory	哈！我应该感觉痛吗？！
c008_boss_long	你准备好跟我兵刃相接了吗？
c008_boss_short	等你准备好了就放马过来吧！
c008_ctskill	明明瘦得跟猴子一样……
c008_death_1	可恶！到此结束了吗？！
c008_death_2	呃……
c008_drive	让我们赶快结束这一切吧！
c008_hit_1	呃……
c008_hit_2	唔啊！
c008_hit_3	你这混蛋！
c008_prskill	就是现在！
c008_skill	让开！
c008_spa	你的训练该开始了！
c008_startbt	这种热身还是不错的！
c008_story1	所谓的爱情只不过是荷尔蒙在作怪罢了。\时间一到，她们就会厌烦你。
c008_story2	你还要用你的Child当挡箭牌多久呢？\亲自上场一次吧。
c008_story3	让我们测试一下对方的能力吧。\我觉得你我交战后，我可以从中学到点东西。
c008_true1	如果你输不起，就要加倍努力！
c008_true2	你不能靠别人来保护你，只能靠自己……
c008_true3	你毕竟还是我的主人……\我有必要亲眼见证你的实力。\我会按照你仆人的建议，留下来找答案。
c008_victory	这才像是战斗嘛！
c009_boss_long	这个我要另外收费哦……
c009_boss_short	你愿意给多少钱？
c009_ctskill	轻松一点吧。
c009_death_1	呃……一旦支付，恕不退款哦……
c009_death_2	唔啊！
c009_drive	这次的收费会很高哦！
c009_hit_1	哇！
c009_hit_2	啊！
c009_hit_3	咕哇！
c009_prskill	我可是专家啊！
c009_skill	不要那么认真嘛。
c009_spa	可别以为这场表演是免费的啊。
c009_startbt	你知道我的服务值多少钱，对吧？
c009_story1	为他人工作，就该得到应有的报酬。\这就是资本主义的运作方式。
c009_story2	是啊，像你这种穷小子才会那样说。
c009_story3	我每次发现别人有意识地避开我，\真不晓得他们是怎么了。
c009_true1	钱当然是多多益善。可惜我的主人就是少了点钱呢。
c009_true2	嘿！温柔一点！你知道我的皮肤很敏感的。
c009_true3	毫无野心吗？那这样吧，我分一半给你。\毕竟，我的野心多得要溢出来了！哈哈哈！
c009_victory	哈哈！这该让我加薪了。
c010_boss_long	哎呀哎呀。这病人的相貌真凶残。
c010_boss_short	我好想你，亲爱的♥
c010_ctskill	准备好做静脉注射了吗？！
c010_death_1	今天的诊断时间已经结束了～
c010_death_2	唔啊！
c010_drive	来看看今天有什么麻烦♥
c010_hit_1	好痛哦！
c010_hit_2	唔啊！
c010_hit_3	你现在到底是在做什么啦？！
c010_prskill	等我准备好了就轮到你喽。
c010_skill	这可能会有点刺痛哦。
c010_spa	啊～这才是我所谓的放松嘛。
c010_startbt	检查身体的时间到喽♥
c010_story1	啊，我受够了！这样下去，我就只能努力地掳获他的心，让他最终成为我的人！
c010_story2	下次再让我抓到你偷偷揣测我的感受，我就要生气喽！
c010_story3	从摇篮到坟墓！让我来做你一生的专属护士吧～♥
c010_true1	不知道你是原本就这么迟钝，还只是在演戏。
c010_true2	不会察言观色的傻子真是无药可医！\你有听到吗，亲爱的？！
c010_true3	亲爱的，你真是个幸运儿。知道吗？\这世界上除了我，没有哪个护士愿意为了你这没用的恶魔而奉献自己♥
c010_victory	我有帮到忙吧？
c011_boss_long	我会尽全力战斗的！
c011_boss_short	你不会轻易打败我的！
c011_ctskill	我会竭尽所能的！
c011_death_1	真是奇怪，我都尽全力了……
c011_death_2	好痛啊……
c011_drive	我不会放弃的！
c011_hit_1	唔啊！
c011_hit_2	哈！
c011_hit_3	哼！
c011_prskill	是我表现的时候了！
c011_skill	我要上喽！
c011_spa	这是我努力所得的回报吗？
c011_startbt	我会竭尽所能为你战斗的，恶魔大人。
c011_story1	哇？！怎么了，恶魔大人？有人打过来了吗？要开始战斗吗？！
c011_story2	听到你这么热情地呼唤我的名字……真是太幸福了！我要一直这么努力下去！
c011_story3	这次绝对没问题！我不会再犯之前那种低级错误了！
c011_true1	现在我是你的Child，恶魔大人，需要我为你努力工作吗？
c011_true2	我随叫随到，恶魔大人。
c011_true3	我保证为你努力工作，恶魔大人！如果出了点小差错，也请你多包涵！
c011_victory	我的努力有了回报！
c012_boss_long	谁要是低估我，就会付出惨痛的代价！
c012_boss_short	放马过来吧！
c012_ctskill	我不会输！
c012_death_1	是我不够……有决心吗？
c012_death_2	队长……
c012_drive	这样就结束了！
c012_hit_1	哇！
c012_hit_2	啊！
c012_hit_3	呃啊！
c012_prskill	我要让你死无葬身之地！
c012_skill	接招！
c012_spa	那个……你别这样盯着我看。嗯……很怪。
c012_startbt	一起战斗吧，队长！
c012_story1	你觉得你有能力成为队长吗？
c012_story2	你觉得我不怀好意，队长？
c012_story3	别傻了，队长。\你的决定就是我的决定。
c012_true1	我会亲自解决所有的问题！
c012_true2	相信我！我也会相信你的。至死方休！
c012_true3	如果你是我心目中的魔王，那我就会为你奋战到最后一刻。\你放心，我会一直等你的决定。
c012_victory	干得漂亮，队长。
c013_boss_long	欢迎，尊贵的客人。
c013_boss_short	真吵啊。
c013_ctskill	如你所愿……
c013_death_1	也许这样才是最好的……
c013_death_2	呜啊……
c013_drive	不好意思。
c013_hit_1	大意了啊。
c013_hit_2	啊！
c013_hit_3	不要这样！
c013_prskill	请离远点。
c013_skill	接下来轮到我了。
c013_spa	休息太久会不会让我们露出破绽……？
c013_startbt	我很快就会回来。
c013_story1	你好，先生。
c013_story2	但不论你选择哪条路，\最重要的是要坚持到底。
c013_story3	眼下一片骚乱，我根本顾不上偏头痛的毛病。\即使手段有点强硬，但似乎奏效了。
c013_true1	以不变应万变，我明白了。
c013_true2	所有的结果在被观测的时候就已经注定了。
c013_true3	欢迎，主人。我是阿耳忒弥斯。很高兴能与你相遇，也很荣幸可以在这无尽的旅程中陪伴着你。
c013_victory	我回来啦。
c014_boss_long	做好战斗的觉悟吧。我是不会退缩的。
c014_boss_short	以正义之名，忏悔吧。
c014_ctskill	邪恶没有存活于世的必要。
c014_death_1	我绝对不会……原谅你的。
c014_death_2	正义……永不消逝。
c014_drive	那就让我带你见识一下什么叫恶吧。
c014_hit_1	唔啊！
c014_hit_2	唔啊！
c014_hit_3	我是不会输的！
c014_prskill	为了正义！
c014_skill	接受制裁吧！
c014_spa	这地方还真华丽。谢谢你，主人。
c014_startbt	正义永远不会缺席。
c014_story1	为了维护正义，你必须拥有冷静的头脑。\现在将正义之锤砸向他们吧。
c014_story2	你就是这样收集Child的吗？\卑鄙无耻。
c014_story3	主人，我相信你一定会成为魔王的。
c014_true1	其他人也许会视而不见，但我不会。我会坚决维护正义，直到最后一刻。
c014_true2	你就是我的正义，主人。
c014_true3	别担心。无论你做什么我都会保护你的，主人，因为你就是我的正义啊。
c014_victory	主人的正义终于得到了证明。
c017_00_boss_long	呃……汪汪！
c017_00_boss_short	呜！
c017_00_ctskill	汪汪！\嗷！\呜……
c017_00_death_1	呜……
c017_00_death_2	汪汪！
c017_00_drive	汪汪！
c017_00_hit_1	汪！
c017_00_hit_2	呜！
c017_00_hit_3	呃！
c017_00_prskill	呃……\呜……\汪汪！
c017_00_skill	嗷！汪汪！
c017_00_spa	感觉我要融化了\……嘿嘿嘿……
c017_00_startbt	汪汪！汪汪！
c017_00_story1	嗯，\主人，你好暖和。\*蹭了蹭*♥
c017_00_story2	主人，这些幽灵在跟着你，\是吧？好厉害哦！
c017_00_story3	主人，我想一直跟你在一起！
c017_00_true1	幽灵王，\不，我是说主人，你是一只猫……\我有时会忍不住扑向猫。
c017_00_true2	我想做一只能驱邪的狗！
c017_00_true3	主人可能是只猫，\而我可能是只狗……\但我知道我们是可以和睦相处的！
c017_00_victory	谢谢，汪！
c017_boss_long	我就是你的对手啦！
c017_boss_short	放马过来吧！
c017_ctskill	汪！放马过来吧！
c017_death_1	我无法继续了……
c017_death_2	呜呜……
c017_drive	交给我吧！
c017_hit_1	唔啊！
c017_hit_2	真过分！
c017_hit_3	咕呜……
c017_prskill	想试试你的运气吗？
c017_skill	咕呜……汪汪！
c017_spa	感觉我舒服得……快融化了……
c017_startbt	汪汪！散步的时间到了♪
c017_story1	嗯，你真温暖，主人。\蹭蹭……♥
c017_story2	你身边跟了很多幽灵\对吧？真棒！
c017_story3	我要一直在你身边，主人！
c017_true1	幽灵王……呃，我是说，主人，因为你是只猫……\所以我有时会不由自主地冲向你呢。
c017_true2	我希望能成为一只能够驱逐幽灵的斗犬！
c017_true3	主人是猫，我是狗……\但我知道，我们会找到和平共处的方法的！
c017_victory	摸我，摸我♪
c018_boss_long	你也很寂寞吗？
c018_boss_short	你愿意当我的朋友吗？
c018_ctskill	我会拯救你的！
c018_death_1	我的娃娃朋友们都累坏了……
c018_death_2	唔啊！
c018_drive	我会赢的！
c018_hit_1	唔啊！
c018_hit_2	别欺负我！
c018_hit_3	咕哇！
c018_prskill	来吧，娃娃！我们一起来唱歌！
c018_skill	我们一起玩吧。
c018_spa	哇。你什么都没看到，对吧？
c018_startbt	你有在哪看到我的娃娃吗？
c018_story1	你把自己的朋友弄丢了？没关系，我来做你的新朋友。
c018_story2	她说，有了我，她就不寂寞了。
c018_story3	呜哇～！你怎么可以在没经过别人允许的情况下就把别人的朋友丢掉？！\你怎么这么坏！呜哇~！
c018_true1	我知道的。你认为我的朋友不过是普通娃娃而已，对吧？
c018_true2	我不想孤身一人……别把我留下来……
c018_true3	嘿，你愿意做我的朋友吗？我最好的朋友？\大声说出这种话，还真有点小害羞，嘿嘿。
c018_victory	我做得很好吧？！
c019_boss_long	欢迎来到地狱。
c019_boss_short	现在你知道地狱的模样了！
c019_ctskill	振作点！
c019_death_1	你发泄在我身上？！
c019_death_2	我想就到此为止了……
c019_drive	别开玩笑了！
c019_hit_1	哈！
c019_hit_2	可恶！
c019_hit_3	真过分！
c019_prskill	我会给你矫正过来的！
c019_skill	真可悲！
c019_spa	你经常入浴吗？
c019_startbt	开始特殊训练！
c019_story1	我的主人竟然这么懒散……真是丢脸。
c019_story2	我太了解他了。
c019_story3	我会好好帮你的。只要我跟你在一起，你就会忘记那些缺乏意志力的日子了！
c019_true1	啧，不管我往哪里看，都是同一群人。\你也一样！
c019_true2	你喜欢我的特殊训练吗？\喜欢就直说啊！
c019_true3	天生我材必有用！阻挡你的只有你自己！\你到底想成为哪一种恶魔？！
c019_victory	哼……终于肯听我说话了吗？
c020_boss_long	要不要来打赌我们之间谁会赢？
c020_boss_short	现在，让我们开始吧！
c020_ctskill	幸运数字7！
c020_death_1	哎呀呀……看来我运气不好。
c020_death_2	真是事与愿违……
c020_drive	孤注一掷吧！
c020_hit_1	诶？
c020_hit_2	唔啊！
c020_hit_3	唔啊！
c020_prskill	运气决定一切！
c020_skill	猜中吧！
c020_spa	哟，你好啊，小不点。你比我想象中更成熟呢。
c020_startbt	要掷骰子试试运气吗？
c020_story1	不行喔。只有骰子才能预知你的命运。
c020_story2	你不觉得你想得太多了吗，小不点？\没关系。你在骰子占卜中不是抛出了双幺吗？
c020_story3	每个人对于运气的看法都不同哦。
c020_true1	要我帮你算个命吗？
c020_true2	在你的坏运气上赌上我的好运气试试？
c020_true3	或许这次我会试着在你身上下注，小不点。\那会是我此生最大的赌注。我都迫不及待地想知道结果了！
c020_victory	看来幸运女神也来到了你身边，小不点！
c022_10_boss_long	抱歉，我自顾不暇了。\晚点再聊。
c022_10_boss_short	天吶，给我差不多一点！
c022_10_ctskill	必杀招式！
c022_10_death_1	游戏结束……啧。
c022_10_death_2	被～打～败～了～
c022_10_drive	看吧！这就是究极奥义！
c022_10_hit_1	喂！很痛啊！
c022_10_hit_2	唔哇啊！
c022_10_hit_3	啊！
c022_10_prskill	时机抓得正好！
c022_10_skill	要上了哦！
c022_10_spa	噢，AR最棒了！温泉活动正在火热进行中！
c022_10_startbt	嗯？再战一场？唉……真是的。
c022_10_story1	所以，归根结底是因为恶魔氏不具备半点领袖的魅力。
c022_10_story2	唔……啊？我完全没在意，好吗？\就……就让我一个人静一静吧。
c022_10_story3	啊，你彻底搞砸了！我早知道就不相信你了！
c022_10_true1	怎么会发生这种事？\……恶魔氏，能让我离开吗？
c022_10_true2	你能不能别一直提魔王争夺战？\走开，我很忙啦。
c022_10_true3	我的游戏机要充电了……\我需要用一下你的插座。\所以，……我们必须成为好朋友！
c022_10_victory	对天才来说没有什么事情是不可能的！
c022_boss_long	抱歉，我自顾不暇了。\晚点再聊。
c022_boss_short	天吶，给我差不多一点！
c022_ctskill	必杀招式！
c022_death_1	游戏结束……啧。
c022_death_2	被～打～败～了～
c022_drive	看吧！这就是究极奥义！
c022_hit_1	喂！很痛啊！
c022_hit_2	唔哇啊！
c022_hit_3	啊！
c022_prskill	时机抓得正好！
c022_skill	要上了哦！
c022_spa	噢，AR最棒了！温泉活动正在火热进行中！
c022_startbt	嗯？再战一场？唉……真是的。
c022_story1	所以，归根结底是因为恶魔氏不具备半点领袖的魅力。
c022_story2	唔……啊？我完全没在意，好吗？\就……就让我一个人静一静吧。
c022_story3	啊，你彻底搞砸了！我早知道就不相信你了！
c022_true1	怎么会发生这种事？\……恶魔氏，能让我离开吗？
c022_true2	你能不能别一直提魔王争夺战？\走开，我很忙啦。
c022_true3	我的游戏机要充电了……\我需要用一下你的插座。\所以，……我们必须成为好朋友！
c022_victory	对天才来说没有什么事情是不可能的！
c024_boss_long	来吧，出生在弱肉强食的\时代的可怜孩子们！
c024_boss_short	来，开始宴会吧！
c024_ctskill	给我跪下！
c024_death_1	我也就到此为止了。
c024_death_2	啊……我想看看……那些日子……
c024_drive	瞧！这就是你我之间的实力差距！
c024_hit_1	哼。
c024_hit_2	……然后没下文了？
c024_hit_3	厉害了。
c024_prskill	落下帷幕的时候到了。
c024_skill	接受惨败吧。
c024_spa	偶尔休息一下也不赖嘛。
c024_startbt	帷幕已拉开。我们开始吧。
c024_story1	之前没见过你。
c024_story2	话虽如此，你很幸运。
c024_story3	我从未打算久留。\不管怎样，感谢你邀请我。
c024_true1	老实说，我还不知道真正的王者是什么样的。所以，我自己来确认一下吧。
c024_true2	你问谁会成为王者？哼！\好无聊的问题。
c024_true3	我不想跟你变得更亲近。\你应该也有同感吧？
c024_victory	唯一可能的结果。
c026_boss_long	离我远点！不然我会把你劈成两半！
c026_boss_short	別碰我！
c026_ctskill	走开！
c026_death_1	我要跑了！我要逃跑了……！
c026_death_2	呵呵呵呵～
c026_drive	滚一边去啦！
c026_hit_1	唔啊！
c026_hit_2	哇！
c026_hit_3	呜哇～！
c026_prskill	手拿开啦！
c026_skill	呵呵呵呵～
c026_spa	这里，恶魔大人！我会让你变得白白净净的。
c026_startbt	哈哈哈！这真好玩！
c026_story1	我讨厌恶魔……你打算把我关起来，对吧？
c026_story2	我只有一个人！我不想被关起来！
c026_story3	我要在你身上画画！我要在你身上画～画！嘿嘿嘿！我会让你变得超级可爱的！
c026_true1	别……别碰我！\我……害怕恶魔。\你们都只想把我关起来！
c026_true2	你干嘛一直看着我？到底怎么回事……\但是……如果没有你在身边，我还是会有点不安……恶魔大人。
c026_true3	如果是恶魔大人的话，让你摸摸也没关系。毕竟，你会保护我，对吧？\所以，我会相信你的！
c026_victory	我赢了！呵呵呵！
c027_boss_long	英雄之路漫长而又危险。
c027_boss_short	受死吧，恶棍！
c027_ctskill	绝不原谅！
c027_death_1	辛西亚，正义的战士，永不退缩！
c027_death_2	剩下的就交给大家了……
c027_drive	干尽坏事的人，消失吧！
c027_hit_1	唔啊！
c027_hit_2	啊！
c027_hit_3	好痛！
c027_prskill	相信我！
c027_skill	哈！
c027_spa	温泉大突进！
c027_startbt	辛西亚来这里拯救大家了！
c027_story1	英雄之路漫长而又危险。
c027_story2	那种愿望……根本不可能实现吧。
c027_story3	命运还真是残酷呐……不过我们还是朋友，对吧？
c027_true1	我从来没有见过比你更美的人。\你愿意接受我的感情吗？
c027_true2	当你陷入危险时，请尽管呼唤我的名字。\我一定以迅雷不及掩耳之势赶到！
c027_true3	我只是想成为你的朋友。
c027_victory	哈哈哈！不需要对我传达感激之情。
c028_boss_long	你要挑战我吗？如果你拜倒在我的美色下，可别怪我啊。
c028_boss_short	如果你输了就要成为我的仆人哦♥
c028_ctskill	让开！
