// key	CHAT_
c001_17_boss_long	鏘～鏘！你好，可愛的主人♥
c003_16_death_2	唉...
c003_16_drive	現在，跪下吧！
c003_16_hit_1	唔啊！
c003_16_hit_2	咿！
c003_16_hit_3	赫！
c003_16_prskill	你能承受我的力量嗎？
c003_16_skill	啊哈哈哈哈！
c003_16_spa	如果每天都能像今天就好了。
c003_16_startbt	交給我吧！
c003_16_story1	新魔王，妲比大人登場！\所以，應該說，很高興認識你之類的。
c003_16_story2	你也許可以愚弄神，但你可愚弄不了妲比魔王！
c003_16_story3	你是說，我妲比魔王，不過是個受過良好教育的跟蹤狂？
c003_16_true1	莫娜姐姐~♥，\妲比魔王將來要和莫娜姐姐結婚喔！
c003_16_true2	嗚嗚，我什麼時候才能夠回去魔界啊...\這全部都是你的錯！
c003_16_true3	我的計畫失敗了都是你的錯！
c003_16_victory	哈哈哈！\這不算什麼！
c003_17_boss_long	愚蠢的惡魔受死吧！
c003_17_boss_short	妲比登場！
c003_17_ctskill	唱出對魔王妲比的讚美吧！
c003_17_death_1	讓所有人知道……妲比死了……
c003_17_death_2	啊，我被打敗了！
c003_17_drive	自己的罪自己知道！
c003_17_hit_1	什麼啊啊啊啊！
c003_17_hit_2	別這樣！
c003_17_hit_3	我絕對不會饒了你！
c003_17_prskill	輪到我了！
c003_17_skill	這會有點痛的！
c003_17_spa	妲比登場！
c003_17_startbt	妲比登場！
c003_17_story1	妲比登場！
c003_17_story2	妲比登場！
c003_17_story3	妲比登場！
c003_17_true1	自己的罪自己知道！
c003_17_true2	自己的罪自己知道！
c003_17_true3	自己的罪自己知道！
c003_17_victory	愚蠢的惡魔受死吧！
c003_18_boss_long	你知道妲比是最棒的！
c003_18_boss_short	Ready OK?
c003_18_ctskill	跟妲比來！
c003_18_death_1	妲比...輸了...嗚嗚。
c003_18_death_2	不能放棄……
c003_18_drive	永。不。放。棄！
c003_18_hit_1	嗚哇～！
c003_18_hit_2	嗚哇～！
c003_18_hit_3	咕嗚！
c003_18_prskill	加油加油加油！
c003_18_skill	上吧！戰吧！獲勝吧！
c003_18_spa	妲比能在這裡待一輩子。\嘻嘻……
c003_18_startbt	妲比會為你加油！
c003_18_story1	大家的啦啦隊長登場！\妲比來這邊替你加油了，所以盡全力吧！
c003_18_story2	不要以為你可以把妲比蒙在鼓裡！
c003_18_story3	喂！妲比可是真正的啦啦隊長啊！
c003_18_true1	真的不懂耶。\你真的覺得像你這樣的惡魔能活到現在嗎？\那是因為有妲比幫你啊。不然你早就死了！
c003_18_true2	主人，你真的想成為魔王嗎？\當上魔王的話，就能做好多事了！\真是無聊。\妲比不想替你這個樣子加油！
c003_18_true3	既然你沒朋友，那妲比就幫你加油吧！\所以你最好別輸喔。\不然妲比會超生氣的！
c003_18_victory	都多虧了妲比喔！
c003_89_boss_long	讓我踩踩你如何?
c003_89_boss_short	噢呵呵呵呵！妲比魔王大人，登場！
c003_89_ctskill	見識一下我的力量吧！
c003_89_death_1	你竟敢…
c003_89_death_2	唉…
c003_89_drive	現在，跪下吧！
c003_89_hit_1	唔啊！
c003_89_hit_2	咿！
c003_89_hit_3	哈！
c003_89_prskill	你能承受我的力量嗎？
c003_89_skill	啊哈哈哈哈！
c003_89_spa	如果每天都能像今天一樣就好了～
c003_boss_long	噢呵呵呵！你們能走到這步還算不錯，可悲的惡魔們！
c003_boss_short	我要使盡全身的力量對付你！
c003_ctskill	你準備好見識妲比的力量了嗎？！
c003_death_1	好痛啊…
c003_death_2	咕啊！
c003_drive	我要毀了一切！
c003_hit_1	嗚哇～！
c003_hit_2	咿！
c003_hit_3	咕嗚！
c003_prskill	就交給妲比吧！
c003_skill	欸咿！
c003_spa	不行！這邊禁止惡魔進入！
c003_startbt	那就沒辦法了！就交給妲比吧！
c003_story1	感謝您的契約，主人！我是你的新魅魔，妲比！
c003_story2	不要以為你可以把妲比蒙在鼓裡！
c003_story3	哼哼！我是很厲害的跟蹤狂！
c003_true1	我活多久就要愛莫娜姐姐多久♥
c003_true2	我什麼時候才能夠回去魔界…\這都是你的錯！
c003_true3	你毀了我的計畫！如果魔王爭奪戰不快點結束，\莫娜和我就不會….哼哼…\…總之，看來我別無選擇只好幫你了！
c003_victory	太棒了！多虧有我！
c004_02_boss_long	要打賭誰會在比賽中比贏嗎？
c004_02_boss_short	一、二！一、二！
c004_02_ctskill	出～發！
c004_02_death_1	我以為我們可以當朋友的…
c004_02_death_2	唔啊！
c004_02_drive	再更快點！
c004_02_hit_1	咿！
c004_02_hit_2	唔啊！
c004_02_hit_3	咿！
c004_02_prskill	快跑吧！
c004_02_skill	欸咿！
c004_02_spa	你明天想玩些什麼？
c004_02_startbt	想跟我一起玩嗎？
c004_02_story1	來啊！我們來玩嘛！
c004_02_story2	一起玩吧！\我們一起玩吧！
c004_02_story3	我要學習！我要好好了解！\我要知道怎麼樣才能交朋友！\我會拚了命地去學習的！
c004_02_true1	來嘛，隊長，我們來玩！我保證你一定會玩得很開心！\可以嗎？你覺得如何？
c004_02_true2	嘿，隊長…我們是朋友，對吧？\我很喜歡你，隊長…\你也喜歡我嗎？
c004_02_true3	我保證會為你竭盡全力，隊長！\你總是在我身邊，所以我也會一直在你身邊！
c004_02_victory	第一名是我的了！
c004_boss_long	要打賭誰會在比賽中比贏嗎？
c004_boss_short	一、二！一、二！
c004_ctskill	出～發！
c004_death_1	我以為我們可以當朋友的…
c004_death_2	唔啊！
c004_drive	再更快點！
c004_hit_1	咿！
c004_hit_2	唔啊！
c004_hit_3	咿！
c004_prskill	快跑吧！
c004_skill	欸咿！
c004_spa	你明天想玩些什麼？
c004_startbt	想跟我一起玩嗎？
c004_story1	來啊！我們來玩嘛！
c004_story2	一起玩吧！\我們一起玩吧！
c004_story3	我要學習！我要好好了解！\我要知道怎麼樣才能交朋友！\我會拚了命地去學習的！
c004_true1	來嘛，隊長，我們來玩！我保證你一定會玩得很開心！\可以嗎？你覺得如何？
c004_true2	嘿，隊長…我們是朋友，對吧？\我很喜歡你，隊長…\你也喜歡我嗎？
c004_true3	我保證會為你竭盡全力，隊長！\你總是在我身邊，所以我也會一直在你身邊！
c004_victory	第一名是我的了！
c005_boss_long	要笑就趁現在吧！
c005_boss_short	怎麼回事啊，這小子？
c005_ctskill	給我老實點！
c005_death_1	可惡，你！你會為此付出代價的！
c005_death_2	嗚啊！
c005_drive	大家讓開！
c005_hit_1	可惡，你…！
c005_hit_2	唔啊！
c005_hit_3	呃啊…！
c005_prskill	你看起來很熱呢。讓我幫你在身上開些通風孔如何？
c005_skill	你在說什麼啊！
c005_spa	不要打擾我啦。
c005_startbt	如果你不想受傷的話，就最好給我認真點。
c005_story1	我對你有什麼意見？當然有！\如果你想跟我談談的話，就給我好好的按照順序來唷！
c005_story2	即便要花上一輩子的功夫，我絕對會實行對你的復仇。
c005_story3	你只不過是候補生裡最弱的一個罷了。
c005_true1	如果不夠強的話，就會輸唷。但是….軟弱真的是件壞事嗎？
c005_true2	我會為你復仇。我絕對不會放過任何壞人！
c005_true3	你….你不討厭我吧，對嗎？
c005_victory	太棒了！
c007_boss_long	沒有人可以擊敗我！
c007_boss_short	燃燒殆盡吧，你的靈魂！
c007_ctskill	讓你嘗些火熱的東西吧！
c007_death_1	可惡！我還有一口氣呢…！
c007_death_2	嗚啊…
c007_drive	燃燒吧，我的靈魂！
c007_hit_1	啊！
c007_hit_2	咕哇！
c007_hit_3	呃…
c007_prskill	放馬過來吧！
c007_skill	喝啊！
c007_spa	我，呃，我的肩膀有點僵硬….
c007_startbt	我會將你的靈魂化為灰燼！
c007_story1	放馬過來吧，派羅！我會把你踩在腳下！\然後宰了你，然後自己成為派羅！
c007_story2	你說你會讓我變得更強大，但是你訂下契約只是為了保護派羅。
c007_story3	「丟人現眼…？」憑你是永遠不可能打敗我的！\給我燃燒你的靈魂戰鬥！我終生的宿敵，派羅！
c007_true1	你就是派羅的主人嗎？\這樣的話，你也算是我的生父吧。
c007_true2	像你這樣的人寧願選擇派羅，對吧？\比起我這種垃圾…
c007_true3	我到底該怎麼做啊？\該怎麼做才會讓你注意到我？！
c007_victory	哈！我應該要感覺痛嗎？！
c008_boss_long	你準備好要跟我兵刃相接了嗎？
c008_boss_short	等你準備好了就放馬過來吧！
c008_ctskill	死瘦皮猴….
c008_death_1	不！我不能死在這裡！
c008_death_2	呃…
c008_drive	讓我們趕快結束這一切吧！
c008_hit_1	呃…
c008_hit_2	唔啊！
c008_hit_3	你這混蛋！
c008_prskill	就是現在！
c008_skill	讓開！
c008_spa	該開始你的訓練了！
c008_startbt	這應該會是很好的暖身呢。
c008_story1	所謂愛情只不過是賀爾蒙在作怪罷了。\時間一過，她們就會對你感到厭煩了。
c008_story2	你還要用你的Child當擋箭牌多久呢？\自己上場一次吧。
c008_story3	讓我們彼此測試對方的能力吧。\我覺得你我一旦交戰後，我能學到些什麼。
c008_true1	如果你輸不起，就要更努力點！
c008_true2	你不能靠別人來保護你，只能靠自己…
c008_true3	你姑且仍是我的主人….\我有必要親眼見識你的實力。\我會接受你僕人的建議，留下來找答案。
c008_victory	這才像是戰鬥嘛！
c009_boss_long	這個我要另外收費喔….
c009_boss_short	你願意支付多少錢？
c009_ctskill	輕鬆一點吧。
c009_death_1	呃…不會退費喔…
c009_death_2	唔啊！
c009_drive	這次的收費會很高喔！
c009_hit_1	哇！
c009_hit_2	啊！
c009_hit_3	咕哇！
c009_prskill	我可是專家啊！
c009_skill	不要那麼認真嘛。
c009_spa	可別以為這場秀是免費的啊。
c009_startbt	你知道我的服務值多少錢，對吧？
c009_story1	如果你為誰工作，就該得到應有的報酬。\這就是資本主義的運作方式。
c009_story2	是啊，像你這種窮小子才會那樣說。
c009_story3	我有時發現別人會毫無緣由地躲避我。\真不曉得他們是怎麼了。
c009_true1	錢當然是多多益善。可惜我的主人就是少了這點呢。
c009_true2	嘿！溫柔一點！你知道我的皮膚很敏感的。
c009_true3	毫無野心嗎？那這樣吧，你可以拿走我的一半。\畢竟，我的野心可是多到溢出來啊！哈哈哈！
c009_victory	哈哈！這該讓我加薪了。
c010_boss_long	哎呀哎呀。真是長相凶狠的病人呢。
c010_boss_short	我好想你，親愛的♥
c010_ctskill	準備好做靜脈注射了嗎？！
c010_death_1	今天的看診時間已經結束了～
c010_death_2	唔啊！
c010_drive	來看看今天的麻煩是什麼呢♥
c010_hit_1	好痛喔！
c010_hit_2	唔啊！
c010_hit_3	你現在到底是在做什麼啦？！
c010_prskill	等我準備好了就輪到你囉。
c010_skill	這可能會有點刺痛喔。
c010_spa	啊～這才是我所謂的放鬆嘛。
c010_startbt	檢查身體的時間到囉♥
c010_story1	啊，我受夠了！這樣的話，我就只能擄獲他的心，讓他成為我的人了！
c010_story2	下次再讓我抓到你偷偷揣測我的感受的話，我就要生氣囉！
c010_story3	從搖籃到墳墓！你一生中的專屬護士就由我來擔任吧～♥
c010_true1	我分不出你是真的這麼遲鈍，還是你只是在演戲。
c010_true2	不會察言觀色的傻子真是無藥可醫了！\你有聽到嗎，親愛的？！
c010_true3	親愛的，你真是個幸運的人呢。你知道嗎？\這世界上沒有其他護士會願意為了你這沒用的惡魔而奉獻自己的♥
c010_victory	我有幫到忙嗎？
c011_boss_long	我會盡我所能全力戰鬥的！
c011_boss_short	你不會這麼輕易地打敗我的！
c011_ctskill	我會竭盡所能的！
c011_death_1	真是奇怪。我都盡全力了…
c011_death_2	好痛啊…
c011_drive	我不會放棄的！
c011_hit_1	唔啊！
c011_hit_2	哈！
c011_hit_3	哈啊！
c011_prskill	是我表現的時候了！
c011_skill	我要上囉！
c011_spa	這是我努力所得的回報嗎？
c011_startbt	我會獻上一切為你戰鬥的，惡魔大人。
c011_story1	哇？！怎麼了，惡魔大人？有人打過來了嗎？要開始戰鬥了嗎？！
c011_story2	竟然能聽到你這麼熱情的叫我的名字…太幸福了！我這輩子都會繼續努力的！
c011_story3	這次完全沒問題！我不會再犯同樣的錯誤了！
c011_true1	現在我是你的Child，惡魔大人，需要我為你努力工作嗎？
c011_true2	我會為了你隨傳隨到，惡魔大人。
c011_true3	我保證會為了你努力工作，惡魔大人！所以如果有點小錯也請你包涵！
c011_victory	我的努力有了回報！
c012_boss_long	敢低估我的話就讓你嘗嘗生不如死的感覺！
c012_boss_short	放馬過來吧！
c012_ctskill	我才不會輸呢！
c012_death_1	是我還...不夠有決心嗎？
c012_death_2	隊長...
c012_drive	這樣就結束了！
c012_hit_1	哇！
c012_hit_2	啊！
c012_hit_3	呃啊！
c012_prskill	我要讓你粉身碎骨！
c012_skill	接招！
c012_spa	那個...請別這樣盯著我看。這樣...很怪。
c012_startbt	一起戰鬥吧，隊長！
c012_story1	你覺得自己身為隊長適任嗎？
c012_story2	你覺得我也不懷好意嗎，隊長？
c012_story3	別傻了，隊長。\你的決定就是我的決定。
c012_true1	我會親手矯正所有錯誤！
c012_true2	相信我。我也會相信你，並且奮戰到最後一刻！
c012_true3	如果你成為我心目中的魔王，那我就會為了你戰到最後一刻。\在你下定決心前我會一直等你。
c012_victory	幹得好，隊長。
c013_boss_long	歡迎，尊貴的客人。
c013_boss_short	真吵啊。
c013_ctskill	如你所願…
c013_death_1	也許這樣才是最好的…
c013_death_2	嗚啊…
c013_drive	失禮了。
c013_hit_1	大意了啊。
c013_hit_2	啊！
c013_hit_3	不要這樣！
c013_prskill	請離遠點。
c013_skill	接下來輪到我了。
c013_spa	休息太久不會容易讓我們露出破綻嗎…？
c013_startbt	我很快就會回來。
c013_story1	你好，先生。
c013_story2	但不論你走的是哪種路，\最重要的是堅持走到最後。
c013_story3	在這種騷亂之中，我根本就沒空理我的偏頭痛。\即使手段有點強硬，但似乎是奏效了。
c013_true1	千舉萬變，其道一也，我明白了。
c013_true2	所有的結果在被觀測的時候就已經注定了。
c013_true3	歡迎，主人。我是阿提蜜絲。很高興能與你相遇，也很榮幸可以在這無盡的旅程中陪伴著你。
c013_victory	我回來了。
c014_boss_long	做好覺悟吧。我可是不會退卻的。
c014_boss_short	以正義之名，懺悔吧。
c014_ctskill	邪惡是不必要的。
c014_death_1	我絕對不會...原諒你的。
c014_death_2	正義...永不消逝。
c014_drive	我就讓你見識一下惡之末路吧。
c014_hit_1	唔啊！
c014_hit_2	唔啊！
c014_hit_3	我是不會輸的！
c014_prskill	為了偉大的正義！
c014_skill	接受制裁吧！
c014_spa	這地方可真是華麗。謝謝你，主人。
c014_startbt	正義會得到伸張的。
c014_story1	為了維護正義，擁有冷靜的頭腦是必須的。\現在將正義之鎚重重地砸向他們吧。
c014_story2	你總是這樣收集Child的嗎？\真是卑鄙無恥呢。
c014_story3	主人，相信你最後還是適合成為魔王的。
c014_true1	其他人也許會視而不見，但我會執行正義到最後一刻的。
c014_true2	你就是我的正義，主人。
c014_true3	別擔心。無論你做什麼我都會保護你的，主人，你就是我的正義。
c014_victory	主人的正義得到證明了。
c017_00_boss_long	吼…汪汪！
c017_00_boss_short	嗚嗚…
c017_00_ctskill	汪汪！\嗷嗚！\嗚嗚…
c017_00_death_1	嗚嗚…
c017_00_death_2	嗷！嗷！
c017_00_drive	汪汪！
c017_00_hit_1	汪！
c017_00_hit_2	嗚嗚…
c017_00_hit_3	吼…！
c017_00_prskill	吼…！\嗚嗚…\嗷嗚！
c017_00_skill	汪！汪汪！
c017_00_spa	感覺我舒服得\…快融化了…
c017_00_startbt	嗷！嗷！嗷！
c017_00_story1	嗯，\你真溫暖，主人。\磨蹭磨蹭♥
c017_00_story2	你身邊跟了很多幽靈，\對吧？真棒呢！
c017_00_story3	我要一直跟你在一起啊，主人！
c017_00_true1	幽靈王—\呃，我是指，主人…你就像隻貓\所以我有時會不由自主地衝向你呢。
c017_00_true2	我希望能成為一隻能夠驅逐幽靈的鬥犬！
c017_00_true3	你也許是隻貓，\主人，而我也許是隻狗…\但我知道我們會找到方法和平共處的！
c017_00_victory	謝謝你，汪！
c017_boss_long	我就是你的對手啦！
c017_boss_short	放馬過來吧！
c017_ctskill	汪！放馬過來吧！
c017_death_1	我無法繼續了…
c017_death_2	嗚嗚…
c017_drive	就交給我吧！
c017_hit_1	唔啊！
c017_hit_2	真過分！
c017_hit_3	咕嗚…
c017_prskill	想試試你的運氣嗎？
c017_skill	咕嗚…汪汪！
c017_spa	感覺我舒服得…快融化了…
c017_startbt	汪汪！散步的時間到了♪
c017_story1	嗯，你真溫暖，主人。\磨蹭磨蹭♥
c017_story2	你身邊跟了很多幽靈\對吧？真棒呢！
c017_story3	我要一直跟你在一起啊，主人！
c017_true1	幽靈王—呃，我是指，主人…你就像隻貓\所以我有時會不由自主地衝向你呢。
c017_true2	我希望能成為一隻能夠驅逐幽靈的鬥犬！
c017_true3	你也許是隻貓，主人，而我也許是隻狗…\但我知道我們會找到方法和平共處的！
c017_victory	摸我，摸我♪
c018_boss_long	你也很寂寞嗎？
c018_boss_short	你願意當我的朋友嗎？
c018_ctskill	我會拯救你的！
c018_death_1	我的娃娃朋友們都累壞了…
c018_death_2	唔啊！
c018_drive	我會贏的！
c018_hit_1	唔啊！
c018_hit_2	別欺負我！
c018_hit_3	咕哇！
c018_prskill	來吧，娃娃！我們一起來唱歌！
c018_skill	我們一起玩吧。
c018_spa	哇。你什麼都沒看到，對吧？
c018_startbt	你有在哪看到我的娃娃嗎？
c018_story1	你弄丟你的朋友了？沒關係，我會當你的新朋友。
c018_story2	她說她有了我就不寂寞了。
c018_story3	嗚哇～！你怎麼能把別人的朋友丟掉啊？！\你真的超壞的！嗚哇～！
c018_true1	我知道的。你認為我的朋友不過是普通娃娃而已，不是嗎？
c018_true2	我不想孤身一人….別把我留下來…
c018_true3	嘿，你願意當我的朋友嗎？我最好的朋友？\大聲說出這種話，還真有點小害羞，嘿嘿。
c018_victory	我做得很好吧？！
c019_boss_long	歡迎來到地獄。
c019_boss_short	現在你知道地獄的模樣了！
c019_ctskill	振作點！
c019_death_1	你發洩在我身上？！
c019_death_2	我想就到此為止了…
c019_drive	別開玩笑了！
c019_hit_1	哈！
c019_hit_2	可惡！
c019_hit_3	真過分！
c019_prskill	我會把你矯正過來的！
c019_skill	真可悲！
c019_spa	你經常入浴嗎？
c019_startbt	開始特殊訓練！
c019_story1	這麼懶散的傢伙居然是我的主人…真丟臉。
c019_story2	我太了解他了。
c019_story3	我會好好幫你的。只要我跟你在一起，你就會忘記那些沒有意志力的日子了！
c019_true1	呿，不管我往何處看，都是同樣一群人。\你也是一樣！
c019_true2	你喜歡我的特殊訓練嗎？\喜歡就說啊！
c019_true3	天生我材必有用！唯一在阻擋你的人只有你自己！\你到底想成為哪一種惡魔？！
c019_victory	嗯？你肯聽我說的話了嗎？也花你太長時間了。
c020_boss_long	要不要來打賭我們之間誰會贏？
c020_boss_short	現在，讓我們開始吧！
c020_ctskill	幸運數字7！
c020_death_1	糟糕。看來我沒什麼運氣呢。
c020_death_2	真是事與願違…
c020_drive	孤注一擲吧！
c020_hit_1	嗄？
c020_hit_2	唔啊！
c020_hit_3	唔啊！
c020_prskill	運氣就是一切！
c020_skill	猜中吧！
c020_spa	嗯，你好啊，小不點。你比我預期的還要成熟呢。
c020_startbt	要再擲骰子試試你的運氣嗎？
c020_story1	不行喔。只有骰子才知道你的命運。
c020_story2	你不覺得你似乎有點想得太多了嗎，小不點？\沒關係的。骰子占卜不是出現雙么了，還記得嗎？
c020_story3	運氣這回事會因觀點而異喔。
c020_true1	要我幫你算個命嗎？
c020_true2	你的壞運，以及我的好運，不如我們來對賭看看？
c020_true3	也許這次我會試著下注在你身上，小不點。\那會是我此生中最大的賭注。我都迫不及待的想知道結果了！
c020_victory	看來幸運女神也到你身旁來了呢，小不點！
c022_10_boss_long	抱歉，我自顧不暇了。\晚點再聊。
c022_10_boss_short	天吶，給我差不多一點！
c022_10_ctskill	必殺招式！
c022_10_death_1	遊戲結束…\小人。
c022_10_death_2	他們打敗我了！
c022_10_drive	瞧瞧這個！這是我的終極必殺招式！
c022_10_hit_1	嘿，會痛啊！
c022_10_hit_2	唔哇啊！
c022_10_hit_3	啊！
c022_10_prskill	時機抓得正好！
c022_10_skill	要上了喔！
c022_10_spa	噢天吶，我真愛AR的東西！溫泉活動正在熱烈進行中！
c022_10_startbt	嗯？再戰一場？噢，好吧。
c022_10_story1	所以說，這全都是因為惡魔氏該有的半點領袖魅力都不存在，才會變成這樣啦。
c022_10_story2	嗯…咦？我完全沒在在意，好嗎？\只－只是讓我一個人靜一靜吧。
c022_10_story3	啊，你徹底搞砸了！我早知道就不應該相信你了！
c022_10_true1	怎麼會發生這種事？\…惡魔氏，能讓我離開了嗎？
c022_10_true2	呃，你可以不要一直提魔王爭奪戰嗎？\走開。我很忙啦。
c022_10_true3	我需要電源來充電我的機台，換言之，我需要你的插座。\所以，無可避免的結論就是…我們必須成為好朋友！拜託？！
c022_10_victory	對天才來說沒有什麼事情是不可能的！
c022_boss_long	抱歉，我自顧不暇了。\晚點再聊。
c022_boss_short	天吶，給我差不多一點！
c022_ctskill	必殺招式！
c022_death_1	遊戲結束…\小人。
c022_death_2	他們打敗我了！
c022_drive	瞧瞧這個！這是我的終極必殺招式！
c022_hit_1	嘿，會痛啊！
c022_hit_2	唔哇啊！
c022_hit_3	啊！
c022_prskill	時機抓得正好！
c022_skill	要上了喔！
c022_spa	噢天吶，我真愛AR的東西！溫泉活動正在熱烈進行中！
c022_startbt	嗯？再戰一場？噢，好吧。
c022_story1	所以說，這全都是因為惡魔氏該有的半點領袖魅力都不存在，才會變成這樣啦。
c022_story2	嗯…咦？我完全沒在在意，好嗎？\只－只是讓我一個人靜一靜吧。
c022_story3	啊，你徹底搞砸了！我早知道就不應該相信你了！
c022_true1	怎麼會發生這種事？\…惡魔氏，能讓我離開了嗎？
c022_true2	呃，你可以不要一直提魔王爭奪戰嗎？\走開。我很忙啦。
c022_true3	我需要電源來充電我的機台，換言之，我需要你的插座。\所以，無可避免的結論就是…我們必須成為好朋友！拜託？！
c022_victory	對天才來說沒有什麼事情是不可能的！
c024_boss_long	來吧，在弱肉強食時代誕生的\可憐孩子！
c024_boss_short	來吧，宴會開始了！
c024_ctskill	在我面前下跪吧！
c024_death_1	這不過是我多有男子氣概的表現而已。
c024_death_2	啊...我很想看看那天的……到來……
c024_drive	看吶！這就是我們力量間的差距！
c024_hit_1	…哼。
c024_hit_2	就這樣了？
c024_hit_3	真強大。
c024_prskill	落幕時間到了。
c024_skill	面對你可悲的戰敗吧。
c024_spa	偶而休息一下也不賴嘛。
c024_startbt	布幕揭開了。讓我們開始吧。
c024_story1	我之前沒見過你呢。
c024_story2	你還是挺幸運的。
c024_story3	我從來沒想過要待這麼久。\總之，謝謝你陪我。
c024_true1	說真的，我仍不知道要成為王的條件。所以我要自己探索。
c024_true2	你問誰會當王？哼！\真是無聊的問題。
c024_true3	我沒多大興趣跟你交心。\我想你也是一樣的吧？
c024_victory	這是必然的結果。
c026_boss_long	離我遠點！不然我會把你劈成兩半！
c026_boss_short	別碰我！
c026_ctskill	走開！
c026_death_1	我要跑了！我要逃跑了…！
c026_death_2	呵呵呵呵～
c026_drive	滾一邊去啦！
c026_hit_1	唔啊！
c026_hit_2	哇！
c026_hit_3	嗚哇～！
c026_prskill	手拿開啦！
c026_skill	呵呵呵呵～
c026_spa	這裡，惡魔大人！我會讓你變的白帥帥的。
c026_startbt	哈哈哈！這真好玩！
c026_story1	我討厭惡魔…你打算要把我關起來，對吧？
c026_story2	我只有一個人！我不想被關起來！
