// key	CHAT_SPA_
sc007_spa_max	นี่เจ้ายังคิดถึงความพ่ายแพ้ในอดีตอยู่อีกเหรอ?! เจ้าโง่! ตราบใดที่เจ้ามีข้าอยู่ เจ้าจะไม่มีวันพ่ายแพ้อีก!
sc008_spa_1	ได้เวลาเริ่มการฝึกฝนของเจ้าแล้ว!
sc008_spa_2	เจ้าทำท่าทางพิลึกจัง เจ้ากำลังพยายามทำให้ข้าชะล่าใจเพื่อที่เจ้าจะได้ตลบหลังข้าใช่ไหม? ฮ่า! ฝันไปเถอะว่ามันจะเกิดขึ้น
sc008_spa_3	ข้าชอบน้ำพุร้อนนี้จัง ยกเว้นแต่ว่าคนไม่เอาถ่านบางคนเอาแต่รบกวนข้าไม่หยุด
sc008_spa_4	จริงที่น้ำพุร้อนนั้นเงียบสงบอย่างประหลาด แต่อย่าเพิ่งเข้าใจผิดนะ ทัศนคติของข้าจะไม่เปลี่ยนจากหน้ามือเป็นหลังมือแค่เพียงเพราะเจ้าพาข้ามาที่นี่หรอก
sc008_spa_max	ไม่เป็นไรจริงๆ เหรอที่ยอมรับการดูแลแบบนี้น่ะ? ไม่รู้สิ แต่ข้าก็ไม่สนหรอกนะ ข้าค่อยไปตอบแทนเจ้าตอนที่ข้าได้ไปต่อสู้อีกครั้งแล้วกัน เนอะ?
sc009_spa_1	อย่าคิดว่านี่เป็นของฟรี
sc009_spa_2	แน่ล่ะ เจ้าบอกให้ข้าพักผ่อนซะ แต่นั่นเป็นเพราะว่าเจ้ากำลังจะใช้งานข้าเยี่ยงทาสอีกแล้วใช่ไหม? ข้าจะต้องหาทางตอบแทนอย่างสาสมให้ได้ ข้ามั่นใจ
sc009_spa_3	เลิกจู้จี้กับข้าเถอะ นั่นไม่มีทางทำให้ข้าเชื่อใจเจ้าได้หรอก ...อะไรนะ? เราเป็นเพื่อนกันเหรอ? อืม... งั้นข้าคิดว่าข้าคงเชื่อใจเจ้าได้
sc009_spa_4	ยังไงซะข้าก็เบื่อที่จะต่อสู้อยู่แล้ว ดังนั้นนี่ก็เป็นจังหวะเหมาะพอดี ข้าจะทำตัวตามสบายสักครั้ง
sc009_spa_max	อะไรนะ? เจ้าคงไม่ได้กำลังบอกข้าให้ออกไปได้แล้วหรอกใช่ไหม? ถ้าเจ้าจะให้ข้าแช่น้ำ อย่างน้อยก็ปล่อยให้ตัวข้าเปื่อยสักนิดนึงสิ แบบนั้นข้าจะต่อสู้ได้ดีขึ้นนะ
sc010_spa_1	อา นี่สิถึงจะเรียกว่าการผ่อนคลาย
sc010_spa_2	ว้าว นี่เป็นความคิดที่ดีทีเดียว โดยเฉพาะสำหรับเจ้า ที่รัก ♥ แม้ว่าข้าจะชอบร้านเสริมสวยและการบำบัดด้วยกลิ่นด้วยเหมือนกัน เจ้ารู้ไหม
sc010_spa_3	อ้า เมื่อไหร่ที่ข้าเข้าไปใกล้ เจ้าก็วิ่งหนีตลอดเลย! เจ้าจะเล่นตัวไปอีกนานแค่ไหนกัน?
sc010_spa_max	อ่า คนที่ตกหลุมรักก่อนแพ้ใช่ไหม? แต่ว่านะะะ เมื่อเป็นเรื่องของปีศาจ ไม่มีใครบอกได้หรอกว่าจะเกิดอะไรขึ้น เพราะงั้นมาดูกันเถอะว่าจะเป็นยังไงต่อไป ที่รัก ♥
sc011_spa_1	ใช่รางวัลสำหรับความพยามของข้าหรือเปล่า
sc011_spa_2	ข้าจำเป็นต้องทำกิจวัตรนี้เพื่อรักษาสุขภาพของข้า ดังนั้นโปรดอย่ารบกวน
sc011_spa_3	ข้าไม่เคยมาน้ำพุร้อนที่ยอดเยี่ยมแบบนี้มาก่อนเลย! ...ทำไมต้องมองแรงขนาดนั้น? นี่ไม่เชื่อกันใช่มั้ย? ใจร้ายมากเลยนะ คุณปีศาจ!
sc011_spa_max	สวัสดีค่ะ คุณปีศาจ นี่แหละ! วันนี้คือวันที่ข้าจะทำให้เจ้าพูดมันออกมา! ข้าเบื่อและเหนื่อยที่จะรอเต็มทนแล้ว!
sc012_spa_1	นี่... อย่าจ้องข้าแบบนั้นได้ไหม ข้า...อึดอัด
sc012_spa_2	เจ้าสามารถขึ้นเป็นราชาปีศาจได้ด้วยการรวบรวมไชลด์อย่างเดียวโดยไม่มีวิธีอื่นจริงๆ เหรอ? ยิ่งเจ้ามีไชลด์มากเท่าไร ก็จะควบคุมพวกมันยากยิ่งขึ้นเท่านั้นนะ เจ้ารู้ไหม
sc012_spa_3	เจ้าเรียกข้าเหรอ หัวหน้า? ดูเหมือนว่าเจ้าอยากให้ข้าช่วยนะ ข้าคิดว่าข้าสามารถช่วยเจ้าได้
sc012_spa_4	ไม่ว่าจะมองยังไง เจ้าก็ไม่เหมือนปีศาจเลยสักนิด หัวหน้า แบบว่า ข้าคิดว่าข้าอาจจะไว้ใจเจ้าได้
sc012_spa_max	อย่าปล่อยมือข้า ข้าจะทำทุกอย่างสุดพลังเพื่อช่วยเหลือเจ้า และข้าจะทำให้แน่ใจว่าเจ้าจะได้เป็นราชาปีศาจ
sc013_spa_1	การพักนานๆ ทำให้เราตกเป็นเป้าโจมตีหรือเปล่า
sc013_spa_2	ฮ้า... ตอนนี้ข้ารู้สึกดีขึ้นมากเลย วันนี้อาการปวดหัวของข้าไม่ได้แย่มากนัก อ่าฮะ แต่นั่นก็เป็นแค่เพียงการพูดเปรียบเปรยอะนะ
sc013_spa_3	อืม... การใช้เวลาอยู่กับข้าจะต้องน่าเบื่อแน่ๆ เจ้าไม่อยากไปคุยกับไชลด์คนอื่นๆ บ้างเหรอ?
sc013_spa_4	ข้ารู้ว่าเจ้าจะมา ข้าต้องบอกเลยว่า เจ้าดื้อมากจริงๆ แต่เอาเถอะ มีอะไรเกิดขึ้นงั้นเหรอ? ข้ามีเวลาเยอะแยะ ดังนั้นข้าจะฟังเจ้า
sc013_spa_max	ทำไมเราไม่คุยเรื่องความรักกันล่ะ? ความเร็วของแสงเป็นเพียงสิ่งเดียวที่คงที่ นั่นจึงเป็นสาเหตุที่การพูดว่า "เจ้าคือแสงสว่างของข้า" เป็นคำที่โรแมนติกสุดยอด
sc014_spa_1	ช่างเป็นสถานที่ที่งดงามมาก ขอบคุณค่ะ มาสเตอร์
sc014_spa_2	อย่าไปฟังคำพูดไร้สาระของพวกนั้นนะ! มาสเตอร์ ท่านไม่ได้เป็นคนชั่วร้าย
sc014_spa_3	ถ้าข้าต้องตายเพื่อผดุงความยุติธรรม เช่นนั้นข้าจะเผชิญหน้ากับความตายโดยไม่หวาดกลัว ...ทำไมท่านถึงโกรธขนาดนั้นล่ะ?
sc014_spa_4	ข้าอยากเป็นเหมือนท่าน มาสเตอร์ ถ้าข้ายึดท่านเป็นแบบอย่าง วันหนึ่งข้าจะได้เกิดใหม่เป็นผู้พิทักษ์ความยุติธรรมที่แท้จริง
sc014_spa_5	ข้าเป็นสาวกของท่าน มาสเตอร์ ข้าจะผดุงความยุติธรรมในทุกรูปแบบที่ท่านบัญชา เอาล่ะทีนี้ โปรดบอกข้าเถิดว่าท่านปรารถนาโลกแบบไหน
sc014_spa_max	ไม่ต้องทุกข์ใจไปหรอกค่ะ มาสเตอร์ แค่เดินบนทางของตัวเองเหมือนอย่างที่ท่านทำมาตลอด ข้าจะคอยติดตามอยู่ด้านหลังท่าน
sc017_spa_1	ดูเหมือนข้ากำลังจะสลายไป...ในทางที่ดีนะ..
sc017_spa_2	มาสเตอร์ ท่านก็มาแช่น้ำด้วยเหมือนกันเหรอ? ข้าดันเผลอหลับไปชั่วขณะแน่ๆ *ฮ้าววว* ตอนนี้ข้าตื่นแล้ว แต่ข้าคิดว่าข้าจะของีบอีกสักที
sc017_spa_3	มาสเตอร์! วันนี้อยากเล่นขว้างเก็บสิ่งของกับข้าไหม? หรือท่านอยากจะเล่นในน้ำล่ะ?
sc017_spa_max	ข้าเล่นสุดพลัง ข้าเลยเหนื่อยจนหมดแรง แต่ตอนนี้ข้ารู้สึกดีขึ้นมาเป็นกองแล้ว! ขอบคุณที่พาข้ามาที่น้ำพุร้อนนะ วันนี้ท่านอยากจะเล่นอะไรล่ะ มาสเตอร์?
sc018_spa_1	อึก! เจ้าไม่เห็นอะไรเลย ใช่ไหม
sc018_spa_2	เจ้ามาหาข้าเหรอ? ข้าไม่เชื่อเจ้าหรอก เจ้ามาเพื่อพบไชลด์คนอื่น ถูกไหม? พวกปีศาจนั้นไว้ใจไม่ได้จริงๆ ข้าสาบาน
sc018_spa_3	อืม วันนี้เจ้าจะร้องเพลงให้ดารอนอีกแล้วใช่ไหม? หือ? หน้าเจ้าแดงแปร๊ดเลย เจ้าเป็นหวัดเหรอ?
sc018_spa_4	แหะๆ... วันนี้ข้าได้รับคำชมเชยอีกแล้ว! ข้าอารมณ์ดีสุดๆ ดังนั้นข้าจะช่วยเหลือเจ้าเอง!
sc018_spa_max	ข้าสามารถต่อสู้ได้มากกว่านี้ แต่ข้าไม่อยากเจ็บตัว และข้าเกลียดความเจ็บปวด แต่ข้าก็ไม่ปฏิเสธหรอกนะว่าข้าอยากช่วยเหลือเจ้า
sc019_spa_1	เจ้าอาบน้ำบ่อยไหม
sc019_spa_2	ใครบอกว่าเจ้าคุยกับข้าได้เหรอ? รออยู่เงียบๆ จนกว่าข้าจะอาบน้ำเสร็จ
sc019_spa_3	หือ? ไหนๆ เจ้าก็อยู่ที่นี่แล้วก็เลยแค่แวะมาดูงั้นเหรอ? ปีศาจแบบไหนเขาทำแบบนั้นกัน? ยังไงก็เถอะ ข้าคิดว่าแค่ทักทายก็คงไม่ทำให้ข้าตายหรอก
sc019_spa_max	เจ้าไม่ได้คิดจริงๆ ใช่ไหมว่าหน้าที่ของเจ้ามีแค่พาข้ามายังบ่อน้ำพุร้อนน่ะ? ถ้าเจ้าอยากให้ข้ายอมรับเจ้าเป็นมาสเตอร์ของข้าล่ะก็ เจ้าต้องทำตัวให้ข้าพอใจ แล้วข้าจะยอมรับเจ้า
sc020_spa_1	ไง สวัสดี ปีศาจน้อย เจ้าแก่แดดมากกว่าที่ข้าคิดนะ
sc020_spa_2	เจ้าไม่คิดว่าเจ้ากำลังอวดดีเหรอที่คิดว่าตัวเองยอดเยี่ยมมากแค่เพียงเพราะเจ้าพาข้ามายังสถานที่แบบนี้น่ะ? ปีศาจตนอื่นๆ จะมองว่าความคิดแบบเด็กๆ ของเจ้าน่าอับอายขายหน้านะ
sc020_spa_3	ข้าไม่เคยรู้มาก่อนเลยว่าปีศาจชอบน้ำพุร้อนด้วย　ข้าว่าเรามีอะไรเหมือนกันมากกว่าที่คิด อาจเป็นเพราะว่าโชคชะตาของข้าผูกพันกับโชคชะตาของเจ้าหรือเปล่า?
sc020_spa_4	ข้ารู้อยู่แล้วว่าลูกเต๋าของข้าทำนายไว้ไม่ผิด! มันพยากรณ์ว่าข้าจะมีโชคดีในอนาคตอันใกล้นี้ แต่ข้าไม่เคยคาดคิดว่าจะได้อะไรที่ยอดเยี่ยมขนาดนี้
sc020_spa_max	การพักผ่อนที่ดีนำไปสู่โชคดีนะ เจ้ารู้ไหม! ปีศาจน้อย เตรียมตัวให้พร้อมสำหรับความยิ่งใหญ่ซะ เพราะว่าข้าจะต่อสู้ด้วยทุกอย่างที่ข้ามี
sc022_spa_1	ให้ตายสิ ข้ารัก AR จัง ตอนนี้มีอีเว้นท์น้ำพุร้อนสุดเจ๋งเกิดขึ้น!
sc022_spa_2	เรากำลังจะกลับแล้วเหรอ? เจ้าเนี่ยขี้ตืดจัง แค่อย่ามายุ่งกับข้าถ้าเจ้าไม่อยากเล่นด้วย "นี่แน่ะ! เทคนิคสุดยอดของข้า!" อ่า ให้ตายสิ ถ้าเจ้าเล่นตามน้ำไปมันจะตายหรือไงกัน?
sc022_spa_3	ทำไมถึงทำหน้าเศร้าแบบนั้น? ฮี่ ฮี่... เจ้าโดนหนึ่งในผู้ช่วยของเจ้าดุอีกแล้วเหรอ? เลิกคร่ำครวญแล้วมาเล่นเกมกันเถอะ! ...และผ่อนคลายในบ่อน้ำพุร้อนนี้ ข้าว่างั้นนะ
sc022_spa_4	เจ้าวิ่งห้อมาขอความช่วยเหลือจากข้าอีกแล้วเหรอ? เจ้านี่มันน่าเวทนาจริงๆ นะเนี่ย เอาล่ะ อย่ากังวลไปเลย ข้าจะไม่บอกผู้ช่วยของเจ้า! เจ้าติดหนี้ข้านะ เข้าใจไหม?
sc022_spa_max	อย่าคิดว่าตัวเองชนะเพียงเพราะว่าเจ้าพาข้ามายังน้ำพุร้อนนะ ช่างน่าเวทนาเสียจริงๆ แต่ข้าก็รู้สึกซาบซึ้งอยู่นิดหน่อยเหมือนกัน ขอบคุณนะ...
sc026_spa_1	นี่ไง มิสเตอร์เดวิล! ข้าจะทำให้เจ้าดูดี และสะอาดได้แน่ ฮ่าฮ่าฮ่า!
sc026_spa_2	เจ้าบอกว่ามันไม่ร้อนนี่! เจ้าโกหก! เจ้าแย่มาก! ข้าไม่อยากเชื่อเลย! โอ้ แต่รู้สึกดีจังแฮะ... ยังไงก็ตาม เจ้าก็ยังเป็นคนเลว! เจ้าคนโง่!
sc026_spa_3	เจ้าชอบโดนจั๊กจี้ไหม มิสเตอร์เดวิล? ข้าชอบโดนจั๊กจี้ แหะๆ... มานี่สิ มิสเตอร์เดวิล! มิสเตอร์เดวิลลล...
sc026_spa_4	*เฮ้อ* ข้ารู้สึกอุ่นจัง ข้ารู้สึกหนักไปหมด ง่วงนอนจัง... มิสเตอร์เดวิล ช่วยดูแลข้าจนกว่าข้าจะตื่นทีนะ
sc026_spa_max	เจ้าจะไม่แช่น้ำเหรอ มิสเตอร์เดวิล? แต่มันช่างดีงามและอบอุ่นเหลือเกิน ไม่ต้องยับยั้งชั่งใจเพื่อข้าหรอกนะ ลงมานี่เลย! ถ้าเจ้าไม่ลงมา ข้าจะจั๊กจี้เจ้า!
sc027_spa_1	ศึกชิงน้ำพุร้อน!
sc027_spa_2	เจ้าหลงทางเหรอ? นี่คือการพบกันครั้งแรกของเรา แต่ข้าดีใจที่ได้พบเจ้านะ
sc027_spa_3	คุ้มค่าดีที่ได้ต่อสู้เพื่อเจ้า ข้าไม่เคยคิดว่าเจ้าจะพาข้ามายังสถานที่ที่มหัศจรรย์ขนาดนี้ แต่อย่าเพิ่งเข้าใจผิดไปนะ ข้าไม่ได้ต่อสู้อย่างหนักเพียงเพื่อรางวัลเท่านั้น ข้าจะมาช่วยเจ้าทุกครั้งที่เจ้าเรียกตัวข้า
sc027_spa_max	ซินเธีย ฮีโร่ในตำนานจะไม่มีวันต่อสู้เพื่อปีศาจ! แต่! เธอจะเสี่ยงชีวิตเพื่อเพื่อนอันเป็นที่รัก!
sc028_spa_1	อาาา รู้สึกดีจัง ♥ นะ-นี่ เจ้าคิดว่าเจ้ากำลังทำอะไรที่นี่เนี่ย?! มีเพียงเจ้าชายเท่านั้นที่คู่ควรจะสบตาข้า!
sc028_spa_2	นี่ เจ้าทำอะไรตรงนั้นเนี่ย? ถ้าเจ้ามีเวลาว่างละก็นะ มานวดให้ข้าที หรือซื้อเครื่องดื่มเย็นๆ ให้ข้าก็ได้
sc028_spa_3	ใครก็ได้! ใครก็ได้! ไม่มีใครอยู่แถวนี้เลยเหรอ? เจ้ากล้าใช้ข้า เจ้าหญิงเลด้า ได้ยังไงกัน แย่มากๆ เลย! แล้วเจ้าคิดเหรอว่าเจ้าจะรอดพ้นการลงโทษไปได้โดยการพาข้ามาที่น้ำพุร้อนนี้น่ะ? เหอะ...แต่ด้วยความที่ข้ามีเมตตากรุณา ข้าว่าข้าจะมองข้ามความโอหังของเจ้าไป แต่แค่ครั้งนี้ครั้งเดียวเท่านั้น
sc028_spa_4	อืมมม ข่าวลือว่ากันว่าเจ้าเอาข้าไปโอ้อวดกับทุกคน ได้โปรดเพลาๆ ลงหน่อยเถอะ! ข้าเกลียดคนรับใช้ที่โง่เง่า!
sc028_spa_max	ข้า "ต้อง" พูดว่าข้าชอบไหม? ก็ได้ ถ้าเจ้าต้องการคำตอบจากข้า ข้าก็จะบอกเจ้า อุณหภูมิของน้ำ ความชื้น คุณภาพของน้ำ และคนรับใช้ที่คอยดูแลถูกใจข้าทุกอย่างเลย ฮี่ฮี่!
sc029_spa_1	โอ้โห ข้าเห็นเงาพระจันทร์สะท้อนเหนือผิวน้ำ งดงามจัง...
sc029_spa_2	ท่านบอกว่าท่านไม่อยากให้ข้าเตร็ดเตร่เร่ร่อนอีกต่อไปท่านถึงได้พาข้ามาที่น้ำพุร้อนนี้งั้นเหรอ? แต่เห็นได้ชัดเลยว่าท่านก็พาไชลด์อื่นๆ มายังที่เดียวกันนี้ ท่านเห็นแก่ตัวชะมัด
sc029_spa_3	การแช่น้ำในน้ำร้อนทำให้ข้าใจลอยและลืมไปว่าเวลาผ่านไปนานแค่ไหนแล้ว ดังนั้นได้โปรดพูดกับข้าต่อไปเรื่อยๆ ที
sc029_spa_4	ที่นี่สวยมาก เหมือนอย่างที่ข้าหวังไว้ว่าท่านจะแนะนำ มาสเตอร์ คราวหน้าที่เราไปเที่ยวกัน เราควรมาที่นี่ ชู่ว—ข้าตัดสินใจเรียบร้อยแล้ว ดังนั้นข้าจะไม่ทนการโต้เถียงอะไรใดๆ ทั้งนั้น
sc029_spa_max	วันนี้ท่านดูท่าทางหดหู่ใจนะ แสดงความมืดที่คั่งค้างอยู่ในใจท่านให้ข้าเห็นสิ แล้วข้าจะสาดส่องแสงสว่างกลบความมืดนั้นให้ท่านเอง ท่านถามว่ายังไงน่ะเหรอ? แหะๆ... นั่นเป็นความลับค่ะ
sc030_spa_1	หืม คดีนี้ยากที่จะไขปริศนา ข้าอาจจะไม่สามารถไขคดีนี้ได้
sc030_spa_2	หยุดพูดนะ ข้าต้องตั้งสมาธิ ปัญหาสังคมนั้นยากที่จะจัดการ เจ้าอยากรู้ว่าทำไมงั้นเหรอ? เพราะว่าเจ้าต้องคาดการณ์ว่าวัฒนธรรมจะเปลี่ยนไปยังไงน่ะสิ
sc030_spa_3	ผู้ช่วย ทำไมเจ้าถึงเอาแต่นั่งฟังเงียบๆ ล่ะ? หัวใจของนักสืบสามารถหวั่นไหวได้ด้วยคดีที่น่าทึ่งเท่านั้นนะ!
sc030_spa_4	ผู้ช่วย เรารู้จักกันมานานแค่ไหนแล้ว? ข้าคิดว่าถึงเวลาที่เราต้องร่วมมือกันแล้วล่ะ!
sc030_spa_max	กาลครั้งหนึ่ง มีนักสืบคนหนึ่งที่สูญเสียพ่อแม่ของเธอไป นักสืบผู้นั้นออกค้นหาตัวฆาตกรที่สังหารพ่อแม่ของเธอ ในที่สุดเธอก็ได้ข้อสรุปว่าคนร้ายเป็นปีศาจ หลังจากนั้น เพื่อล้างแค้น เธอก็ได้กลายเป็นปีศาจเอง ...ว่าไงคะ? เป็นเรื่องราวที่น่าสนใจดีใช่ไหม?
sc031_spa_1	ถึงข้าจะเป็นแมว...\แต่ข้าชอบน้ำร้อน...
sc031_spa_2	เมื่อเมี้ยวเตอร์เศร้าใจ หางของเขาจะตกลู่ เมี้ยว เหมือนกับข้า ข้าถึงได้เข้าใจความรู้สึกของเมี้ยวเตอร์ของข้าดียังไงละ!
sc031_spa_3	ข้าชอบน้ำร้อน แต่... พวกแมวเหมียวทั่วไปไม่ชอบ ดังนั้นถ้าแมวเหมียวไปอาบน้ำกับท่านละก็นะ เมี้ยวเตอร์ นั่นหมายความว่าท่านได้ทำอะไรสักอย่างให้พวกมันประทับใจเข้าแล้ว
sc031_spa_max	เมี้ยวนาได้สอนข้าไว้เยอะเลย เมี้ยว ข้า... ข้าคือไชลด์ ดังนั้นข้าต้องช่วยเมี้ยวเตอร์ของข้า!
sc032_spa_1	ข้าใช้น้ำพุร้อนเพื่อต้มไข่ยางมะตูมให้เจ้านะ มาสเตอร์
sc032_spa_2	ท่านมาอีกแล้วเหรอ? หือ? ท่านบอกว่าข้าดูเหมือนลำบากใจงั้นเหรอ? เปล่าเลยค่ะ สิ่งเดียวที่ทำให้ข้าหงุดหงิดใจก็คือการถูกรบกวนในขณะที่กำลังพักผ่อน
sc032_spa_3	ทุกครั้งที่ท่านเหนื่อยล้าก็สามารถพูดออกมาได้ตามสบายเลย ข้าจะคอยอยู่เคียงข้างเพื่อช่วยเหลือท่านเสมอ
sc032_spa_max	สาวรับใช้ที่ยอดเยี่ยมที่สุดคือคนที่อยู่ห่างจากสายตาของมาสเตอร์! ข้าไม่ถือสาหรอกว่าคนอื่นๆ จะเข้าใจเรื่องนี้ยาก ตราบใดที่ "ท่าน" เข้าใจ ข้าก็ไม่มีปัญหา
sc033_spa_1	ข้ารู้สึกได้ว่าหัวใจของข้ากำลังรู้สึกกระปรี้กระเปร่า
sc033_spa_2	ลมอะไรหอบท่านมาที่นี่ในวันนี้เนี่ย? ท่านไม่ได้มาที่นี่เพื่อจับตาดูข้าหรอกใช่ไหม? ท่านไม่ควรต้องกังวลเลยจริงๆ นะ ข้าแค่มาที่นี่เพื่อดื่มด่ำกับน้ำพุร้อนเท่านั้น
sc033_spa_3	ข้ากำลังรอคอยท่านอย่างร้อนใจที่สุดเลย มาสเตอร์ ท่านอยากรู้ว่าทำไมงั้นเหรอ? ง่ายมาก เพราะว่าข้าชอบที่จะใช้เวลาที่มีค่ากับท่านแบบนี้ยังไงล่ะ
sc033_spa_max	ไชลด์ทุกคนที่อยู่ที่นี่คือคนที่รักท่าน... แน่ละว่ารวมถึงตัวข้าเองด้วย
sc034_spa_1	ฮ-ฮืม... เจ้าต้องเป็นปีศาจแน่ๆ ถึงได้มาเดินลอยหน้าลอยตาอย่างหน้าไม่อายที่นี่ได้
sc034_spa_2	เป็นอะไรไปล่ะ? เจ้าดูหมดแรงนะ ทุกคนต้องพักผ่อนกันบ้าง เจ้ารู้ไหม
sc034_spa_3	ข้าไม่ได้หยุดพักนานขนาดนี้มานานแล้ว คิดว่าการให้เวลากับตัวเองแบบนี้บ้างในบางครั้งคงไม่เสียหายอะไร เจ้าเห็นด้วยแหงอยู่แล้วใช่ไหมล่ะ?
sc034_spa_max	เจ้าดูแลข้าอย่างดี ข้าเข้าใจ เจ้าถึงได้พาข้าออกมาที่นี่ใช่ไหมล่ะ? เอ่อ ข้าขอบคุณนะ
sc035_spa_1	ข้าอยากจะ...ต่อรองกับเจ้าของน้ำพุร้อนนี้...
sc035_spa_2	คิดดูสิว่ามีสถานที่ที่สวยงามขนาดนี้ แต่มีเพียงไชลด์บางคนเท่านั้นที่ได้รับอนุญาตให้มาที่นี่ ช่างไม่ยุติธรรมเลยจริงๆ บางทีอาจเป็นเพราะว่าความสุขโดยรวมของโลกมีจำกัดหรืออะไรทำนองนั้นหรือเปล่า?
