// key	CHAT_SPA_
sc001_spa_1	呼……没什么比宠爱自己一下更好的了♥
sc019_spa_2	谁允许你和我讲话的？在我泡完温泉之前，你给我安静地等着。
sc019_spa_3	咦？你就是过来打个招呼？这哪儿是恶魔干的事？好吧。反正打个招呼，也不会少块肉。
sc019_spa_max	你该不会以为带我泡完温泉，你的任务就结束了吧？想要成为我的主人，你可要好好地讨好我。这样我才会接受你。
sc020_spa_1	哟，你好啊，小不点。你比我想象中更成熟呢。
sc020_spa_2	如果你以为把我带到这种地方就满足了，那你也太自负了吧？其他的恶魔可是知道比这里更好的地方喔。
sc020_spa_3	我竟不知道原来恶魔也喜欢温泉。　看来我们两个还是有不少共同点的。也许，我们的相遇是命中注定的。
sc020_spa_4	我就知道我的骰子没有错！骰子告诉我，最近会有好运，但我没想到是这么棒的事。
sc020_spa_max	好好休息才会有好运气！准备见识我的厉害吧，小不点，我会全力战斗的。
sc022_spa_1	噢，AR最棒了！温泉活动正在火热进行中！
sc022_spa_2	这就回去了？你可真小气。不想玩的话，别来烦我。「接招！我的究极奥义！」喔，拜托，配合我一下嘛。
sc022_spa_3	脸拉个老长？呵呵……又被你的助手骂了？别抱怨了，来玩个游戏吧！……然后在温泉里好好放松一下吧。
sc022_spa_4	又来找我？你还真是可悲呢。别担心。我不会告诉你助手的！你欠我一个人情喔。
sc022_spa_max	你不会认为带我来泡个温泉，就成功了吧？真是可悲。虽然我有点感谢你，只是有点。谢啦……
sc026_spa_1	这里，恶魔大人！我会让你变得又白又帅的。哈哈哈！
sc026_spa_2	你说不会热的！你骗人！你真是糟糕透了！我真不敢相信！嗯……但这还蛮舒服的……但是，你还是很过分！你这个大笨蛋！
sc026_spa_3	你喜欢别人帮你搔痒吗，恶魔先生？我喜欢别人帮我搔痒喔。嘻嘻……来嘛，恶魔先生！恶魔先生……
sc026_spa_4	唉……我好温暖喔。感觉身体好沉重。好困……恶魔先生，你要在我睡着时好好照顾我哦。
sc026_spa_max	你不泡温泉吗，恶魔先生？好舒服，好温暖啊~别顾忌我了——快进来吧！如果你不进来的话，我就要挠你痒痒肉了喽！
sc027_spa_1	温泉大突进！
sc027_spa_2	你迷路了吗？第一次见面，很高兴认识你。
sc027_spa_3	为了你而战嘛。我是真没想到你会带我来这种地方。你别误会。我努力战斗可不是为了要得到奖赏喔。不管你什么时候呼唤我，我都会来帮你的。
sc027_spa_max	虽然，传说中的英雄辛西亚是绝对不会为了恶魔而战的！但是！她愿意为朋友而身历险境！
sc028_spa_1	啊，感觉真是太舒服了♥等……等一下！你在看什么啊？！只有王子才有资格盯着我看！
sc028_spa_2	喂，你在这里干嘛啊？有时间的话，过来给我按摩一下，或者去给我买点饮料。
sc028_spa_3	来人啊！有人吗？你竟敢利用我勒达公主，太过分了！你以为带我来泡温泉，就可以免去你的责罚吗？嗯……我这么仁慈，仅此一次，下不为例。
sc028_spa_4	嗯。听说你在向别人炫耀我。低调点！我讨厌愚蠢的仆人！
sc028_spa_max	我一定要说我很喜欢吗？好吧……既然你想知道我的答案，那我就大发慈悲地告诉你吧：水的温度、湿度、水质和服务质量都让我满意。嘻嘻！
sc029_spa_1	哎呀，月亮映在了水面上呢……真美……
sc029_spa_2	你说你带我泡温泉，只是希望我别在外面乱逛？你会带其他Child来这里？你还真是任性啊。
sc029_spa_3	泡温泉会让人忘记时间。所以，请继续和我聊天吧。
sc029_spa_4	这里真迷人。正因为这地方是你推荐的，所以才如此迷人。主人。下次我们出去的时候，来这里吧。嘘——我已经决定了，不许顶嘴。
sc029_spa_max	你今天看起来没什么精神。说出你内心的黑暗，我会为你排忧解难。我是怎么做到的？嘻嘻……秘密。
sc030_spa_1	哼。这个案件不好办。我可能没法解决。
sc030_spa_2	等一下。我需要专注。社会问题可是很难解决的。至于为什么……因为你需要预测文化的变迁啊。
sc030_spa_3	助手。你为什么从一开始，就在旁边偷听？侦探的心可是只能被有趣的案件打动哦！
sc030_spa_4	助手。我们认识多久了？我觉得我们可以一起行动了！
sc030_spa_max	很久很久以前，有一位失去双亲的侦探。他一直在寻找杀害双亲的凶手。最后，侦探认为是恶魔杀了她的父母。自此，为了实施报复计划，她将自己转变成了恶魔。……怎么样？这故事有趣吧？
sc031_spa_1	我虽然是只猫……\但我也很喜欢热水喵……
sc031_spa_2	当主人喵难过的时候，尾巴就会垂下来。跟我一样喵。所以我了解主人喵的感受！
sc031_spa_3	我喜欢温泉，但是……大部分的猫咪并不喜欢。所以如果一只猫咪跟着你泡温泉，那表示它一定很喜欢主人喵。
sc031_spa_max	喵娜教会了我许多东西。我……我是个Child，所以我必须帮助我的主人喵！
sc032_spa_1	这是我为主人准备的温泉蛋。
sc032_spa_2	又来？嗯？你说我看起来有心事？其实并没有。就是休息的时候还要被打扰这件事，让我挺头疼的。
sc032_spa_3	你要是累了，可以随时跟我说。我会一直陪在你左右的。
sc032_spa_max	最好的女仆应该要消失在主人的视线范围之内！我不在乎其他人能不能理解。只要你理解，就够了。
sc033_spa_1	我感到身心受到了洗涤。
sc033_spa_2	你今天怎么想起来这里？你不会是来监视我的吧？你真的不用担心。我就是来泡个温泉。
sc033_spa_3	我对你的到来一直很是期待，主人。至于为什么……原因很简单，因为我喜欢像这样跟你共度美好时光。
sc033_spa_max	这里的Child都十分喜欢你……当然也包括我。
sc034_spa_1	哼……你果然是个恶魔。毫无廉耻地在这里乱晃。
sc034_spa_2	怎么了？你看起来很累。每个人都需要休息的。
sc034_spa_3	我已经很久没有这么休息了。我想偶尔这样放松一下，应该没什么坏处吧。你说呢？
sc034_spa_max	你会照顾我——这我知道。所以你才带我来这里，对吧？谢谢你。
sc035_spa_1	我想……和这个温泉的拥有者谈判……
sc035_spa_2	这么美的地方，竟然只有少数选定的Child才可以进来。这太不公平了。也许这世界上的幸福真的是有限的……
sc035_spa_3	主人，你每次对我好，我都忍不住猜测你究竟是想掩盖你犯下的错误，还是你真的在表达你对我的疼爱呢？
sc035_spa_4	如果所有人都能像我这样对待你就好了。你明明是个好人，为什么大家还要找你麻烦呢？
sc035_spa_max	你等着。我会把一个史上最棒的魔界送给主人当礼物的。
sc036_spa_1	他是个动物玩偶又如何？熊熊很爱洗澡的。对吧，熊熊？
sc036_spa_2	我真不敢相信你竟然私藏这种宝地。你以为我发现不了吗？你这个邪恶的恶魔。
sc036_spa_3	你觉得这里值多少钱？这是Child专用的温泉吧？应该很稀有！我真想把它买下来！
sc036_spa_4	你房间里吸引我的东西很多。卖我一点怎么样？我会按市场价收购！不，高于市价收购！
sc036_spa_5	我想得到一件独一无二的物品。至于哪一件？嗯……这个我也不知道。
sc036_spa_max	嗯，听好了。虽然我并不想说这种事，但是……我觉得你可能没办法装进熊熊里了，因为你的体型有点大。你想减肥吗？
sc037_spa_1	来吧，小子。你就这么两下子？
sc037_spa_2	你参不参加魔王争夺战跟我有什么关系？我只想解决掉你这个眼中钉。
sc037_spa_3	你够了，小子。别再一脸闷闷不乐地猜测我的心情了。如果你成为我的仆人，我会特别照顾你的。
sc037_spa_max	当时机来临，我们就会知道谁最有资格成为魔王。到目前为止，我都没有看到那个最适合的人出现。现在看来，只好先静观其变了。我倒想知道笑到最后的人是你还是我。
sc038_spa_1	呃，哈喽？你什么时候开始盯着我看的？
sc038_spa_2	真是的，这个地方是怎么回事啊？每个人都在四处炫耀自己的主人……虽然我也可以理解，毕竟我的主人那么棒。
sc038_spa_3	主人~再靠过来一点嘛！我最喜欢和主人一起在温泉约会了！
sc038_spa_4	嘿！嘿！你看！♥泡了温泉之后，我的皮肤变得超好！♥做好心理准备，因为我会比以前更可爱的唷！♥
sc038_spa_5	在温泉约会固然很好，但是……我也想去看看其他地方~我知道了！作为回礼，我下次带你去我喜欢的地方看看吧！♥
sc038_spa_max	主人！♥你知道今天是什么日子吗？今天是我们第一次见面的纪念日喔！♥既然今天是属于我们的特殊日子，你可要一直在我身边喔~
sc039_spa_1	你再一直盯着我看，我……我就要揍人喽……
sc039_spa_2	你想从我嘴里打听到什么吗？少用你那些低劣的笑话烦我了！别在我跟前污染我周围的空气，滚开！
sc039_spa_3	没有经过我的允许，任何人都别想看到我的素颜！你别站那儿，你……走远一点，在别的地方等我啦！别盯着我看！
sc039_spa_4	你是不是误会了？我烦躁不是因为讨厌你，或者别的什么原因。我就是单纯的害羞！
sc039_spa_max	又来……我吼了你这么多次，你怎么就不知道放弃呢？无论天气好坏，你总过来关心我的状况。真是个怪人！哼。我欠你什么了吗？别在这边鬼鬼祟祟的了，快滚。
sc040_spa_1	偷看我洗澡？你果然是恶魔呢。
sc040_spa_2	我想要什么？我没什么想要的。如果一定要我许愿的话，我希望你可以像个真正的主人。不过，这种事还不值得我牺牲自己的愿望，对吧？
sc040_spa_3	因为你的Child总是不听话，所以你很担心，对吧？放心啦。你还有我，我是忠心的Child嘛。
sc040_spa_max	你怎么看上去很担心我的样子啊？虽然我的表情的确不怎么丰富……但那和我心里怎么想没什么关系吧。放松点。
sc041_spa_1	唔～啾。
sc041_spa_2	会叫的狗不咬人，会咬人的狗不叫。真正的猛兽总是安静地坐着，等待时机对猎物展开攻击。
sc041_spa_3	你能得到像我这么棒的Child，那是你三生有幸。你可能前世拯救了宇宙才会遇见我吧，小不点。
sc041_spa_max	听说你最近的对手很可怕。你怎么没有带我去呢？如果你带我去的话，我就能大展身手了……
sc043_spa_1	我的天吶！这真是太舒服了！
sc043_spa_2	也许是我错怪你了。我不知道你会带我来这么好的地方。嘿，够了！别在那边犯傻了！
sc043_spa_3	我见过许多Child，我保证，我绝对是里面最可爱的！至于你——能够得到我，真是三生有幸！♪
sc043_spa_4	哈哈……我以为，我长大后就能强大起来，但现在看来，也许我还没有长大。
sc043_spa_5	我们今天的战斗还真是激烈啊。是时候在温泉里洗去疲劳了。辛苦！
sc043_spa_max	什么？你想知道我喜不喜欢这里？我当然喜欢！我可以在这里待到地老天荒！下次你一定要再带我来喔！所以今后请多多指教喔，恶魔小朋友★★
sc044_spa_1	好……好热……血……血压要升高了……
sc044_spa_2	哎呀呀。在这里都能遇见，这就是缘分吧。坦白讲，我还以为我们没有这种缘分呢。哈哈，我开玩笑的。
sc044_spa_3	我相信你。这个……虽然我能信任的也只有你了，但是……
sc044_spa_4	在蒸汽满满的温泉里好好泡个澡，即使是我这样的人也可以瞬间恢复精力。嗯，还真不错呢。
sc044_spa_5	我怎么感觉，大家是来这里参加某种竞赛的啊？是在进行什么忍耐大会吗？明明一切都在计划之内，这到底是怎么一回事？嗯？你问我这是什么意思？谁知道呢……？
sc044_spa_max	那些魅魔又批评你了吧？你看起来心情不太好。你千万不要给自己太大压力，其实你作为候补生已经比我想象中的厉害许多了。你要对自己有信心。
sc045_spa_1	这真是让人感到元气满满呢。
sc045_spa_2	哎呦……这儿怎么哪儿哪儿都是我的对手啊！那边那个女的，还有那边那个也是……我必须保持我的最佳状态！
sc045_spa_3	主人！安静！我知道你是我的头号粉丝，但你这种态度，真的让我很没面子耶。
sc045_spa_4	听好了！我刚刚遇到了我的粉丝。我去给他们签名咯，然后——嗯！？主人，你不信我？我……我……呜呜……我明明很努力……
sc045_spa_5	泡温泉也是偶像的必修课，对吧？这是学习体验的一部分！至少，本来应该是这样的。但绝大部分的时间，我都在享受这种幸福的感觉。
sc045_spa_max	主人，总有一天你会和我一起登上舞台的，对吧？登上那个被欢笑和欢呼包围，充满感动和兴奋的舞台……
sc047_spa_1	我讨厌水。要不要直接蒸发掉……
sc047_spa_2	等一下！我原本对Child专用温泉很期待的，但这水感觉一点温度都没有啊！
sc047_spa_3	你是一路追着我到这里吗？你怎么这么差啊……
sc047_spa_4	呼……我已经好久没有感觉这么自在了！完全没人打扰我——喔，你也在啊。我会假装没看到的。快走吧。乖乖回去。
sc047_spa_5	你傻笑干嘛？嗯……你知道吗？你笑起来还挺好看的。我……收回刚刚说的话。
sc047_spa_max	虽然我对你的牢骚和抱怨不感兴趣，甚至还有些恶心反胃，但……作为你的Child，我只能忍受了。
sc048_spa_1	你觉得这样会让我开心？哈……
sc048_spa_2	嗯？你这是什么表情啊？是不是误会了什么？我只是在试着享受这个地方，你可以不要打扰我吗？当然能完全消失最好。
sc048_spa_3	你有什么事吗？我不是魅魔，所以我是不会加班的。懂了吗？很好。现在你可以离开了。走吧。
sc048_spa_4	我想也许是我错看了……温泉。我可能不太适合温泉。哼……这么麻烦的活动，早结束早好。
sc048_spa_max	我今天心情不太好，昨天也不是很好，前天也是如此。坦白讲，我好像没有心情好的时候。我想，我大概一直如此吧。虽然我自己也不愿意这样……
sc049_spa_1	啊……这也许真的能帮我重获平静啊……
sc049_spa_2	这硫磺的味道……我们一定是在地狱深处吧。这不重要。我的信念是不会因此而改变的。
sc049_spa_3	我的主曾经说过「朝着海洋举起你的手臂。」「海水就会分离，而你就可以走在干燥的路面上。」……不……不是这样，这并不是我玩水的借口！
sc049_spa_4	我绝对不会向恶魔的诱惑屈服。不过，假如你偶尔展现出来的好意，多半是来自于善心……就没什么问题了。
sc049_spa_5	你居然要把我留在这里……你不怕我逃跑吗？你还真是粗心呢。但是，也因为如此……我们之间的距离被一点点拉近了。
sc049_spa_max	你所展现的善意，源自你的正直。所以别再否定你的善良了。神会赦免一切，包括恶魔。现在合起双手，一起来祷告吧。为了你的救赎……
sc051_spa_1	……是不是有点凉了？
sc051_spa_2	来都来了，何不享受一下呢！我想你根本没有时间休息吧？哇哈哈！
sc051_spa_3	我一直在想喔，你看起来并没怎么成长。喔，怎么？你生气了吗？你生气了对吧？
sc051_spa_4	我的天，你真的很让人头痛诶，你知道吗？你与其浪费时间在这里搞人际关系，还不如去找找契约者。还是说，你一点想法也没有，只能在这边耗时间？
sc051_spa_5	成为好恶魔的条件？我为什么要回答你？你忘记了我们是敌人吗？不对，不是敌人，是死敌！没错，我们是死敌！
sc051_spa_max	你看起来挺闲的。方便说话吗？很好，你听好，我接下来要跟你说的，与我未来的计划有关！首先！我要成为魔王！接着！我要发起一场革命！至于为什么革命呢，我还没想好，但这不重要……听起来很不错吧？
sc052_spa_1	我知道我很有魅力啦，但你能别一直盯着我看吗？
sc052_spa_2	哎呀……看看这些单纯无辜的羔羊。如果一切顺利，比利特教会也许能多几个信徒。
sc052_spa_3	我真是无法理解。我的话术应该是适用于所有人的啊，为什么这些Child总说我「可爱」？
sc052_spa_max	嗯？主人，你去哪了？竟敢让我比利特大人等你，胆子真大。要是再犯，我会诅咒你的。……不过我觉得这么愚蠢的错误，主人应该不会犯第二次吧。主人那老鼠胆子。
sc053_spa_1	你在想些色色的事情，对吧？
sc053_spa_2	嘘。住口。你的想法让我很生气。
sc053_spa_3	你担心的太多了。你越是为它们感到困扰，你的心灵就越是疲惫。所以，拜托你去做做冥想，清一清你的脑袋好吗？
sc053_spa_4	你要我猜你在想什么？不了，谢谢。我对读心术没什么兴趣，我想听你自己说。
sc053_spa_5	这个温泉吗？我很喜欢。不过你应该是把我的话当作客套了，对吧？请相信我说的话。我绝不说谎。
sc053_spa_max	这里比其他地方安静。我想我还会来的。
sc054_spa_1	自以为安全的时候才是最危险的时候。\千万不要放松警惕。
sc054_spa_2	嗯……？我感觉到有好几个Child躲在水里！这应该就是温泉一直漫出来的原因。我会安静地把他们处理掉的。
sc054_spa_3	鼓起勇气吧。成为魔王是你命中注定的事情。我确定。
sc054_spa_max	没有比战场上的生死关系更强的羁绊了。我们之间就是这种羁绊。我甚至知道如何将这样的关系升华到更高的境界……
sc056_spa_1	我能感受到体内充满了力量！\下次见面，我一定要了结他！
sc056_spa_2	我的主人只有一个：那就是全知全能的主。恶魔只是我讨伐的目标。
sc056_spa_3	你不觉得你对我的关心有点过头吗？如果你万一不小心被净化了，可怎么办啊！……我开玩笑的。
sc056_spa_max	恶魔啊，舍弃你们世俗的欲望，清醒吧，接受圣洁的召唤。如此，你们这样的恶魔也能获得他的赦免。
sc057_spa_1	有时候这种余兴节目也不错……
sc057_spa_2	你好啊，我的贵客。你是特地来找我的？太贴心了。你今天有什么事想和我说？
sc057_spa_3	哎呀哎呀。看看是谁来了。说曹操，曹操到呢。至于为什么……呼呼呼~
sc057_spa_4	我还挺喜欢无所事事地坐在这里的。你觉得我会想什么呢？好吧……我可是恶魔的信徒啊。所以当然是恶魔啊！
sc057_spa_5	今天不顺利吗？不要装了啦，你的情绪都写在了脸上。你比翻开的书都好懂。你真的是一个很独特的恶魔，你是我见过的唯一一个单纯而青涩的小恶魔。
sc057_spa_max	哈喽，我可爱的顾客。你能偷跑出来看我，真是太棒了。我怎么知道的？嘿嘿。全都写在你脸上了。
sc058_spa_1	轻视对方总是会遭到报应的……
sc058_spa_2	我好像忘了什么事情。那件事好像跟我的名字、使命和命运有关？你知道是什么吗？
sc058_spa_3	经典所在之处，即为有佛，若尊重弟子……「此经典所在之处，即是佛所在之处。若能解说此经典，则弟子亦可为师。」
sc058_spa_4	你问我讨不讨厌你？谁知道呢。讨厌你则说明我对你是有感情的，若我有情，则与众生一样，为有情物。嗯。也许我与众生无异。
sc058_spa_5	我突然想到一件事。然而，我不知道怎么用言语表达，但所考虑的话语却不自觉地从我嘴里说出。你不觉得这很奇怪吗？
sc058_spa_max	如果我将你引入涅槃，你身为我的同伴，我们会化为一体，这就代表我无法成佛，这一切都只是幻象罢了。
sc060_spa_1	要一起来吗，宝贝？
sc060_spa_2	宝贝，你这么相信我，让我很难办啊。至于为什么……因为我不相信你啊。完全不相信。
sc060_spa_3	你看起来就像是一脚踏进了棺材一样。你的助手又骂你了？嘿嘿。可怜的小宝贝。
sc060_spa_4	哇，宝贝，你真厉害！你说你今天很努力了？看来你也不是那么一无是处嘛。
sc060_spa_max	我觉得，宝贝你不会一直都这么倒霉的。宝贝你只要继续努力，终有一天会有回报的。
sc061_spa_1	这应该能让我想出一些不错的曲子♪
sc061_spa_2	与他人相识后，会有一种备受「启发」的感觉。举例来说，恶魔大人，我觉得你是个很孤独的人，这在恶魔里可是很少见的！
sc061_spa_3	耶！♪ 今天摇滚起来吧？来啦，恶魔大人一定行的！恶魔学得会。只要盯着眼前的路就没事了。
sc061_spa_4	虽然我们只是闲聊，但实在没什么好说的。毕竟，我能够对恶魔大人坦白，但是恶魔大人却不愿意告诉我你的秘密。
sc061_spa_5	你今天好积极啊！发生什么了？哈哈，开玩笑的啦！你不会又要开始躲我吧？开个小玩笑而已。要是其他人的话，会觉得你很无聊喔。
sc061_spa_max	谢谢你总是照顾我！其实你真的很关心我，不是吗？嘿嘿。我也很在乎恶魔大人喔。从我们第一次见面到现在，一直都是这样。
sc062_spa_1	哈哈，你是来偷窥我的吗？我想我也不能责怪你，毕竟我是如此可爱♥
sc062_spa_2	啊！你不能就这样闯进来！我知道你想见我，但还是要有礼貌。懂了吗？
sc062_spa_3	恶魔啊，还记得我们刚认识的时候吗？那天啊……等一下。你根本不记得了，对吧？！
sc062_spa_4	恶魔啊，你真是太不懂女人了。但是……没关系的。毕竟，我是你唯一需要懂的女人。
sc062_spa_max	啊，这真是太舒服了。我能在这个温泉里泡一整天。……啊，你说我没理你？哎呀，恶魔，你真可爱♥
sc063_spa_1	呼……\啊……恶魔先生。\如果我带上日记就好了……
sc063_spa_2	你从哪儿冒出来的，吓死我了。
sc063_spa_3	啊！恶魔先生……你能靠近一点吗？我讲话……声音有点小。但……但我真的很想……跟恶魔先生聊天。
sc063_spa_4	恶魔先生……觉得我……很难相处吗？我想要……多了解恶魔先生……一点。
sc063_spa_max	没有恶魔先生……我会活不下去的。但是……恶魔先生现在却说我是累赘？太过分……太过分了！
sc064_spa_1	一个不会磨剑的剑客\是绝对战胜不了对手的。
sc064_spa_2	你从来没有任何成长的迹象。\真令人失望。
sc064_spa_3	你最好能跟上我的步伐。\我没那么绅士，不会去照顾\落后的人。
sc064_spa_4	你打算让你的弱点拖累你多久？\如果你有足够的野心成为魔王，\那就证明给我看吧！
sc064_spa_5	我从来没听说过有人\靠瞻前顾后来完成任务。\你只需要把注意力\集中在一个问题上：\你想成为谁？
sc064_spa_max	名声不是你的私藏品。\它应该在所有支持你\和与你并肩战斗的人之间分享，\也包括我自己。
sc065_spa_1	啊……要一起来吗，小男孩？
sc065_spa_2	那是新鲜玫瑰的芳香吗？是谁加到温泉里的？喔呵呵呵♥太棒了！♥
sc065_spa_3	你想知道我的魅力来源吗？喔呵呵呵。你是想假装害羞，以此吸引我的注意吗？
sc065_spa_4	为了改变这烦闷的气氛，你应该做点什么。
sc065_spa_max	我对爱情没兴趣。爱情不过是场恶作剧。要是你想体验，我倒是能给你类似的……体验。
sc066_spa_1	这样是不是有点……太没戒心了？
sc066_spa_2	喔，你也在这啊？不介意的话，我想一个人放松一下。
sc066_spa_3	你的魔力虚弱到我完全感觉不到它的存在。如果我是你的话，我会尽可能保持不动，免得把剩下的一点点魔力消耗掉。不过看来你什么都不懂。
sc066_spa_4	我最近迷上了捉弄笨蛋恶魔。他们都超容易被捉弄的。你笑什么？你也是哦。
sc066_spa_max	我会完成自己的工作的，至于其他的，我不想让自己太累。毕竟，我的身体不是很好。懂了？所以请有效地利用我。
sc067_spa_1	我想，有时不去思考死亡也不错。
sc067_spa_2	人生是座监狱。通向自由的钥匙就是……死亡。
sc067_spa_3	你想让我坐在这边浪费时间吗？等什么等？让我们一起来结束这无聊的人生吧。
sc067_spa_4	我的愿望只有一个，那就是死亡。每当我来到这里时，总会有种奇怪的想法，那就是人生除了无尽的折磨外，可能还会有些别的东西。
sc067_spa_5	人生很复杂，而死亡是最后的终点。所以要珍惜自己的生命。
sc067_spa_max	恶魔……Child……我们都理解生与死的关系，但我们最后又都会是孤身一人。那就这样吧。如果你想活下来，那我陪你。
