// key	ITEM_NAME_	ITEM_DESCRIPTION_
1050575	庆野的剪刀	据说，你在镜前把剪刀放在嘴里，\你就能看见你要娶的人。
1050583	提斯柏的发饰	给人留下可爱印象的五彩花朵。
1050584	提斯柏的发饰	给人留下可爱印象的五彩花朵。
1050585	提斯柏的发饰	给人留下可爱印象的五彩花朵。
1050593	暖男的羊角	痴迷文森特的羊角。
1050594	暖男的羊角	痴迷文森特的羊角。
1050595	暖男的羊角	痴迷文森特的羊角。
1050603	莱玛的刺剑	莱玛昔日爱人使用过的武器。
1050604	莱玛的刺剑	莱玛昔日爱人使用过的武器。
1050605	莱玛的刺剑	莱玛昔日爱人使用过的武器。
1050613	寂光宝剑	斩妖除魔，解救众生的破邪显正宝剑。
1050614	寂光宝剑	斩妖除魔，解救众生的破邪显正宝剑。
1050615	寂光宝剑	斩妖除魔，解救众生的破邪显正宝剑。
1050623	战神的圣环	奥弗伊斯使用未知魔法制作的护身符。\她说这会带来必定成功的好运。
1050624	战神的圣环	奥弗伊斯使用未知魔法制作的护身符。\她说这会带来必定成功的好运。
1050625	战神的圣环	奥弗伊斯使用未知魔法制作的护身符。\她说这会带来必定成功的好运。
1050633	雪具	驰骋银色世界的艾修的滑雪板和滑雪杆。
1050634	雪具	驰骋银色世界的艾修的滑雪板和滑雪杆。
1050635	雪具	驰骋银色世界的艾修的滑雪板和滑雪杆。
1050643	月光紫晶之杖	神秘紫晶制成的魔杖。\宝石散发着极度危险的气息。
1050644	月光紫晶之杖	神秘紫晶制成的魔杖。\宝石散发着极度危险的气息。
1050645	月光紫晶之杖	神秘紫晶制成的魔杖。\宝石散发着极度危险的气息。
1050653	骑士的穿刺长枪	君主赐予忠诚骑士的长枪。
1050654	骑士的穿刺长枪	君主赐予忠诚骑士的长枪。
1050655	骑士的穿刺长枪	君主赐予忠诚骑士的长枪。
1050663	帕赫特的巧克力	帕赫特的手作巧克力。\硬得要命。
1050664	帕赫特的巧克力	帕赫特的手作巧克力。\硬得要命。
1050665	帕赫特的巧克力	帕赫特的手作巧克力。\硬得要命。
1050673	可爱缎带	上面挂有铃铛的缎带。\寄宿着只有了解真爱的人才能掌握的神秘力量。
1050674	可爱缎带	上面挂有铃铛的缎带。\寄宿着只有了解真爱的人才能掌握的神秘力量。
1050675	可爱缎带	上面挂有铃铛的缎带。\寄宿着只有了解真爱的人才能掌握的神秘力量。
1050783	帕拉斯之枪	如同帕拉斯身体的一部分那样备受呵护。\保养完善，并发出锐利的光芒。
1050784	帕拉斯之枪	如同帕拉斯身体的一部分那样备受呵护。\保养完善，并发出锐利的光芒。
1050785	帕拉斯之枪	如同帕拉斯身体的一部分那样备受呵护。\保养完善，并发出锐利的光芒。
1050793	薄荷气球	薄荷味气球。\讨厌薄荷味的恶魔们要小心了。
1050794	薄荷气球	薄荷味气球。\讨厌薄荷味的恶魔们要小心了。
1050795	薄荷气球	薄荷味气球。\讨厌薄荷味的恶魔们要小心了。
1050803	塞墨勒的花束	塞墨勒幻想着\与洛基之间永恒爱恋时制作的花束。
1050804	塞墨勒的花束	塞墨勒幻想着\与洛基之间永恒爱恋时制作的花束。
1050805	塞墨勒的花束	塞墨勒幻想着\与洛基之间永恒爱恋时制作的花束。
1050813	激情的麦克风	Evil频道的主持人A.I\最爱的麦克风。
1050814	激情的麦克风	Evil频道的主持人A.I\最爱的麦克风。
1050815	激情的麦克风	Evil频道的主持人A.I\最爱的麦克风。
1050823	魅影吉他	莱佛士在做犯罪预告时所演奏的电吉他。\她的即兴演奏堪称传奇。
1050824	魅影吉他	莱佛士在做犯罪预告时所演奏的电吉他。\她的即兴演奏堪称传奇。
1050825	魅影吉他	莱佛士在做犯罪预告时所演奏的电吉他。\她的即兴演奏堪称传奇。
1050843	钵里的折扇	钵里的折扇
1050844	钵里的折扇	钵里的折扇，能占卜生者的吉凶祸福。
1050845	钵里的折扇	钵里的折扇
1050853	风舞小太刀	绫音的刀，靠快速的一击压制对手。
1050854	风舞小太刀	绫音的刀，靠快速的一击压制对手。
1050855	风舞小太刀	绫音的刀，靠快速的一击压制对手。
1050863	悲伤的白翼	包裹着鲁萨尔卡摇曳思念的翅膀。
1050864	悲伤的白翼	包裹着鲁萨尔卡摇曳思念的翅膀。
1050865	悲伤的白翼	包裹着鲁萨尔卡摇曳思念的翅膀。
1050873	护手	它们可以打破任何拘束。
1050874	护手	它们可以打破任何拘束。
1050875	护手	它们可以打破任何拘束。
1050883	尼尔提的业报	尼尔提\承担的业报。
1050884	尼尔提的业报	尼尔提\承担的业报。
1050885	尼尔提的业报	尼尔提\承担的业报。
1050893	阿摩司岛的棕榈叶	生长在阿摩司岛的棕榈叶。\轻轻划过就足以造成割伤。
1050894	阿摩司岛的棕榈叶	生长在阿摩司岛的棕榈叶。\轻轻划过就足以造成割伤。
1050895	阿摩司岛的棕榈叶	生长在阿摩司岛的棕榈叶。\轻轻划过就足以造成割伤。
1050903	DF1高跟鞋	在正确的人手中，\高跟鞋可以像冰镐一样致命。
1050904	DF1高跟鞋	在正确的人手中，\高跟鞋可以像冰镐一样致命。
1050905	DF1高跟鞋	在正确的人手中，\高跟鞋可以像冰镐一样致命。
1050913	欧洛拉的王冠	让人炫目的发光尖顶王冠。
1050914	欧洛拉的王冠	让人炫目的发光尖顶王冠。
1050915	欧洛拉的王冠	让人炫目的发光尖顶王冠。
1050973	自由之剑	能斩断她一切束缚的强大武器。
1050974	自由之剑	能斩断她一切束缚的强大武器。
1050975	自由之剑	能斩断她一切束缚的强大武器。
1050983	幻灯朱雀靴	能让穿戴者施展犀利腿法的鞋子。
1050984	幻灯朱雀靴	能让穿戴者施展犀利腿法的鞋子。
1050985	幻灯朱雀靴	能让穿戴者施展犀利腿法的鞋子。
1050993	闪光斧	能立刻砍飞怪物的强大武器。
1050994	闪光斧	能立刻砍飞怪物的强大武器。
1050995	闪光斧	能立刻砍飞怪物的强大武器。
1051003	粉碎重锤	用尽全力挥舞这把锤子的话，也许你就能逃离这里。
1051004	粉碎重锤	用尽全力挥舞这把锤子的话，也许你就能逃离这里。
1051005	粉碎重锤	用尽全力挥舞这把锤子的话，也许你就能逃离这里。
1051013	宇宙魔杖	体现使用者逃脱决心的魔杖。
1051014	宇宙魔杖	体现使用者逃脱决心的魔杖。
1051015	宇宙魔杖	体现使用者逃脱决心的魔杖。
1051023	火之枪	让我们逃离这无限轮回的宇宙吧。
1051024	火之枪	让我们逃离这无限轮回的宇宙吧。
1051025	火之枪	让我们逃离这无限轮回的宇宙吧。
1051033	飞翼神剑	能协助你逃离这地狱般宇宙的救赎神剑。
1051034	飞翼神剑	能协助你逃离这地狱般宇宙的救赎神剑。
1051035	飞翼神剑	能协助你逃离这地狱般宇宙的救赎神剑。
1051043	萝丝琳塔之剑	这柄剑只为摧毁敌人而存在。
1051044	萝丝琳塔之剑	这柄剑只为摧毁敌人而存在。
1051045	萝丝琳塔之剑	这柄剑只为摧毁敌人而存在。
1051053	莫娜的扇子	在混乱又颠覆的世界中保护莫娜的武器。\也能在热天里降温。
1051054	莫娜的扇子	在混乱又颠覆的世界中保护莫娜的武器。\也能在热天里降温。
1051055	莫娜的扇子	在混乱又颠覆的世界中保护莫娜的武器。\也能在热天里降温。
1051063	轮回瓦尔哈拉	在阿罗汉生、死和重生轮回中\制作的武器。是她自身哲理的体现。
1051064	轮回瓦尔哈拉	在阿罗汉生、死和重生轮回中\制作的武器。是她自身哲理的体现。
1051065	轮回瓦尔哈拉	在阿罗汉生、死和重生轮回中\制作的武器。是她自身哲理的体现。
1051083	勇气麦克风	一支放大涅普顿♥优美而充满勇气的歌声的麦克风。
1051084	勇气麦克风	一支放大涅普顿♥优美而充满勇气的歌声的麦克风。
1051085	勇气麦克风	一支放大涅普顿♥优美而充满勇气的歌声的麦克风。
1051093	蓝刃军刀	夏娃的剑，战场上的蓝色闪光。
1051094	蓝刃军刀	夏娃的剑，战场上的蓝色闪光。
1051095	蓝刃军刀	夏娃的剑，战场上的蓝色闪光。
1051103	查理曼之剑	布拉达曼特的剑，\用来进行快而深的刺击。
1051104	查理曼之剑	布拉达曼特的剑，\用来进行快而深的刺击。
1051105	查理曼之剑	布拉达曼特的剑，\用来进行快而深的刺击。
1051113	玫瑰榴弹	美丽玫瑰造型的\致命爆裂物。
1051114	玫瑰榴弹	美丽玫瑰造型的\致命爆裂物。
1051115	玫瑰榴弹	美丽玫瑰造型的\致命爆裂物。
1051123	阿提蜜西亚的手套	专为杀戮而特制的手套。
1051124	阿提蜜西亚的手套	专为杀戮而特制的手套。
1051125	阿提蜜西亚的手套	专为杀戮而特制的手套。
1051133	金属腰带	沃丹完全充满魔力的先进武器。\弹匣袋为额外附加。
1051134	金属腰带	沃丹完全充满魔力的先进武器。\弹匣袋为额外附加。
1051135	金属腰带	沃丹完全充满魔力的先进武器。\弹匣袋为额外附加。
1051143	拉西的尾巴	藏有强大力量的\柔软毛绒尾巴。
1051144	拉西的尾巴	藏有强大力量的\柔软毛绒尾巴。
1051145	拉西的尾巴	藏有强大力量的\柔软毛绒尾巴。
1051153	都桂花的护身符	桂花制作的用于\驱散恶灵，并带来平静的护身符。
1051154	都桂花的护身符	桂花制作的用于\驱散恶灵，并带来平静的护身符。
1051155	都桂花的护身符	桂花制作的用于\驱散恶灵，并带来平静的护身符。
1051163	波利亚斯的鞋子	波利亚斯用来将自己速度提升到极限的秘密武器。
1051164	波利亚斯的鞋子	波利亚斯用来将自己速度提升到极限的秘密武器。
1051165	波利亚斯的鞋子	波利亚斯用来将自己速度提升到极限的秘密武器。
1051173	十字架军刀	克雷斯尼克的剑，外型与十字架类似，\用来快速处决吸血鬼。
1051174	十字架军刀	克雷斯尼克的剑，外型与十字架类似，\用来快速处决吸血鬼。
1051175	十字架军刀	克雷斯尼克的剑，外型与十字架类似，\用来快速处决吸血鬼。
1051183	菲罗忒斯的伞	菲罗忒斯能召唤强大雨云的伞。\被打到会很痛。
1051184	菲罗忒斯的伞	菲罗忒斯能召唤强大雨云的伞。\被打到会很痛。
1051185	菲罗忒斯的伞	菲罗忒斯能召唤强大雨云的伞。\被打到会很痛。
1051193	带刺木棒	杜莎的棍棒，缠绕着棘刺\来做出有效率的攻击。
1051194	带刺木棒	杜莎的棍棒，缠绕着棘刺\来做出有效率的攻击。
1051195	带刺木棒	杜莎的棍棒，缠绕着棘刺\来做出有效率的攻击。
11000000	愤怒的_炎龙人偶	用愤怒炎龙之焰制成的人偶。
11000001	冷酷的_冰龙人偶	用冷酷冰龙之冰制成的人偶。
11000002	四分五裂_泰迪人偶	受诅咒的泰迪熊人偶。
11000003	声音_传讯者人偶	会在黑暗中低语的传讯者人偶。
11000004	破坏的_卡利宇迦人偶	完整呈现出卡利宇迦凶残本性的人偶。
11000005	通用型_锁链杀手人偶	有着凶恶本性的锁链杀手人偶仆从。
11000006	沙漠的_巴西利斯克人偶	适应沙漠环境的巴西利斯克人偶。
11000007	绿头盔_巴祖卡人偶	用巴祖卡坚固安全帽制成的人偶。
11000008	毒药_安瓿人偶	会提升盟友力量的安瓿人偶。
11000009	系领结的_侍者人偶	戴着高帽与领结的侍者人偶。
11000010	嗡嗡的_噪音人偶	完全无法调整自己音量的噪音一人偶。
11000011	DJ_赫兹人偶	古典乐粉丝赫兹的人偶。
11000012	恶梦_曼提人偶	以曼提梦魇形态为原型的人偶。
11000013	疯狂兔兔_阿姆斯人偶	以怪物疯狂兔兔为原型的人偶。
11000014	球鞋_斗士人偶	神似斗士铁拳的人偶。
11000015	惊人的_宝箱怪人偶	会守护你最珍贵之物的宝物人偶。
11000016	热血的_封箱者人偶	封箱者的人偶。用被盗的宝物制作而成。
11000017	嘈杂的_毛球毛球人偶	毛球毛球的人偶。用手拔的猫毛制作而成。
11000018	蓝色的_看守者人偶	用新雪寒意制成的看守者人偶。
11000019	红色的_看守者人偶	用无尽地狱火制成的看守者人偶。
11000020	绿色的_看守者人偶	用受诅咒沼泽制成的看守者人偶。
11000021	光明的_看守者人偶	用恶魔之眼制成的看守者人偶。
11000022	暗黑的_看守者人偶	用女巫衣服制成的看守者人偶。
11000023	蓝色的_复仇女孩人偶	注入了复仇者愤怒的蓝色人偶。
11000024	红色的_复仇女孩人偶	注入了复仇者悲伤的红色人偶。
11000025	绿色的_复仇女孩人偶	注入了复仇者怨恨的绿色人偶。
11000026	发光的_复仇女孩人偶	注入了复仇者惩罚的金色人偶。
11000027	紫色的_复仇女孩人偶	注入了复仇者诅咒的紫色人偶。
11000028	水羽的_波隆人偶	诞生于风暴之梦的沙隆人偶。
11000029	红羽的_火隆人偶	诞生于燃烧火柴之梦的火隆人偶。
11000030	绿羽的_草隆人偶	诞生于森林之梦的草隆人偶。
11000031	光羽的_光隆人偶	诞生于月光之梦的光隆人偶。
11000032	黑羽的_暗隆人偶	诞生于暗夜之梦的暗隆人偶。
11000033	冰王_苍龙人偶	在圣水中受洗的苍龙人偶。
11000034	好孩子的_礼物袋人偶	只会吃乖宝宝名单上所记载的小孩的礼物袋人偶。
11000035	_莫娜人偶	以怠惰恶魔调教师莫娜为原型的人偶。
11000036	_丽莎人偶	以能干的超S级魅魔丽莎为原型的人偶。
11000037	_妲比人偶	妲比太可爱了，连她的人偶也超可爱！
11000038	虚张声势的_狄蜜特人偶	以护士狄蜜特为原型的医生游戏人偶。
11000039	服务的_迪诺人偶	意外制作出的迪诺人偶。
11000040	看门犬_库西人偶	象征看门狗斗志的人偶。
11000041	激情的_厄里斯人偶	以冷酷无情厄里斯为原型的人偶。
11000042	觉醒的_辛西亚人偶	以英雄辛西亚为原型的人偶。
11000043	天真的_弗蕾亚人偶	说话结尾带“喵”声的弗蕾亚人偶。
11000044	活跃的_阿莱克托人偶	以究极女仆阿莱克托为原型的完美人偶。
11000045	静谧的_黛安娜人偶	以森林之主黛安娜为原型的人偶。
11000046	怠惰的_缪妮摩西妮人偶	以缪妮摩西妮为原型的人偶。
11000047	恶毒的_卡吕普索人偶	神似最佳约会礼物卡吕普索的人偶。
11000048	守序的_沙玛什人偶	以正义之兔沙玛什为原型的人偶。
11000049	狂言的_比利特人偶	以肤浅牧师为原型的人偶。
11000050	守护的_传奇人偶	传奇的人偶，对自己的主人忠心耿耿。
11000051	牺牲的_贞德人偶	据说会带给恶魔好消息的圣女贞德人偶。
11000052	修复的_卜塔人偶	用修复的卜塔扳手制成的人偶。
11000053	断连的_忒弥斯人偶	修女装忒弥斯的人偶。
11000054	毒舌的_巴里斯人偶	由巴里斯这位评论家认可的巴里斯人偶。
11000055	调味的_高嘉人偶	注入高嘉真诚的人偶。
11000056	热血的_维斯塔人偶	不知恐惧为何物的维斯塔人偶。
11000057	报复的_美狄亚人偶	美狄亚的人偶。它不能说话。
11000058	闪耀的_阿波罗人偶	以舞者阿波罗为原型的人偶。
11000059	求道者_以利亚人偶	充满以利亚哲学的人偶。
11000060	创造的_巴风特人偶	巴风特的人偶。具有未来感和创意感。
11000061	你的_萨耳玛西斯人偶	萨耳玛西斯的人偶。这在玩具店里可找不到。
11000062	名将_吉妮丝人偶	为取得稀世音乐家吉妮丝赞美而制作的人偶。
11000063	战士_瓦尔基里人偶	瓦尔基里的人偶。真正的战士会随身带着它的！
11000064	夜下少女_修普诺斯人偶	从修普诺斯的幻象世界中带回来的人偶。
11000065	暗夜祭_梅迪人偶	顶级之选！女巫必买的人偶。
11000066	捕捉的_克拉托斯人偶	绝对是逃狱而出的克拉托斯人偶。如果看到她的话，请报警。
11000067	破坏的_塞赫麦特人偶	塞赫麦特的人偶。
11000068	灼热的_派罗人偶	行动派男子派罗随身携带的人偶。
