// key	ITEM_NAME_	ITEM_DESCRIPTION_
10000101	เส้นผมที่สาบสูญ	เส้นผมทุกเส้นทุกส่วนมีร่องรอยของจิตวิญญาณอยู่ในนั้น
1030115	โยโย่	พาสุนัขไปเดินเล่น! ทั่วโลก! เกมพันด้าย! เดี๋ยวๆ อันสุดท้ายอะไรน่ะ
1040143	ลูกดอกความเร็วสูง	ดัดแปลงให้ร่อนได้ตรงและแม่นยำกว่าลูกดอกทั้งหมดที่เคยมีมาก่อน...\แต่ก็เป็นแค่ลูกดอกธรรมดาๆ
1040144	ลูกดอกความเร็วสูง	ดัดแปลงให้ร่อนได้ตรงและแม่นยำกว่าลูกดอกทั้งหมดที่เคยมีมาก่อน...\แต่ก็เป็นแค่ลูกดอกธรรมดาๆ
1040145	ลูกดอกความเร็วสูง	ดัดแปลงให้ร่อนได้ตรงและแม่นยำกว่าลูกดอกทั้งหมดที่เคยมีมาก่อน...\แต่ก็เป็นแค่ลูกดอกธรรมดาๆ
1040153	คทาเวทมนตร์	กดเพื่อฉีดละอองเกสร\หากอยู่ในมือคนไม่ดี มันจะเป็นอาวุธที่อันตรายอย่างมาก
1040154	คทาเวทมนตร์	กดเพื่อฉีดละอองเกสร\หากอยู่ในมือคนไม่ดี มันจะเป็นอาวุธที่อันตรายอย่างมาก
1040155	คทาเวทมนตร์	กดเพื่อฉีดละอองเกสร\หากอยู่ในมือคนไม่ดี มันจะเป็นอาวุธที่อันตรายอย่างมาก
1040163	มินิ บาซูกา	เหมือนบาซูก้า แต่เล็กกว่า\ยังคงมีการเถียงถึงสิทธิ์การครอบครองมันในเชิงกฎหมาย
1040164	มินิ บาซูกา	เหมือนบาซูก้า แต่เล็กกว่า\ยังคงมีการเถียงถึงสิทธิ์การครอบครองมันในเชิงกฎหมาย
1040165	มินิ บาซูกา	เหมือนบาซูก้า แต่เล็กกว่า\ยังคงมีการเถียงถึงสิทธิ์การครอบครองมันในเชิงกฎหมาย
1040173	สัญลักษณ์หยุด	สัญลักษณ์หยุดของปลอมที่เหมือนของจริงทุกอย่าง\ผลิตจากเหล็กกล้าเพื่อเสริมอำนาจการหยุดยั้ง
1040174	สัญลักษณ์หยุด	สัญลักษณ์หยุดของปลอมที่เหมือนของจริงทุกอย่าง\ผลิตจากเหล็กกล้าเพื่อเสริมอำนาจการหยุดยั้ง
1040175	สัญลักษณ์หยุด	สัญลักษณ์หยุดของปลอมที่เหมือนของจริงทุกอย่าง\ผลิตจากเหล็กกล้าเพื่อเสริมอำนาจการหยุดยั้ง
1050193	ขวาน	อาวุธที่ใช้งานได้จริง สามารถตัดได้ไม่ว่าจะมนุษย์หรือปีศาจ\จำเป็นสำหรับการก่อกองไฟ
1050194	ขวาน	อาวุธที่ใช้งานได้จริง สามารถตัดได้ไม่ว่าจะมนุษย์หรือปีศาจ\จำเป็นสำหรับการก่อกองไฟ
1050195	ขวาน	อาวุธที่ใช้งานได้จริง สามารถตัดได้ไม่ว่าจะมนุษย์หรือปีศาจ\จำเป็นสำหรับการก่อกองไฟ
1050203	ง้าว	ทุกอย่างตั้งแต่ด้ามจนถึงคมขวานได้รับการสร้างขึ้นอย่างประณีต\อาจต้องใช้เวลาฝึกฝนเพื่อใช้งาน
1050204	ง้าว	ทุกอย่างตั้งแต่ด้ามจนถึงคมขวานได้รับการสร้างขึ้นอย่างประณีต\อาจต้องใช้เวลาฝึกฝนเพื่อใช้งาน
1050205	ง้าว	ทุกอย่างตั้งแต่ด้ามจนถึงคมขวานได้รับการสร้างขึ้นอย่างประณีต\อาจต้องใช้เวลาฝึกฝนเพื่อใช้งาน
1050213	ดาบปลอม	อาวุธที่ชายชราเคราเฟิ้มและสาวน้อยน่ารักชอบใช้\ถึงไม่มีใบมีด แต่ก็เหมือนจริงจนน่าตกใจ จึงได้รับความนิยมนำไปใช้เป็นพร็อพแต่งคอสเพลย์
1050214	ดาบปลอม	อาวุธที่ชายชราเคราเฟิ้มและสาวน้อยน่ารักชอบใช้\ถึงไม่มีใบมีด แต่ก็เหมือนจริงจนน่าตกใจ จึงได้รับความนิยมนำไปใช้เป็นพร็อพแต่งคอสเพลย์
1050215	ดาบปลอม	อาวุธที่ชายชราเคราเฟิ้มและสาวน้อยน่ารักชอบใช้\ถึงไม่มีใบมีด แต่ก็เหมือนจริงจนน่าตกใจ จึงได้รับความนิยมนำไปใช้เป็นพร็อพแต่งคอสเพลย์
1050223	กระบองสองท่อน	อะโจ๊ว~! อาวุธที่ยอดเยี่ยมสุดน่าเกรงขาม!\ระวังอย่าตีโดนหน้าตัวเองล่ะ
1050224	กระบองสองท่อน	อะโจ๊ว~! อาวุธที่ยอดเยี่ยมสุดน่าเกรงขาม!\ระวังอย่าตีโดนหน้าตัวเองล่ะ
1050225	กระบองสองท่อน	อะโจ๊ว~! อาวุธที่ยอดเยี่ยมสุดน่าเกรงขาม!\ระวังอย่าตีโดนหน้าตัวเองล่ะ
1050303	ไม้กวาดน่ารัก	เหมาะสำหรับบ้านแฟนซี\ใช้กวาดได้แต่ไม่ค่อยดี
1050304	ไม้กวาดน่ารัก	เหมาะสำหรับบ้านแฟนซี\ใช้กวาดได้แต่ไม่ค่อยดี
1050305	ไม้กวาดน่ารัก	เหมาะสำหรับบ้านแฟนซี\ใช้กวาดได้แต่ไม่ค่อยดี
1050313	มีดสั้นของมิโกะ	มีดสั้นที่มิโกะพกไว้เพื่อป้องกันตัวเอง\ใบมีดอาจจะดูเล็ก แต่ถ้าใช้เป็นเครื่องประดับก็ออกจะใหญ่โตเทอะทะไปหน่อย
1050314	มีดสั้นของมิโกะ	มีดสั้นที่มิโกะพกไว้เพื่อป้องกันตัวเอง\ใบมีดอาจจะดูเล็ก แต่ถ้าใช้เป็นเครื่องประดับก็ออกจะใหญ่โตเทอะทะไปหน่อย
1050315	มีดสั้นของมิโกะ	มีดสั้นที่มิโกะพกไว้เพื่อป้องกันตัวเอง\ใบมีดอาจจะดูเล็ก แต่ถ้าใช้เป็นเครื่องประดับก็ออกจะใหญ่โตเทอะทะไปหน่อย
1050333	กระติกจำเป็น	กระติกลึกลับที่มีสารประกอบลึกลับ\ไม่สามารถสร้างขึ้นใหม่ได้เพราะวิธีสร้างได้สูญหายไป
1050334	กระติกจำเป็น	กระติกลึกลับที่มีสารประกอบลึกลับ\ไม่สามารถสร้างขึ้นใหม่ได้เพราะวิธีสร้างได้สูญหายไป
1050335	กระติกจำเป็น	กระติกลึกลับที่มีสารประกอบลึกลับ\ไม่สามารถสร้างขึ้นใหม่ได้เพราะวิธีสร้างได้สูญหายไป
1050343	อมยิ้มไม้เท้าของซานต้า	อมยิ้มรูปไม้เท้า\ขอให้ปีศาจตัวน้อยผู้อ่อนโยนมีความสุข
1050344	อมยิ้มไม้เท้าของซานต้า	อมยิ้มรูปไม้เท้า\ขอให้ปีศาจตัวน้อยผู้อ่อนโยนมีความสุข
1050345	อมยิ้มไม้เท้าของซานต้า	อมยิ้มรูปไม้เท้า\ขอให้ปีศาจตัวน้อยผู้อ่อนโยนมีความสุข
1050363	หอกแห่งการลงโทษศักดิ์สิทธิ์	หอกศักดิ์สิทธิ์ที่เกิดมาจากส่วนหนึ่งของวิญญาณมาอัต\ปลายแหลมของมันอาจชี้ไปหาคุณ
1050364	หอกแห่งการลงโทษศักดิ์สิทธิ์	หอกศักดิ์สิทธิ์ที่เกิดมาจากส่วนหนึ่งของวิญญาณมาอัต\ปลายแหลมของมันอาจชี้ไปหาคุณ
1050365	หอกแห่งการลงโทษศักดิ์สิทธิ์	หอกศักดิ์สิทธิ์ที่เกิดมาจากส่วนหนึ่งของวิญญาณมาอัต\ปลายแหลมของมันอาจชี้ไปหาคุณ
1050373	ดอกไม้ปีศาจ	ดาบรูปทรงแปลกประหลาดที่ดัดแปลงให้กับแอชทอเรธโดยเฉพาะ\เมื่อเข้าไปแล้วจะไม่สามารถนำออกมาได้ง่ายๆ
1050374	ดอกไม้ปีศาจ	ดาบรูปทรงแปลกประหลาดที่ดัดแปลงให้กับแอชทอเรธโดยเฉพาะ\เมื่อเข้าไปแล้วจะไม่สามารถนำออกมาได้ง่ายๆ
1050375	ดอกไม้ปีศาจ	ดาบรูปทรงแปลกประหลาดที่ดัดแปลงให้กับแอชทอเรธโดยเฉพาะ\เมื่อเข้าไปแล้วจะไม่สามารถนำออกมาได้ง่ายๆ
1050383	เข็มฉีดยาของดีมีเทอร์	อารมณ์โกรธสร้างพลัง\เข็มฉีดยาที่เต็มไปด้วยความโกรธของดีมีเทอร์
1050384	เข็มฉีดยาของดีมีเทอร์	อารมณ์โกรธสร้างพลัง\เข็มฉีดยาที่เต็มไปด้วยความโกรธของดีมีเทอร์
1050385	เข็มฉีดยาของดีมีเทอร์	อารมณ์โกรธสร้างพลัง\เข็มฉีดยาที่เต็มไปด้วยความโกรธของดีมีเทอร์
1050413	ช่อดอกไม้ทรงกลม	ช่อดอกไม้ที่ทำจากดอกไม้แห้ง\คำสาบานชั่วนิรันดร์ที่ไม่มีวันเหี่ยวแห้ง
1050414	ช่อดอกไม้ทรงกลม	ช่อดอกไม้ที่ทำจากดอกไม้แห้ง\คำสาบานชั่วนิรันดร์ที่ไม่มีวันเหี่ยวแห้ง
1050415	ช่อดอกไม้ทรงกลม	ช่อดอกไม้ที่ทำจากดอกไม้แห้ง\คำสาบานชั่วนิรันดร์ที่ไม่มีวันเหี่ยวแห้ง
1050423	วอลเลย์บอล	ลูกวอลเลย์บอลชายหาดของทริสตัน มีความยืดหยุ่นและความทนทานเป็นพิเศษ
1050424	วอลเลย์บอล	ลูกวอลเลย์บอลชายหาดของทริสตัน มีความยืดหยุ่นและความทนทานเป็นพิเศษ
1050425	วอลเลย์บอล	ลูกวอลเลย์บอลชายหาดของทริสตัน มีความยืดหยุ่นและความทนทานเป็นพิเศษ
1050433	กุหลาบเหล็ก	อัญมณีที่หดและโตได้ด้วยพลังเวทมนตร์ของบริจิด\ไม่มีดอกกุหลาบอยู่ข้างในนั้น
1050434	กุหลาบเหล็ก	อัญมณีที่หดและโตได้ด้วยพลังเวทมนตร์ของบริจิด\ไม่มีดอกกุหลาบอยู่ข้างในนั้น
1050435	กุหลาบเหล็ก	อัญมณีที่หดและโตได้ด้วยพลังเวทมนตร์ของบริจิด\ไม่มีดอกกุหลาบอยู่ข้างในนั้น
1050443	จอกสไตเจียน	จอกสไตเจียนที่กุมชะตากรรมของริต้า หลักฐานของพวกคลั่งศาสนา
1050444	จอกสไตเจียน	จอกสไตเจียนที่กุมชะตากรรมของริต้า หลักฐานของพวกคลั่งศาสนา
1050445	จอกสไตเจียน	จอกสไตเจียนที่กุมชะตากรรมของริต้า หลักฐานของพวกคลั่งศาสนา
1050453	ปีกแห่งความอ้างว้าง	ปีกที่มีพลังเวทมนตร์อันน่าสงสัย
1050454	ปีกแห่งความอ้างว้าง	ปีกที่มีพลังเวทมนตร์อันน่าสงสัย
1050455	ปีกแห่งความอ้างว้าง	ปีกที่มีพลังเวทมนตร์อันน่าสงสัย
1050463	ร่มกอทิก	ร่มกอทิกของบาโทรี\สามารถป้องกันรังสียูวีได้ด้วย มีกลิ่นหอมอ่อนๆ ของกุหลาบอบแห้ง
1050464	ร่มกอทิก	ร่มกอทิกของบาโทรี\สามารถป้องกันรังสียูวีได้ด้วย มีกลิ่นหอมอ่อนๆ ของกุหลาบอบแห้ง
1050465	ร่มกอทิก	ร่มกอทิกของบาโทรี\สามารถป้องกันรังสียูวีได้ด้วย มีกลิ่นหอมอ่อนๆ ของกุหลาบอบแห้ง
1050473	ไมค์เพชร	ไมค์สัมภาษณ์พิเศษของนาตาลิส\ทุกคนอดไม่ได้จะต้องสารภาพความลับของตนต่อหน้าไมค์นี้
1050474	ไมค์เพชร	ไมค์สัมภาษณ์พิเศษของนาตาลิส\ทุกคนอดไม่ได้จะต้องสารภาพความลับของตนต่อหน้าไมค์นี้
1050475	ไมค์เพชร	ไมค์สัมภาษณ์พิเศษของนาตาลิส\ทุกคนอดไม่ได้จะต้องสารภาพความลับของตนต่อหน้าไมค์นี้
1050483	แท่งไฟพลาป้า	แท่งไฟรุ่นลิมิตเต็ดจากแฟนคลับของแพลนเนตปาร์ตี้\ของที่ขาดไม่ได้เพื่อความสนุกสนานที่คอนเสิร์ต
1050484	แท่งไฟพลาป้า	แท่งไฟรุ่นลิมิตเต็ดจากแฟนคลับของแพลนเนตปาร์ตี้\ของที่ขาดไม่ได้เพื่อความสนุกสนานที่คอนเสิร์ต
1050485	แท่งไฟพลาป้า	แท่งไฟรุ่นลิมิตเต็ดจากแฟนคลับของแพลนเนตปาร์ตี้\ของที่ขาดไม่ได้เพื่อความสนุกสนานที่คอนเสิร์ต
1050493	ของเล่นปีใหม่ เชกี	โดยทั่วไปใช้ในกีฬาฤดูหนาว\เคยถูกคิดว่าเป็นต้นเหตุทำให้กระดูกรูปเรือแตกหัก
1050494	ของเล่นปีใหม่ เชกี	โดยทั่วไปใช้ในกีฬาฤดูหนาว\เคยถูกคิดว่าเป็นต้นเหตุทำให้กระดูกรูปเรือแตกหัก
1050495	ของเล่นปีใหม่ เชกี	โดยทั่วไปใช้ในกีฬาฤดูหนาว\เคยถูกคิดว่าเป็นต้นเหตุทำให้กระดูกรูปเรือแตกหัก
1050503	ไม้คทาของดาน่า	ไม้เท้าที่ดาน่าใช้นำทางแกะหลงทาง
1050504	ไม้คทาของดาน่า	ไม้เท้าที่ดาน่าใช้นำทางแกะหลงทาง
1050505	ไม้คทาของดาน่า	ไม้เท้าที่ดาน่าใช้นำทางแกะหลงทาง
1050523	เดวิรอยด์ VI	กล่องเวทมนตร์ทันใจซึ่งเก็บบันทึกความจริงไว้มากมาย
1050524	เดวิรอยด์ VI	กล่องเวทมนตร์ทันใจซึ่งเก็บบันทึกความจริงไว้มากมาย
1050525	เดวิรอยด์ VI	กล่องเวทมนตร์ทันใจซึ่งเก็บบันทึกความจริงไว้มากมาย
1050533	ตรีศูลของลิมอส	ตรีศูลสั้นแบบพิเศษของลิมอสที่เสียบโดนัทได้\ด้วยความแม่นยำและความเร็วที่น่ากลัว สามารถขยายขนาดใหญ่สองเท่าใช้เป็นส้อมได้
1050534	ตรีศูลของลิมอส	ตรีศูลสั้นแบบพิเศษของลิมอสที่เสียบโดนัทได้\ด้วยความแม่นยำและความเร็วที่น่ากลัว สามารถขยายขนาดใหญ่สองเท่าใช้เป็นส้อมได้
1050535	ตรีศูลของลิมอส	ตรีศูลสั้นแบบพิเศษของลิมอสที่เสียบโดนัทได้\ด้วยความแม่นยำและความเร็วที่น่ากลัว สามารถขยายขนาดใหญ่สองเท่าใช้เป็นส้อมได้
1050543	ปืนเวทมนตร์: โบลเวิร์ก	น็อกซ์เน็กโทเรสของโนเอล\สำหรับใช้โจมตีสถานที่ใดก็ได้ที่เธอต้องการ\ไม่ว่าจะมีกำแพงกั้นขวางกี่ชั้นก็ตาม
1050544	ปืนเวทมนตร์: โบลเวิร์ก	น็อกซ์เน็กโทเรสของโนเอล\สำหรับใช้โจมตีสถานที่ใดก็ได้ที่เธอต้องการ\ไม่ว่าจะมีกำแพงกั้นขวางกี่ชั้นก็ตาม
1050545	ปืนเวทมนตร์: โบลเวิร์ก	น็อกซ์เน็กโทเรสของโนเอล\สำหรับใช้โจมตีสถานที่ใดก็ได้ที่เธอต้องการ\ไม่ว่าจะมีกำแพงกั้นขวางกี่ชั้นก็ตาม
1050553	ไม้เท้าของเคน	เจ้าหน้าที่ที่เป็นตัวแทนของอำนาจศักดิ์สิทธิ์
1050554	ไม้เท้าของเคน	เจ้าหน้าที่ที่เป็นตัวแทนของอำนาจศักดิ์สิทธิ์
1050555	ไม้เท้าของเคน	เจ้าหน้าที่ที่เป็นตัวแทนของอำนาจศักดิ์สิทธิ์
1050563	ปืนฉีดน้ำในตำนาน	ปืนฉีดน้ำทรงพลัง\ปืนนี้ชื่อว่ามังกรพ่นน้ำ
1050564	ปืนฉีดน้ำในตำนาน	ปืนฉีดน้ำทรงพลัง\ปืนนี้ชื่อว่ามังกรพ่นน้ำ
1050565	ปืนฉีดน้ำในตำนาน	ปืนฉีดน้ำทรงพลัง\ปืนนี้ชื่อว่ามังกรพ่นน้ำ
1050573	กรรไกรของเคอิโนะ	ว่ากันว่า ถ้าเจ้าคาบกรรไกรไว้ในปากแล้วส่องกระจก\เจ้าจะได้เห็นคนที่เจ้าจะแต่งงานด้วย
1050574	กรรไกรของเคอิโนะ	ว่ากันว่า ถ้าเจ้าคาบกรรไกรไว้ในปากแล้วส่องกระจก\เจ้าจะได้เห็นคนที่เจ้าจะแต่งงานด้วย
1050575	กรรไกรของเคอิโนะ	ว่ากันว่า ถ้าเจ้าคาบกรรไกรไว้ในปากแล้วส่องกระจก\เจ้าจะได้เห็นคนที่เจ้าจะแต่งงานด้วย
1050583	เครื่องประดับผมของธีสเบ	ดอกไม้หลากสีให้ความรู้สึกดีๆ
1050584	เครื่องประดับผมของธีสเบ	ดอกไม้หลากสีให้ความรู้สึกดีๆ
1050585	เครื่องประดับผมของธีสเบ	ดอกไม้หลากสีให้ความรู้สึกดีๆ
1050593	เขาแกะของผู้ชายอ้อนแอ้น	เขาแกะของวินเซนต์ผู้ลุ่มหลง
1050594	เขาแกะของผู้ชายอ้อนแอ้น	เขาแกะของวินเซนต์ผู้ลุ่มหลง
1050595	เขาแกะของผู้ชายอ้อนแอ้น	เขาแกะของวินเซนต์ผู้ลุ่มหลง
1050603	กระบี่ของไลมา	อาวุธของชายที่ไลมาเคยหลงรัก
1050604	กระบี่ของไลมา	อาวุธของชายที่ไลมาเคยหลงรัก
1050605	กระบี่ของไลมา	อาวุธของชายที่ไลมาเคยหลงรัก
1050613	ดาบล้ำค่าแห่งนิพพาน	ดาบล้ำค่าที่ทำลายความชั่วร้ายและเผยแพร่ความเที่ยงธรรม ซึ่งจะฟันปีศาจและช่วยเหลือมวลมนุษย์
1050614	ดาบล้ำค่าแห่งนิพพาน	ดาบล้ำค่าที่ทำลายความชั่วร้ายและเผยแพร่ความเที่ยงธรรม ซึ่งจะฟันปีศาจและช่วยเหลือมวลมนุษย์
1050615	ดาบล้ำค่าแห่งนิพพาน	ดาบล้ำค่าที่ทำลายความชั่วร้ายและเผยแพร่ความเที่ยงธรรม ซึ่งจะฟันปีศาจและช่วยเหลือมวลมนุษย์
1050623	แหวนศักดิ์สิทธิ์ของเทพเจ้าแห่งสงคราม	เครื่องรางที่โอโฟอิสสร้างขึ้นด้วยเวทมนตร์ลี้ลับ\นางบอกว่ามันเป็นของนำโชคซึ่งรับประกันความสำเร็จ
1050624	แหวนศักดิ์สิทธิ์ของเทพเจ้าแห่งสงคราม	เครื่องรางที่โอโฟอิสสร้างขึ้นด้วยเวทมนตร์ลี้ลับ\นางบอกว่ามันเป็นของนำโชคซึ่งรับประกันความสำเร็จ
1050625	แหวนศักดิ์สิทธิ์ของเทพเจ้าแห่งสงคราม	เครื่องรางที่โอโฟอิสสร้างขึ้นด้วยเวทมนตร์ลี้ลับ\นางบอกว่ามันเป็นของนำโชคซึ่งรับประกันความสำเร็จ
1050633	ชุดสกี	ชุดสกีและไม้สกีสำหรับเอชูผู้โลดแล่นไปตามเนินหิมะ
1050634	ชุดสกี	ชุดสกีและไม้สกีสำหรับเอชูผู้โลดแล่นไปตามเนินหิมะ
1050635	ชุดสกี	ชุดสกีและไม้สกีสำหรับเอชูผู้โลดแล่นไปตามเนินหิมะ
1050643	คทาอเมทิสต์แสงจันทร์	คทาเวทมนตร์ประดับด้วยอเมทิสต์ที่ดูลึกลับ\อัญมณีนี้ถูกล้อมรอบด้วยกลิ่นอายอันตรายและบ้าคลั่ง
1050644	คทาอเมทิสต์แสงจันทร์	คทาเวทมนตร์ประดับด้วยอเมทิสต์ที่ดูลึกลับ\อัญมณีนี้ถูกล้อมรอบด้วยกลิ่นอายอันตรายและบ้าคลั่ง
1050645	คทาอเมทิสต์แสงจันทร์	คทาเวทมนตร์ประดับด้วยอเมทิสต์ที่ดูลึกลับ\อัญมณีนี้ถูกล้อมรอบด้วยกลิ่นอายอันตรายและบ้าคลั่ง
1050653	หอกแทงทะลวงของอัศวิน	หอกที่อัศวินผู้ภักดีได้รับจากมาสเตอร์
1050654	หอกแทงทะลวงของอัศวิน	หอกที่อัศวินผู้ภักดีได้รับจากมาสเตอร์
1050655	หอกแทงทะลวงของอัศวิน	หอกที่อัศวินผู้ภักดีได้รับจากมาสเตอร์
1050663	ช็อกโกแลตของพาคเฮ็ต	ช็อกโกแลตที่พาคเฮ็ตทำเอง\ซึ่งแข็งมากๆ
1050664	ช็อกโกแลตของพาคเฮ็ต	ช็อกโกแลตที่พาคเฮ็ตทำเอง\ซึ่งแข็งมากๆ
1050665	ช็อกโกแลตของพาคเฮ็ต	ช็อกโกแลตที่พาคเฮ็ตทำเอง\ซึ่งแข็งมากๆ
1050673	โบว์สุดน่ารัก	โบว์ที่มีกระดิ่งติดอยู่\ซึ่งจะมอบพลังลึกลับให้ผู้ที่รู้จักความรักที่แท้จริงเท่านั้น
