// key	BACKGROUND_IMAGE_NAME_	BACKGROUND_IMAGE_DESCRIPTION_
2148	บ้านผีสิง	ว่ากันว่าบ้านร้างหลังนี้มีผีสิงอยู่
2151	สะพานคนเดิน	สะพานสูงชันที่ทดสอบความแข็งแรงของเข่า
2152	ปั๊มน้ำมันตอนดึก	ปั๊มน้ำมันแบบบริการตัวเองที่เปิดตลอดทั้งคืน
2153	ถนนซากุระ	ถนนที่สองข้างทางขนาบด้วยต้นซากุระ
2154	สะพานซากุระ	ทิวทัศน์ฤดูใบไม้ผลิที่ต้นซากุระออกดอกงดงาม
2155	ร้านค้าบ่อน้ำร้อน	ร้านค้าที่อ้างว่าเป็นเจ้าของบ่อน้ำร้อนธรรมชาติที่ดีต่อปีศาจ
2157	วิหารเก่า	วิหารเก่าที่กระเบื้องบนหลังคาค่อยๆ ไล่ระดับชี้สู่ท้องฟ้า
2158	รางรถไฟใต้ดิน	เครือข่ายรางรถไฟในอุโมงค์ใต้ดินที่ปีศาจเข้ายึดครอง
2159	นิคมใต้ดิน	อาจพบเสบียงสำหรับชั้นใต้ดินที่นี่
2160	ต้นไม้ในวิทยาลัย	สถานที่พักผ่อนภายใต้ร่มไม้
2161	สถานีตำรวจ	ถ้าเห็นอะไรไม่ชอบมาพากล โทรหา 191
2164	ห้องของโมนา	ห้องที่ตกแต่งอย่างฉูดฉาดที่โมนาสร้างขึ้นในที่ประมาณรังหนูโดยไม่ได้ขออนุญาต
2175	สะพานแห่งชีวิต	อย่าให้ชื่อของมันหลอกคุณได้ แท้จริงแล้วที่นี่คือสนามรบนองเลือด
2176	บาร์รีเพลย์	แอลกอฮอล์ช่วยให้ลืม แต่สถานที่นี้กลับตรงกันข้าม
2177	อุโมงค์คนเดินตอนเที่ยงคืน	ที่นี่มีปีศาจสัญจรไปมามากมายอย่างที่คาดกันไว้
2178	สวนสาธารณะตอนกลางคืน	สวนสาธารณะตอนกลางคืนในยามที่ดวงจันทร์เพิ่งเริ่มส่องแสง
2179	ศูนย์สันทนาการ	ศูนย์นันทนาการ สถานที่พิเศษสำหรับคอกีฬาจากทุกสารทิศ
2180	ดันเจี้ยนสีทอง	สถานที่ที่ลอร์ดแมมมอนมักเดินทางผ่าน
2181	ห้องคาราโอเกะ	ห้องคาราโอเกะที่ตั้งอยู่ในร้านเกม
2182	โอเบลิสก์แห่งท้องฟ้า	สิ่งก่อสร้างประหลาดที่ปรากฏขึ้นในเมือง
2183	โอเบลิสก์ปรากฏ	หอคอยลึกลับขนาดยักษ์ที่เหล่าปีศาจโบราณเฝ้าคอย
2184	โอเบลิสก์ล่มสลาย	โอเบลิสก์กลายเป็นซากปรักหักพัง แต่ลูกสมุนของปีศาจวางแผนจะบูรณะมัน
2185	พีระมิดของคลีโอพัตรา	พีระมิดภายในโอเบลิสก์ซับซ้อนที่ถูกสร้างขึ้นใหม่ด้วยเวทมนตร์
2186	ภาพเฟรสโกของไมเคิลแองเจโล	ด้านในของโบสถ์น้อยซิสทีนที่จำลองขึ้นด้วยเวทมนตร์
2187	โถงทางเดินของไมเคิลแองเจโล	รอการยืนยัน
2188	โลกปีศาจ	เมืองหลวงของโลกปีศาจ ที่ซึ่งความวุ่นวายไหลรินดุจแม่น้ำ
2189	สวนสนุกฮัลโลวีน	ทิวทัศน์รอบสวนสนุกธีมฮัลโลวีน
2196	ดันเจี้ยนสีเขียว	สถานที่ว่างเปล่าในหัวใจที่ออร่าสีเขียวไหลเวียน
2197	ดันเจี้ยนสีแดง	สถานที่ว่างเปล่าในหัวใจที่ออร่าสีแดงไหลเวียน
2198	ดันเจี้ยนความมืด	สถานที่ว่างเปล่าในหัวใจที่ออร่าสีเทาไหลเวียน
2199	ดันเจี้ยนแสง	สถานที่ว่างเปล่าในหัวใจที่ออร่าสีม่วงไหลเวียน
2200	ดันเจี้ยนสีน้ำเงิน	สถานที่ว่างเปล่าในหัวใจที่ออร่าสีน้ำเงินไหลเวียน
2201	วงกตแห่งการจุติ	แล็บพลังงานต้นแบบปีศาจ แผนกศึกชิงบัลลังก์ราชาปีศาจ โลกรัตติกาล
2203	ถนนคริสต์มาส	เบเกอรี่ที่รูดอล์ฟทำงานพาร์ทไทม์อยู่
2204	ห้างสรรพสินค้าคริสต์มาส	ห้างสรรพสินค้าที่ตกแต่งรับเทศกาลคริสต์มาส
2205	สวนสาธารณะคริสต์มาส	สวนสนุกที่กำลังมีขบวนพาเหรดคริสต์มาส
2222	บริษัทกฎหมาย	พยายามเปิดใจและระบายความกังวลของเจ้าออกมา
2224	เซนต์ไมเคิลในยามค่ำคืน	ค่ำคืนอันศักดิ์สิทธิ์...แต่ยังคงมีแผนการชั่วร้ายรอคอยอยู่
2240	เวทีแสดงของดีว่า ♪	การแสดงสดของดีว่าที่มีแฟนคลับคอยส่งเสียงเชียร์
2241	ย่านกลางเมืองใหม่ตอนกลางวัน	ย่านกลางเมือนช่วงกลางวัน มีตึกที่กำลังก่อสร้างมากกว่าผู้คนเสียอีก
2242	ย่านกลางเมืองใหม่ตอนกลางคืน	ย่านกลางเมืองตอนกลางคืนที่มืดมากจนแยกมนุษย์กับปีศาจไม่ออก
2264	ยามอรุณรุ่ง	ผ่านไปอีกปีมาที่นี่อีกครั้ง อยู่ด้วยกันยามอรุณรุ่ง...
2267	สมาคมเอ็กโซซิสต์	ขอเอ็กโซซิสต์ทุกคนจงพักผ่อน
2268	สมาคมเอ็กโซซิสต์ในซากปรักหักพัง	ความลึกลับที่ซ่อนอยู่ในซากปรักหักพัง
2269	ชานเมืองสมาคมเอ็กโซซิสต์	พลังของปีศาจที่ปลุกปั่นเอ็กโซซิสต์ให้บ้าคลั่งยังหลงเหลืออยู่ในอากาศ
2289	ทุ่งยามราตรี	ราตรีมาเยือนทุ่งกว้างพร้อมสายลมอ่อนๆ
2296	พลุวันคริสต์มาส	การแสดงพลุที่สวยงามเพื่อเฉลิมฉลองวันคริสต์มาส
2297	จักรวาลของโลกิ	จักรวาลที่โลกิสร้างขึ้นซึ่งอาจจะมีหรือไม่มีอยู่จริง
2300	คาเฟ่รูฟท็อป	ดาดฟ้าที่เจ้าจะสามารถมองเห็นพระอาทิตย์ตกดินได้
2301	โลกจากอวกาศ	โลกเมื่อมองจากอวกาศ ดวงจันทร์ที่มองเห็นอยู่ใต้เท้า
2302	งานแสดงดอกไม้ไฟปีใหม่	พลุสำหรับฉลองการเริ่มต้นใหม่
2303	โรงงานตุ๊กตา	การทดลองสำเร็จแล้ว\ไปพาเพื่อนของเจ้ามา
2304	ทะเลสาบท้องฟ้า	ทะเลสาบสะท้อนเงาท้องฟ้าสีครามข้างบน\ช่างเป็นภาพที่สงบสุข
2305	ทะเลสาบท้องฟ้ายามราตรี	ทะเลสาบสะท้อนเงาท้องฟ้ายามราตรีที่พร่างพราวด้วยดวงดาวข้างบน
2306	แล็บของออร์คัส	แล็บวิจัยของออร์คัส นักวิทยาศาสตร์ผู้ชำแหละดวงวิญญาณ
2307	ห้องโถงพิพิธภัณฑ์เมโทรซิตี้	มีการติดตั้งอุปกรณ์รักษาความปลอดภัยมากมายซ่อนไว้\เพื่อป้องกันขโมย
2308	เขาวงกตรีเบิร์ธที่ถูกทำลาย	เจ้าเลือกทางผิด\เลิกคิดถึงเรื่องเจรจาไปได้เลย
2309	พิพิธภัณฑ์เมโทรซิตี้	พิพิธภัณฑ์ในเมืองนิวยอร์ก\ที่นี่เป็นสถานที่เก็บและจัดแสดงสิ่งที่น่าสนใจมากมายทางด้านศิลปะ วัฒนธรรมและประวัติศาสตร์
2310	ฐานของจอมโจร	ฐานของ PHAN+IC\ถูกซ่อนไว้ในที่ที่คนหาไม่พบ
2311	อาณาเขตจักรวาลของพระอรหันต์	พื้นที่เสมือนซึ่งมีแต่เอ็กโซซิสต์จำนวนแค่หยิบมือเท่านั้นที่สามารถสร้างมันขึ้นมาได้
2312	ลานของโรงเรียนสตรีเซนต์ไมเคิลในเมฆฝุ่น	รู้สึกได้ถึงพลังปีศาจในโรงเรียนสอนศาสนาแห่งนี้
2313	สุสานใต้ดิน	สถานที่ซ่อนเร้นในโรงเรียนซึ่งสูญเสียจุดประสงค์ในตอนแรกไป
2314	จักรวาลของเทเรซ่า	ที่นี่ เจ้าจะได้ทุกอย่างที่เจ้าต้องการ ถึงแม้ว่าจะแค่ชั่วคราวก็เถอะ
2315	จิตวิญญาณบริสุทธิ์	สมบัติอันประมาณค่ามิได้ถูกเก็บไว้ในพิพิธภัณฑ์เมโทรซิตี้
2316	สมบัติที่หายไป	จิตวิญญาณบริสุทธิ์ หรือจอมโจรอยู่ที่ไหน?
2317	นครนิวยอร์ก	แม้แต่นครนิวยอร์กก็ยังตกอยู่ภายใต้เงาแห่งความมืด
2318	เมืองนิวยอร์กยามราตรี	นครนิวยอร์กยิ่งดูมีเสน่ห์มากขึ้นในยามราตรี
2325	บ้านของพระอรหันต์	ตำแหน่งที่เทพีชี้นั้นมีเด็กสาวนอนหลับลึกอยู่
2326	ห้องแห่งการทดสอบ	ช่วงเวลาแห่งความมืดมิดและความหวาดกลัวที่ต้องอดทนเพื่อคว้าบัลลังก์แห่งเทพี
2327	ถนนในเนปาล	ข้ามาที่นี่ตามเสียงของเพื่อนผู้จากไปไกลแสนไกล
2328	เทศกาลในเนปาล	เมื่อพระอาทิตย์ตกดินและพระจันทร์สาดส่องก็จะเผยให้เห็นทิวทัศน์ใหม่ๆ
2329	วัดของกุมารี	พื้นที่ที่ศักดิ์สิทธิ์และโดดเดี่ยวที่สุดในประเทศ
2330	วัดร้าง	สุสานร้างของเทพี มีเพียงดวงดาวไร้นามเท่านั้นที่บูชานาง
2331	สตรีน้ำแข็ง	เพื่อนของข้าจากไปยังสถานที่ใกล้ๆ แต่ห่างไกลเหลือเกิน
